{'lipoC2': 0.0, 'temp': 29.75, 'lipoC3S3': 12.42, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.293, 'yaw': 0.0, 'datetime': '2018-11-28 11:44:01.509845', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 4.6, 'compass': -2.49, 'pitch': 1.61, 'roll': -3.79}
{'lipoC2': 0.0, 'temp': 29.75, 'lipoC3S3': 12.42, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-28 11:44:01.718635', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 4.81, 'compass': -2.49, 'pitch': 1.61, 'roll': -3.79}
{'lipoC2': 0.0, 'temp': 29.75, 'lipoC3S3': 12.42, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-28 11:44:01.933414', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 5.02, 'compass': -2.49, 'pitch': 1.61, 'roll': -3.79}
{'lipoC2': 0.0, 'temp': 29.75, 'lipoC3S3': 12.42, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-28 11:44:02.143301', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 5.23, 'compass': -2.49, 'pitch': 1.61, 'roll': -3.79}
{'lipoC2': 0.0, 'temp': 29.75, 'lipoC3S3': 12.42, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-28 11:44:02.351763', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 5.44, 'compass': -2.49, 'pitch': 1.61, 'roll': -3.79}
{'lipoC2': 0.0, 'temp': 29.81, 'lipoC3S3': 12.42, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-28 11:44:02.559297', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 5.64, 'compass': -2.49, 'pitch': 1.61, 'roll': -3.79}
{'lipoC2': 0.0, 'temp': 29.81, 'lipoC3S3': 12.42, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-28 11:44:02.768266', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 5.85, 'compass': -2.49, 'pitch': 1.61, 'roll': -3.79}
{'lipoC2': 0.0, 'temp': 29.75, 'lipoC3S3': 12.42, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-28 11:44:02.976023', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 6.06, 'compass': -2.49, 'pitch': 1.61, 'roll': -3.79}
{'lipoC2': 0.0, 'temp': 29.75, 'lipoC3S3': 12.42, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-28 11:44:03.186256', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 6.27, 'compass': -2.49, 'pitch': 1.61, 'roll': -3.79}
{'lipoC2': 0.0, 'temp': 29.75, 'lipoC3S3': 12.42, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-28 11:44:03.394448', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 6.48, 'compass': -2.49, 'pitch': 1.61, 'roll': -3.79}
{'lipoC2': 0.0, 'temp': 29.75, 'lipoC3S3': 12.42, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-28 11:44:03.603278', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 6.69, 'compass': -2.49, 'pitch': 1.61, 'roll': -3.79}
{'lipoC2': 0.0, 'temp': 29.75, 'lipoC3S3': 12.42, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-28 11:44:03.810722', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 6.9, 'compass': -2.49, 'pitch': 1.61, 'roll': -3.79}
{'lipoC2': 0.0, 'temp': 29.75, 'lipoC3S3': 12.42, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-28 11:44:04.020162', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 7.11, 'compass': -2.49, 'pitch': 1.61, 'roll': -3.79}
{'lipoC2': 0.0, 'temp': 29.75, 'lipoC3S3': 12.42, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-28 11:44:04.228625', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 7.32, 'compass': -2.49, 'pitch': 1.61, 'roll': -3.79}
{'lipoC2': 0.0, 'temp': 29.75, 'lipoC3S3': 12.42, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-28 11:44:04.437807', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 7.53, 'compass': -2.49, 'pitch': 1.61, 'roll': -3.79}
{'lipoC2': 0.0, 'temp': 29.75, 'lipoC3S3': 12.42, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-28 11:44:04.646577', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 7.73, 'compass': -2.49, 'pitch': 1.61, 'roll': -3.79}
{'lipoC2': 0.0, 'temp': 29.75, 'lipoC3S3': 12.42, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-28 11:44:04.854766', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 7.94, 'compass': -2.49, 'pitch': 1.61, 'roll': -3.79}
{'lipoC2': 0.0, 'temp': 29.75, 'lipoC3S3': 12.42, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-28 11:44:05.062061', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 8.15, 'compass': -2.49, 'pitch': 1.61, 'roll': -3.79}
{'lipoC2': 0.0, 'temp': 29.75, 'lipoC3S3': 12.42, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-28 11:44:05.272036', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 8.36, 'compass': -2.49, 'pitch': 1.61, 'roll': -3.79}
{'lipoC2': 0.0, 'temp': 29.75, 'lipoC3S3': 12.42, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-28 11:44:05.484800', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 8.57, 'compass': -2.49, 'pitch': 1.61, 'roll': -3.79}
{'lipoC2': 0.0, 'temp': 29.75, 'lipoC3S3': 12.42, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-28 11:44:05.688862', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 8.78, 'compass': -2.49, 'pitch': 1.61, 'roll': -3.79}
{'lipoC2': 0.0, 'temp': 29.81, 'lipoC3S3': 12.42, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-28 11:44:05.897993', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 8.99, 'compass': -2.49, 'pitch': 1.61, 'roll': -3.79}
{'lipoC2': 0.0, 'temp': 29.81, 'lipoC3S3': 12.42, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-28 11:44:06.107466', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 9.2, 'compass': -2.49, 'pitch': 1.61, 'roll': -3.79}
{'lipoC2': 0.0, 'temp': 29.75, 'lipoC3S3': 12.42, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-28 11:44:06.315877', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 9.4, 'compass': -2.49, 'pitch': 1.61, 'roll': -3.79}
{'lipoC2': 0.0, 'temp': 29.75, 'lipoC3S3': 12.42, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-28 11:44:06.528524', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 9.61, 'compass': -2.49, 'pitch': 1.61, 'roll': -3.79}
{'lipoC2': 0.0, 'temp': 29.81, 'lipoC3S3': 12.42, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-28 11:44:06.736308', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 9.82, 'compass': -2.49, 'pitch': 1.61, 'roll': -3.79}
{'lipoC2': 0.0, 'temp': 29.75, 'lipoC3S3': 12.42, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-28 11:44:06.944933', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 10.03, 'compass': -2.49, 'pitch': 1.61, 'roll': -3.79}
{'lipoC2': 0.0, 'temp': 29.81, 'lipoC3S3': 12.42, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-28 11:44:07.153406', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 10.24, 'compass': -2.49, 'pitch': 1.61, 'roll': -3.79}
{'lipoC2': 0.0, 'temp': 29.75, 'lipoC3S3': 12.42, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-28 11:44:07.361419', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 10.45, 'compass': -2.49, 'pitch': 1.61, 'roll': -3.79}
{'lipoC2': 0.0, 'temp': 29.75, 'lipoC3S3': 12.42, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-28 11:44:07.569400', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 10.66, 'compass': -2.49, 'pitch': 1.61, 'roll': -3.79}
{'lipoC2': 0.0, 'temp': 29.75, 'lipoC3S3': 12.42, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-28 11:44:07.776432', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 10.87, 'compass': -2.49, 'pitch': 1.61, 'roll': -3.79}
