{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:26:41.460883', 'pitch': -158.39, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 6, 'flw2': 0, 'flw1': 1, 'flw0': 0, 'roll': 79.82, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -155.12, 'lipoC2': 0.0, 'temp': 25.32, 'thr3': 31.0, 'depth': 0.129, 'time': 4.93, 'thr2': 31.0, 'yaw': -5.1, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:26:41.786001', 'pitch': -158.39, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 6, 'flw2': 0, 'flw1': 1, 'flw0': 0, 'roll': 79.82, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -155.12, 'lipoC2': 0.0, 'temp': 25.31, 'thr3': 31.0, 'depth': 0.129, 'time': 5.25, 'thr2': 31.0, 'yaw': -5.1, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:26:42.110426', 'pitch': -158.39, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 6, 'flw2': 0, 'flw1': 1, 'flw0': 0, 'roll': 79.82, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -155.12, 'lipoC2': 0.0, 'temp': 25.32, 'thr3': 31.0, 'depth': 0.129, 'time': 5.57, 'thr2': 31.0, 'yaw': -5.1, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:26:42.429220', 'pitch': -158.39, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 6, 'flw2': 0, 'flw1': 1, 'flw0': 0, 'roll': 79.82, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -155.12, 'lipoC2': 0.0, 'temp': 25.32, 'thr3': 31.0, 'depth': 0.129, 'time': 5.89, 'thr2': 31.0, 'yaw': -5.1, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:26:42.753310', 'pitch': -158.39, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 6, 'flw2': 0, 'flw1': 1, 'flw0': 0, 'roll': 79.82, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -155.12, 'lipoC2': 0.0, 'temp': 25.32, 'thr3': 31.0, 'depth': 0.129, 'time': 6.21, 'thr2': 31.0, 'yaw': -5.1, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:26:43.072704', 'pitch': -158.39, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 6, 'flw2': 0, 'flw1': 1, 'flw0': 0, 'roll': 79.82, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -155.12, 'lipoC2': 0.0, 'temp': 25.32, 'thr3': 31.0, 'depth': 0.129, 'time': 6.53, 'thr2': 31.0, 'yaw': -5.1, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:26:43.397597', 'pitch': -158.39, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 6, 'flw2': 0, 'flw1': 1, 'flw0': 0, 'roll': 79.82, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -155.12, 'lipoC2': 0.0, 'temp': 25.32, 'thr3': 31.0, 'depth': 0.129, 'time': 6.85, 'thr2': 31.0, 'yaw': -5.1, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:26:43.717961', 'pitch': -158.39, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 6, 'flw2': 0, 'flw1': 1, 'flw0': 0, 'roll': 79.82, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -155.12, 'lipoC2': 0.0, 'temp': 25.32, 'thr3': 31.0, 'depth': 0.129, 'time': 7.18, 'thr2': 31.0, 'yaw': -5.1, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:26:44.039951', 'pitch': -158.39, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 6, 'flw2': 0, 'flw1': 1, 'flw0': 0, 'roll': 79.82, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -155.12, 'lipoC2': 0.0, 'temp': 25.32, 'thr3': 31.0, 'depth': 0.129, 'time': 7.5, 'thr2': 31.0, 'yaw': -5.1, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:26:44.361237', 'pitch': -158.39, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 6, 'flw2': 0, 'flw1': 1, 'flw0': 0, 'roll': 79.82, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -155.12, 'lipoC2': 0.0, 'temp': 25.32, 'thr3': 31.0, 'depth': 0.129, 'time': 7.82, 'thr2': 31.0, 'yaw': -5.1, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:26:44.677629', 'pitch': -158.39, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 6, 'flw2': 0, 'flw1': 1, 'flw0': 0, 'roll': 79.82, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -155.12, 'lipoC2': 0.0, 'temp': 25.32, 'thr3': 31.0, 'depth': 0.129, 'time': 8.14, 'thr2': 31.0, 'yaw': -5.1, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:26:44.997628', 'pitch': -158.39, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 6, 'flw2': 0, 'flw1': 1, 'flw0': 0, 'roll': 79.82, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -155.12, 'lipoC2': 0.0, 'temp': 25.32, 'thr3': 31.0, 'depth': 0.129, 'time': 8.46, 'thr2': 31.0, 'yaw': -5.1, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:26:45.323829', 'pitch': -158.39, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 6, 'flw2': 0, 'flw1': 1, 'flw0': 0, 'roll': 79.82, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -155.12, 'lipoC2': 0.0, 'temp': 25.32, 'thr3': 31.0, 'depth': 0.129, 'time': 8.78, 'thr2': 31.0, 'yaw': -5.1, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:26:45.645352', 'pitch': -158.39, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 6, 'flw2': 0, 'flw1': 1, 'flw0': 0, 'roll': 79.82, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -155.12, 'lipoC2': 0.0, 'temp': 25.32, 'thr3': 31.0, 'depth': 0.129, 'time': 9.1, 'thr2': 31.0, 'yaw': -5.1, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:26:45.967184', 'pitch': -158.39, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 6, 'flw2': 0, 'flw1': 1, 'flw0': 0, 'roll': 79.82, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -155.12, 'lipoC2': 0.0, 'temp': 25.32, 'thr3': 31.0, 'depth': 0.129, 'time': 9.42, 'thr2': 31.0, 'yaw': -5.1, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:26:46.289110', 'pitch': -158.39, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 6, 'flw2': 0, 'flw1': 1, 'flw0': 0, 'roll': 79.82, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -155.12, 'lipoC2': 0.0, 'temp': 25.32, 'thr3': 31.0, 'depth': 0.129, 'time': 9.75, 'thr2': 31.0, 'yaw': -5.1, 'thr0': 26.0, 'thr1': 27.0}
