{'lipoC2': 7.41, 'temp': 30.31, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': -2.1, 'datetime': '2018-11-26 12:40:48.047930', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 4.49, 'compass': -36.1, 'pitch': 0.3, 'roll': -5.86}
{'lipoC2': 7.41, 'temp': 30.13, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': -2.37, 'datetime': '2018-11-26 12:40:48.255153', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 4.7, 'compass': -36.37, 'pitch': 1.18, 'roll': -6.09}
{'lipoC2': 7.41, 'temp': 30.31, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': -2.47, 'datetime': '2018-11-26 12:40:48.466649', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 4.91, 'compass': -36.47, 'pitch': 2.22, 'roll': -6.1}
{'lipoC2': 7.41, 'temp': 30.31, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': -2.67, 'datetime': '2018-11-26 12:40:48.671901', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 5.12, 'compass': -36.68, 'pitch': 3.12, 'roll': -5.94}
{'lipoC2': 7.41, 'temp': 30.31, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': -3.02, 'datetime': '2018-11-26 12:40:48.881425', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 5.33, 'compass': -37.02, 'pitch': 3.55, 'roll': -5.69}
{'lipoC2': 7.41, 'temp': 30.31, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': -3.06, 'datetime': '2018-11-26 12:40:49.089479', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 5.54, 'compass': -37.06, 'pitch': 3.63, 'roll': -5.39}
{'lipoC2': 7.41, 'temp': 30.31, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': -3.02, 'datetime': '2018-11-26 12:40:49.302387', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 5.74, 'compass': -37.03, 'pitch': 3.33, 'roll': -5.4}
{'lipoC2': 7.41, 'temp': 30.31, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.92, 'yaw': -2.87, 'datetime': '2018-11-26 12:40:49.507275', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 5.95, 'compass': -36.87, 'pitch': 2.75, 'roll': -5.39}
{'lipoC2': 7.41, 'temp': 30.31, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': -2.7, 'datetime': '2018-11-26 12:40:49.716669', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 6.16, 'compass': -36.7, 'pitch': 1.99, 'roll': -5.39}
{'lipoC2': 7.41, 'temp': 30.31, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': -2.59, 'datetime': '2018-11-26 12:40:49.922380', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 6.37, 'compass': -36.59, 'pitch': 1.13, 'roll': -5.38}
