{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:36:44.886653', 'pitch': -1.8, 'rot1': 2, 'rot0': 3, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -0.61, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -177.45, 'lipoC2': 0.0, 'temp': 25.43, 'thr3': 32.0, 'depth': 0.149, 'time': 4.92, 'thr2': 31.0, 'yaw': -2.4, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:36:45.205312', 'pitch': -1.76, 'rot1': 2, 'rot0': 3, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -0.61, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -178.03, 'lipoC2': 0.0, 'temp': 25.43, 'thr3': 32.0, 'depth': 0.149, 'time': 5.24, 'thr2': 31.0, 'yaw': -2.98, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:36:45.528751', 'pitch': -1.6, 'rot1': 3, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -0.73, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -179.81, 'lipoC2': 0.0, 'temp': 25.43, 'thr3': 32.0, 'depth': 0.149, 'time': 5.56, 'thr2': 31.0, 'yaw': -4.77, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:36:45.850918', 'pitch': -1.54, 'rot1': 3, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -0.79, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 178.81, 'lipoC2': 0.0, 'temp': 25.43, 'thr3': 32.0, 'depth': 0.139, 'time': 5.88, 'thr2': 31.0, 'yaw': -6.14, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:36:46.171231', 'pitch': -1.56, 'rot1': 3, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -0.76, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 178.77, 'lipoC2': 0.0, 'temp': 25.43, 'thr3': 32.0, 'depth': 0.149, 'time': 6.2, 'thr2': 31.0, 'yaw': -6.18, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:36:46.480620', 'pitch': -1.56, 'rot1': 3, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -0.8, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 178.53, 'lipoC2': 0.0, 'temp': 25.43, 'thr3': 32.0, 'depth': 0.149, 'time': 6.52, 'thr2': 31.0, 'yaw': -6.42, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:36:46.800763', 'pitch': -1.54, 'rot1': 3, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -0.78, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 178.46, 'lipoC2': 0.0, 'temp': 25.43, 'thr3': 32.0, 'depth': 0.149, 'time': 6.84, 'thr2': 31.0, 'yaw': -6.49, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:36:47.123370', 'pitch': -1.54, 'rot1': 3, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -0.78, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 178.5, 'lipoC2': 0.0, 'temp': 25.43, 'thr3': 32.0, 'depth': 0.149, 'time': 7.16, 'thr2': 31.0, 'yaw': -6.45, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:36:47.444427', 'pitch': -1.54, 'rot1': 3, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -0.78, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 178.49, 'lipoC2': 0.0, 'temp': 25.43, 'thr3': 32.0, 'depth': 0.149, 'time': 7.49, 'thr2': 31.0, 'yaw': -6.46, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:36:47.781109', 'pitch': -1.54, 'rot1': 3, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -0.77, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 178.56, 'lipoC2': 0.0, 'temp': 25.43, 'thr3': 32.0, 'depth': 0.149, 'time': 7.81, 'thr2': 31.0, 'yaw': -6.39, 'thr0': 26.0, 'thr1': 27.0}
