{'lipoC3S3': 0.0, 'datetime': '2019-03-01 10:46:12.600891', 'pitch': 0.72, 'rot1': 33, 'rot0': 57, 'rot3': 1, 'rot2': 1, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 3.94, 'cur2': 0.39, 'cur0': 0.34, 'cur1': 0.0, 'mgs': 0, 'compass': -84.11, 'lipoC2': 0.0, 'temp': 24.54, 'thr3': 33.0, 'depth': 0.228, 'time': 5.41, 'thr2': 32.0, 'yaw': 9.97, 'thr0': 28.0, 'thr1': 28.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 10:46:12.921794', 'pitch': 0.61, 'rot1': 37, 'rot0': 62, 'rot3': 1, 'rot2': 1, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 3.64, 'cur2': 0.39, 'cur0': 0.37, 'cur1': 0.0, 'mgs': 0, 'compass': -89.34, 'lipoC2': 0.0, 'temp': 24.54, 'thr3': 33.0, 'depth': 0.228, 'time': 5.73, 'thr2': 32.0, 'yaw': 4.74, 'thr0': 28.0, 'thr1': 28.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 10:46:13.246145', 'pitch': 0.53, 'rot1': 40, 'rot0': 65, 'rot3': 1, 'rot2': 1, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 3.58, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -93.09, 'lipoC2': 0.0, 'temp': 24.54, 'thr3': 33.0, 'depth': 0.228, 'time': 6.05, 'thr2': 32.0, 'yaw': 0.99, 'thr0': 28.0, 'thr1': 28.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 10:46:13.568463', 'pitch': 0.6, 'rot1': 40, 'rot0': 65, 'rot3': 1, 'rot2': 1, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 3.21, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -96.84, 'lipoC2': 0.0, 'temp': 24.54, 'thr3': 33.0, 'depth': 0.228, 'time': 6.37, 'thr2': 32.0, 'yaw': -2.75, 'thr0': 28.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 10:46:13.889983', 'pitch': 0.61, 'rot1': 40, 'rot0': 65, 'rot3': 1, 'rot2': 1, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 3.36, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -95.85, 'lipoC2': 0.0, 'temp': 24.54, 'thr3': 33.0, 'depth': 0.228, 'time': 6.69, 'thr2': 32.0, 'yaw': -1.77, 'thr0': 28.0, 'thr1': 28.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 10:46:14.211900', 'pitch': 0.5, 'rot1': 40, 'rot0': 65, 'rot3': 1, 'rot2': 1, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 3.54, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -96.33, 'lipoC2': 0.0, 'temp': 24.54, 'thr3': 33.0, 'depth': 0.228, 'time': 7.02, 'thr2': 32.0, 'yaw': -2.25, 'thr0': 28.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 10:46:14.533291', 'pitch': 0.33, 'rot1': 40, 'rot0': 65, 'rot3': 1, 'rot2': 1, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 3.67, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -99.62, 'lipoC2': 0.0, 'temp': 24.54, 'thr3': 33.0, 'depth': 0.238, 'time': 7.34, 'thr2': 32.0, 'yaw': -5.53, 'thr0': 28.0, 'thr1': 28.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 10:46:14.855129', 'pitch': -0.03, 'rot1': 40, 'rot0': 67, 'rot3': 1, 'rot2': 1, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 3.8, 'cur2': 0.45, 'cur0': 0.4, 'cur1': 0.0, 'mgs': 0, 'compass': -109.55, 'lipoC2': 0.0, 'temp': 24.54, 'thr3': 33.0, 'depth': 0.238, 'time': 7.66, 'thr2': 33.0, 'yaw': -15.47, 'thr0': 28.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 10:46:15.177011', 'pitch': 0.14, 'rot1': 43, 'rot0': 70, 'rot3': 1, 'rot2': 1, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 3.24, 'cur2': 0.42, 'cur0': 0.34, 'cur1': 0.0, 'mgs': 0, 'compass': -124.67, 'lipoC2': 0.0, 'temp': 24.54, 'thr3': 34.0, 'depth': 0.238, 'time': 7.98, 'thr2': 32.0, 'yaw': -30.58, 'thr0': 28.0, 'thr1': 28.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 10:46:15.498907', 'pitch': 0.61, 'rot1': 45, 'rot0': 75, 'rot3': 1, 'rot2': 1, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 2.74, 'cur2': 0.39, 'cur0': 0.35, 'cur1': 0.0, 'mgs': 0, 'compass': -127.43, 'lipoC2': 0.0, 'temp': 24.54, 'thr3': 33.0, 'depth': 0.238, 'time': 8.3, 'thr2': 32.0, 'yaw': -33.35, 'thr0': 28.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 10:46:15.821767', 'pitch': 0.48, 'rot1': 49, 'rot0': 78, 'rot3': 1, 'rot2': 1, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 3.02, 'cur2': 0.4, 'cur0': 0.33, 'cur1': 0.0, 'mgs': 0, 'compass': -126.6, 'lipoC2': 0.0, 'temp': 24.54, 'thr3': 33.0, 'depth': 0.228, 'time': 8.62, 'thr2': 32.0, 'yaw': -32.52, 'thr0': 28.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 10:46:16.144658', 'pitch': 0.5, 'rot1': 51, 'rot0': 83, 'rot3': 1, 'rot2': 1, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 3.09, 'cur2': 0.4, 'cur0': 0.34, 'cur1': 0.0, 'mgs': 0, 'compass': -126.69, 'lipoC2': 0.0, 'temp': 24.54, 'thr3': 33.0, 'depth': 0.238, 'time': 8.94, 'thr2': 32.0, 'yaw': -32.61, 'thr0': 28.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 10:46:16.469800', 'pitch': 0.55, 'rot1': 52, 'rot0': 87, 'rot3': 1, 'rot2': 1, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 3.11, 'cur2': 0.4, 'cur0': 0.33, 'cur1': 0.0, 'mgs': 0, 'compass': -126.69, 'lipoC2': 0.0, 'temp': 24.54, 'thr3': 33.0, 'depth': 0.238, 'time': 9.27, 'thr2': 32.0, 'yaw': -32.6, 'thr0': 28.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 10:46:16.787498', 'pitch': 0.57, 'rot1': 54, 'rot0': 92, 'rot3': 1, 'rot2': 1, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 3.13, 'cur2': 0.4, 'cur0': 0.34, 'cur1': 0.0, 'mgs': 0, 'compass': -126.69, 'lipoC2': 0.0, 'temp': 24.54, 'thr3': 33.0, 'depth': 0.228, 'time': 9.59, 'thr2': 32.0, 'yaw': -32.6, 'thr0': 28.0, 'thr1': 28.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 10:46:17.110300', 'pitch': 0.57, 'rot1': 57, 'rot0': 96, 'rot3': 1, 'rot2': 1, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 3.18, 'cur2': 0.42, 'cur0': 0.32, 'cur1': 0.0, 'mgs': 0, 'compass': -126.66, 'lipoC2': 0.0, 'temp': 24.54, 'thr3': 33.0, 'depth': 0.228, 'time': 9.91, 'thr2': 32.0, 'yaw': -32.58, 'thr0': 28.0, 'thr1': 28.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 10:46:17.432300', 'pitch': 0.55, 'rot1': 60, 'rot0': 101, 'rot3': 1, 'rot2': 1, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 3.24, 'cur2': 0.39, 'cur0': 0.34, 'cur1': 0.0, 'mgs': 0, 'compass': -126.66, 'lipoC2': 0.0, 'temp': 24.54, 'thr3': 33.0, 'depth': 0.228, 'time': 10.23, 'thr2': 32.0, 'yaw': -32.58, 'thr0': 28.0, 'thr1': 28.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 10:46:17.753064', 'pitch': 0.32, 'rot1': 64, 'rot0': 107, 'rot3': 1, 'rot2': 1, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 3.19, 'cur2': 0.4, 'cur0': 0.32, 'cur1': 0.0, 'mgs': 0, 'compass': -127.03, 'lipoC2': 0.0, 'temp': 24.54, 'thr3': 33.0, 'depth': 0.228, 'time': 10.55, 'thr2': 32.0, 'yaw': -32.94, 'thr0': 28.0, 'thr1': 27.0}
