{'lipoC2': 7.44, 'temp': 0.0, 'lipoC3S3': 11.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.08, 'yaw': 7.77, 'datetime': '2018-12-12 14:48:56.931347', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.05, 'time': 4.68, 'compass': 90.44, 'pitch': -2.48, 'roll': -1.79}
{'lipoC2': 7.28, 'temp': 0.0, 'lipoC3S3': 11.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.369, 'yaw': 8.15, 'datetime': '2018-12-12 14:48:57.234537', 'mgs': 0, 'flw2': 0.04, 'flw1': 0.73, 'flw0': 0.0, 'time': 4.99, 'compass': 90.83, 'pitch': -2.53, 'roll': -1.37}
{'lipoC2': 7.38, 'temp': 0.0, 'lipoC3S3': 11.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 8.37, 'datetime': '2018-12-12 14:48:57.442678', 'mgs': 0, 'flw2': 0.04, 'flw1': 0.0, 'flw0': 0.1, 'time': 5.2, 'compass': 91.05, 'pitch': -2.53, 'roll': -0.83}
{'lipoC2': 7.07, 'temp': 0.0, 'lipoC3S3': 11.18, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.546, 'yaw': 8.61, 'datetime': '2018-12-12 14:48:57.653897', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.5, 'flw0': 0.0, 'time': 5.41, 'compass': 91.28, 'pitch': -2.52, 'roll': -0.59}
{'lipoC2': 7.24, 'temp': 0.0, 'lipoC3S3': 11.32, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.522, 'yaw': 8.82, 'datetime': '2018-12-12 14:48:57.861604', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.18, 'time': 5.62, 'compass': 91.49, 'pitch': -2.7, 'roll': -0.74}
{'lipoC2': 7.21, 'temp': 0.0, 'lipoC3S3': 11.18, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.385, 'yaw': 8.97, 'datetime': '2018-12-12 14:48:58.069348', 'mgs': 0, 'flw2': 0.13, 'flw1': 0.0, 'flw0': 0.0, 'time': 5.83, 'compass': 91.64, 'pitch': -2.84, 'roll': -0.91}
{'lipoC2': 7.21, 'temp': 0.0, 'lipoC3S3': 11.22, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.614, 'yaw': 9.14, 'datetime': '2018-12-12 14:48:58.276338', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 6.03, 'compass': 91.82, 'pitch': -2.58, 'roll': -1.11}
{'lipoC2': 7.1, 'temp': 0.0, 'lipoC3S3': 11.15, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.522, 'yaw': 9.33, 'datetime': '2018-12-12 14:48:58.483501', 'mgs': 0, 'flw2': 0.26, 'flw1': 0.09, 'flw0': 0.0, 'time': 6.24, 'compass': 92.01, 'pitch': -2.0, 'roll': -1.5}
{'lipoC2': 7.1, 'temp': 0.0, 'lipoC3S3': 10.98, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.691, 'yaw': 9.5, 'datetime': '2018-12-12 14:48:58.692530', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.64, 'flw0': 0.55, 'time': 6.45, 'compass': 92.18, 'pitch': -1.86, 'roll': -1.72}
{'lipoC2': 7.43, 'temp': 0.0, 'lipoC3S3': 11.0, 'state': 'normal', 'rot1': 1, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.546, 'yaw': 9.22, 'datetime': '2018-12-12 14:48:58.899960', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 1.48, 'time': 6.66, 'compass': 91.9, 'pitch': -2.04, 'roll': -1.57}
{'lipoC2': 7.21, 'temp': 0.0, 'lipoC3S3': 11.21, 'state': 'normal', 'rot1': 3, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.462, 'yaw': 7.53, 'datetime': '2018-12-12 14:48:59.108739', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 1.78, 'time': 6.86, 'compass': 90.2, 'pitch': -1.58, 'roll': -1.35}
{'lipoC2': 7.44, 'temp': 0.0, 'lipoC3S3': 11.0, 'state': 'normal', 'rot1': 5, 'rot0': 1, 'rot3': 0, 'rot2': 0, 'depth': 1.385, 'yaw': 4.26, 'datetime': '2018-12-12 14:48:59.322777', 'mgs': 0, 'flw2': 0.77, 'flw1': 0.0, 'flw0': 2.23, 'time': 7.07, 'compass': 86.94, 'pitch': -0.46, 'roll': -1.39}
{'lipoC2': 7.13, 'temp': 0.0, 'lipoC3S3': 10.98, 'state': 'normal', 'rot1': 7, 'rot0': 2, 'rot3': 0, 'rot2': 0, 'depth': -0.522, 'yaw': -0.11, 'datetime': '2018-12-12 14:48:59.525522', 'mgs': 0, 'flw2': 1.5, 'flw1': 0.0, 'flw0': 2.12, 'time': 7.28, 'compass': 82.57, 'pitch': 0.54, 'roll': -1.68}
{'lipoC2': 7.09, 'temp': 0.0, 'lipoC3S3': 10.84, 'state': 'normal', 'rot1': 9, 'rot0': 4, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -4.75, 'datetime': '2018-12-12 14:48:59.733051', 'mgs': 0, 'flw2': 1.06, 'flw1': 0.0, 'flw0': 2.19, 'time': 7.49, 'compass': 77.92, 'pitch': 0.66, 'roll': -1.78}
{'lipoC2': 7.23, 'temp': 0.0, 'lipoC3S3': 10.97, 'state': 'normal', 'rot1': 11, 'rot0': 5, 'rot3': 0, 'rot2': 0, 'depth': -0.827, 'yaw': -9.12, 'datetime': '2018-12-12 14:48:59.940803', 'mgs': 0, 'flw2': 1.89, 'flw1': 0.0, 'flw0': 2.14, 'time': 7.7, 'compass': 73.56, 'pitch': 0.5, 'roll': -1.7}
{'lipoC2': 7.3, 'temp': 0.0, 'lipoC3S3': 11.0, 'state': 'normal', 'rot1': 13, 'rot0': 7, 'rot3': 0, 'rot2': 0, 'depth': -0.598, 'yaw': -12.69, 'datetime': '2018-12-12 14:49:00.149458', 'mgs': 0, 'flw2': 2.01, 'flw1': 0.0, 'flw0': 1.97, 'time': 7.91, 'compass': 69.98, 'pitch': 1.13, 'roll': -1.64}
{'lipoC2': 7.11, 'temp': 0.0, 'lipoC3S3': 10.96, 'state': 'normal', 'rot1': 15, 'rot0': 9, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': -15.73, 'datetime': '2018-12-12 14:49:00.361398', 'mgs': 0, 'flw2': 1.86, 'flw1': 0.0, 'flw0': 2.34, 'time': 8.11, 'compass': 66.95, 'pitch': 2.19, 'roll': -1.51}
{'lipoC2': 7.21, 'temp': 0.0, 'lipoC3S3': 11.42, 'state': 'normal', 'rot1': 17, 'rot0': 11, 'rot3': 0, 'rot2': 0, 'depth': 0.165, 'yaw': -18.01, 'datetime': '2018-12-12 14:49:00.571508', 'mgs': 0, 'flw2': 2.2, 'flw1': 0.21, 'flw0': 2.11, 'time': 8.32, 'compass': 64.67, 'pitch': 2.29, 'roll': -1.37}
