{'lipoC2': 7.44, 'temp': 0.0, 'lipoC3S3': 11.6, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.699, 'yaw': 0.15, 'datetime': '2018-12-12 13:30:22.951149', 'mgs': 0, 'flw2': 0.05, 'flw1': 0.0, 'flw0': 0.26, 'time': 1.36, 'compass': -122.79, 'pitch': -2.62, 'roll': 1.78}
{'lipoC2': 7.37, 'temp': 0.0, 'lipoC3S3': 11.42, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.674, 'yaw': 0.47, 'datetime': '2018-12-12 13:30:23.159671', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.57, 'compass': -122.47, 'pitch': -3.05, 'roll': 2.08}
{'lipoC2': 7.56, 'temp': 0.0, 'lipoC3S3': 11.43, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.208, 'yaw': 0.75, 'datetime': '2018-12-12 13:30:23.367909', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.59, 'flw0': 0.0, 'time': 1.77, 'compass': -122.2, 'pitch': -3.42, 'roll': 2.34}
{'lipoC2': 7.44, 'temp': 0.0, 'lipoC3S3': 11.73, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 1.0, 'datetime': '2018-12-12 13:30:23.577607', 'mgs': 0, 'flw2': 0.15, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.98, 'compass': -121.95, 'pitch': -3.28, 'roll': 2.67}
{'lipoC2': 7.68, 'temp': 0.0, 'lipoC3S3': 11.07, 'state': 'normal', 'rot1': 2, 'rot0': 1, 'rot3': 0, 'rot2': 1, 'depth': 1.843, 'yaw': 1.8, 'datetime': '2018-12-12 13:30:23.784331', 'mgs': 0, 'flw2': 3.76, 'flw1': 3.54, 'flw0': 4.49, 'time': 2.19, 'compass': -121.14, 'pitch': -2.99, 'roll': 3.15}
{'lipoC2': 7.48, 'temp': 0.0, 'lipoC3S3': 11.36, 'state': 'normal', 'rot1': 7, 'rot0': 5, 'rot3': 1, 'rot2': 2, 'depth': 0.012, 'yaw': 7.55, 'datetime': '2018-12-12 13:30:23.993462', 'mgs': 0, 'flw2': 3.81, 'flw1': 2.37, 'flw0': 4.39, 'time': 2.4, 'compass': -115.4, 'pitch': -1.56, 'roll': 4.48}
{'lipoC2': 7.42, 'temp': 0.0, 'lipoC3S3': 11.36, 'state': 'normal', 'rot1': 11, 'rot0': 9, 'rot3': 2, 'rot2': 3, 'depth': -0.217, 'yaw': 17.4, 'datetime': '2018-12-12 13:30:24.201425', 'mgs': 0, 'flw2': 3.69, 'flw1': 2.34, 'flw0': 3.72, 'time': 2.61, 'compass': -105.55, 'pitch': 0.87, 'roll': 5.96}
{'lipoC2': 7.64, 'temp': 0.0, 'lipoC3S3': 11.31, 'state': 'normal', 'rot1': 15, 'rot0': 12, 'rot3': 2, 'rot2': 4, 'depth': 0.775, 'yaw': 28.66, 'datetime': '2018-12-12 13:30:24.412006', 'mgs': 0, 'flw2': 2.76, 'flw1': 2.14, 'flw0': 3.34, 'time': 2.82, 'compass': -94.28, 'pitch': 3.2, 'roll': 6.74}
{'lipoC2': 7.63, 'temp': 0.0, 'lipoC3S3': 11.13, 'state': 'normal', 'rot1': 17, 'rot0': 15, 'rot3': 3, 'rot2': 5, 'depth': -1.514, 'yaw': 40.77, 'datetime': '2018-12-12 13:30:24.622354', 'mgs': 0, 'flw2': 2.23, 'flw1': 2.58, 'flw0': 2.27, 'time': 3.03, 'compass': -82.17, 'pitch': 4.86, 'roll': 6.62}
{'lipoC2': 7.38, 'temp': 0.0, 'lipoC3S3': 11.42, 'state': 'normal', 'rot1': 20, 'rot0': 17, 'rot3': 4, 'rot2': 6, 'depth': -0.598, 'yaw': 52.53, 'datetime': '2018-12-12 13:30:24.831394', 'mgs': 0, 'flw2': 1.79, 'flw1': 2.58, 'flw0': 1.67, 'time': 3.24, 'compass': -70.41, 'pitch': 5.34, 'roll': 5.69}
{'lipoC2': 7.66, 'temp': 0.0, 'lipoC3S3': 11.27, 'state': 'normal', 'rot1': 23, 'rot0': 19, 'rot3': 5, 'rot2': 7, 'depth': -1.056, 'yaw': 63.77, 'datetime': '2018-12-12 13:30:25.041710', 'mgs': 0, 'flw2': 1.25, 'flw1': 2.58, 'flw0': 1.11, 'time': 3.44, 'compass': -59.18, 'pitch': 5.29, 'roll': 4.47}
{'lipoC2': 7.46, 'temp': 0.0, 'lipoC3S3': 11.44, 'state': 'normal', 'rot1': 24, 'rot0': 20, 'rot3': 5, 'rot2': 8, 'depth': -0.14, 'yaw': 74.31, 'datetime': '2018-12-12 13:30:25.251483', 'mgs': 0, 'flw2': 0.62, 'flw1': 3.05, 'flw0': 0.72, 'time': 3.65, 'compass': -48.64, 'pitch': 5.07, 'roll': 3.51}
{'lipoC2': 7.57, 'temp': 0.0, 'lipoC3S3': 11.4, 'state': 'normal', 'rot1': 26, 'rot0': 22, 'rot3': 6, 'rot2': 9, 'depth': 0.165, 'yaw': 84.06, 'datetime': '2018-12-12 13:30:25.459231', 'mgs': 0, 'flw2': 0.28, 'flw1': 3.25, 'flw0': 0.37, 'time': 3.86, 'compass': -38.89, 'pitch': 4.79, 'roll': 3.04}
{'lipoC2': 7.38, 'temp': 0.0, 'lipoC3S3': 11.39, 'state': 'normal', 'rot1': 27, 'rot0': 23, 'rot3': 7, 'rot2': 10, 'depth': -0.98, 'yaw': 92.62, 'datetime': '2018-12-12 13:30:25.669082', 'mgs': 0, 'flw2': 0.43, 'flw1': 2.67, 'flw0': 0.18, 'time': 4.07, 'compass': -30.33, 'pitch': 4.1, 'roll': 2.61}
{'lipoC2': 7.47, 'temp': 0.0, 'lipoC3S3': 11.4, 'state': 'normal', 'rot1': 28, 'rot0': 24, 'rot3': 8, 'rot2': 11, 'depth': -0.903, 'yaw': 100.8, 'datetime': '2018-12-12 13:30:25.878700', 'mgs': 0, 'flw2': 0.55, 'flw1': 2.43, 'flw0': 0.12, 'time': 4.28, 'compass': -22.14, 'pitch': 3.13, 'roll': 2.83}
{'lipoC2': 7.53, 'temp': 0.0, 'lipoC3S3': 11.32, 'state': 'normal', 'rot1': 29, 'rot0': 25, 'rot3': 8, 'rot2': 12, 'depth': -1.895, 'yaw': 108.29, 'datetime': '2018-12-12 13:30:26.091033', 'mgs': 0, 'flw2': 0.55, 'flw1': 2.34, 'flw0': 0.2, 'time': 4.49, 'compass': -14.66, 'pitch': 2.4, 'roll': 3.36}
{'lipoC2': 7.62, 'temp': 0.0, 'lipoC3S3': 11.21, 'state': 'normal', 'rot1': 31, 'rot0': 26, 'rot3': 9, 'rot2': 13, 'depth': -1.666, 'yaw': 115.35, 'datetime': '2018-12-12 13:30:26.300919', 'mgs': 0, 'flw2': 0.18, 'flw1': 1.88, 'flw0': 0.6, 'time': 4.7, 'compass': -7.6, 'pitch': 2.37, 'roll': 3.42}
{'lipoC2': 7.56, 'temp': 0.0, 'lipoC3S3': 11.27, 'state': 'normal', 'rot1': 31, 'rot0': 26, 'rot3': 10, 'rot2': 14, 'depth': 0.928, 'yaw': 121.93, 'datetime': '2018-12-12 13:30:26.511118', 'mgs': 0, 'flw2': 0.0, 'flw1': 2.14, 'flw0': 0.17, 'time': 4.91, 'compass': -1.02, 'pitch': 2.42, 'roll': 3.59}
