{'lipoC2': 0.17, 'temp': 0.0, 'lipoC3S3': 0.07, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.514, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:17.714637', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.64, 'flw0': 0.0, 'time': 4.48, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
{'lipoC2': 0.15, 'temp': 0.0, 'lipoC3S3': 0.08, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.666, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:17.923436', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.44, 'flw0': 0.01, 'time': 4.68, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.514, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:18.132380', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.53, 'flw0': 0.0, 'time': 4.89, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
{'lipoC2': 0.15, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.462, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:18.340356', 'mgs': 0, 'flw2': 0.21, 'flw1': 0.0, 'flw0': 0.0, 'time': 5.1, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.26, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.462, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:18.548473', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.35, 'flw0': 0.05, 'time': 5.31, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
{'lipoC2': 0.25, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.064, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:18.757371', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.62, 'flw0': 0.0, 'time': 5.52, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
{'lipoC2': 0.24, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:18.963677', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.56, 'flw0': 0.0, 'time': 5.72, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
{'lipoC2': 0.12, 'temp': 0.0, 'lipoC3S3': 0.11, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -2.124, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:19.172675', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.29, 'flw0': 0.06, 'time': 5.93, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
{'lipoC2': 0.16, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.309, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:19.380787', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.7, 'flw0': 0.0, 'time': 6.14, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
{'lipoC2': 0.15, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.309, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:19.686516', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.23, 'flw0': 0.0, 'time': 6.45, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.13, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.437, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:19.895367', 'mgs': 0, 'flw2': 0.05, 'flw1': 0.0, 'flw0': 0.37, 'time': 6.66, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
{'lipoC2': 0.19, 'temp': 0.0, 'lipoC3S3': 0.01, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -2.353, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:20.103570', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.85, 'flw0': 0.0, 'time': 6.86, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -2.734, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:20.315232', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.67, 'flw0': 0.0, 'time': 7.07, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
{'lipoC2': 0.1, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -2.124, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:20.521585', 'mgs': 0, 'flw2': 0.02, 'flw1': 0.0, 'flw0': 0.29, 'time': 7.28, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
