{'lipoC2': 7.41, 'temp': 30.25, 'lipoC3S3': 11.67, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': 0.02, 'datetime': '2018-11-26 12:41:23.428423', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.36, 'compass': -40.13, 'pitch': -1.71, 'roll': -3.89}
{'lipoC2': 7.41, 'temp': 30.13, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': 0.04, 'datetime': '2018-11-26 12:41:23.636624', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.57, 'compass': -40.11, 'pitch': -1.87, 'roll': -3.69}
{'lipoC2': 7.41, 'temp': 30.19, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': 0.04, 'datetime': '2018-11-26 12:41:23.843974', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.78, 'compass': -40.1, 'pitch': -1.95, 'roll': -3.33}
{'lipoC2': 7.41, 'temp': 30.25, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': 0.05, 'datetime': '2018-11-26 12:41:24.052067', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.99, 'compass': -40.1, 'pitch': -1.9, 'roll': -3.23}
{'lipoC2': 7.41, 'temp': 30.25, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': 0.06, 'datetime': '2018-11-26 12:41:24.260412', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.2, 'compass': -40.09, 'pitch': -1.77, 'roll': -3.28}
{'lipoC2': 7.41, 'temp': 30.25, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': 0.06, 'datetime': '2018-11-26 12:41:24.470076', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.41, 'compass': -40.09, 'pitch': -1.66, 'roll': -3.21}
{'lipoC2': 7.41, 'temp': 30.19, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': 0.06, 'datetime': '2018-11-26 12:41:24.676939', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.62, 'compass': -40.09, 'pitch': -1.56, 'roll': -3.23}
{'lipoC2': 7.41, 'temp': 30.19, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.691, 'yaw': 0.04, 'datetime': '2018-11-26 12:41:24.886010', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.82, 'compass': -40.1, 'pitch': -1.39, 'roll': -3.34}
{'lipoC2': 7.41, 'temp': 30.38, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': 0.04, 'datetime': '2018-11-26 12:41:25.093837', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.03, 'compass': -40.11, 'pitch': -1.22, 'roll': -3.19}
{'lipoC2': 7.41, 'temp': 30.13, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': 0.03, 'datetime': '2018-11-26 12:41:25.302986', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.24, 'compass': -40.11, 'pitch': -1.19, 'roll': -2.98}
{'lipoC2': 7.41, 'temp': 30.19, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.691, 'yaw': 0.03, 'datetime': '2018-11-26 12:41:25.512367', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.45, 'compass': -40.12, 'pitch': -1.19, 'roll': -3.01}
