{'lipoC2': 7.07, 'temp': 29.0, 'lipoC3S3': 11.22, 'state': 'normal', 'rot1': 3, 'rot0': 3, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': -4.36, 'datetime': '2018-11-26 13:20:04.809426', 'mgs': 0, 'flw2': 2.61, 'flw1': 0.0, 'flw0': 1.22, 'time': 4.49, 'compass': 62.24, 'pitch': 0.24, 'roll': -2.07}
{'lipoC2': 7.08, 'temp': 29.13, 'lipoC3S3': 11.25, 'state': 'normal', 'rot1': 6, 'rot0': 4, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': -2.64, 'datetime': '2018-11-26 13:20:05.018748', 'mgs': 0, 'flw2': 2.62, 'flw1': 3.72, 'flw0': 1.17, 'time': 4.7, 'compass': 63.97, 'pitch': 0.0, 'roll': 0.67}
{'lipoC2': 7.07, 'temp': 29.0, 'lipoC3S3': 11.21, 'state': 'normal', 'rot1': 8, 'rot0': 6, 'rot3': 1, 'rot2': 1, 'depth': 2.377, 'yaw': -0.41, 'datetime': '2018-11-26 13:20:05.226895', 'mgs': 0, 'flw2': 2.56, 'flw1': 3.43, 'flw0': 1.35, 'time': 4.91, 'compass': 66.19, 'pitch': -0.58, 'roll': 3.53}
{'lipoC2': 7.06, 'temp': 28.94, 'lipoC3S3': 11.5, 'state': 'normal', 'rot1': 10, 'rot0': 8, 'rot3': 1, 'rot2': 2, 'depth': 1.843, 'yaw': 1.99, 'datetime': '2018-11-26 13:20:05.436122', 'mgs': 0, 'flw2': 2.56, 'flw1': 3.81, 'flw0': 2.76, 'time': 5.12, 'compass': 68.6, 'pitch': -1.2, 'roll': 5.84}
{'lipoC2': 7.06, 'temp': 28.94, 'lipoC3S3': 11.19, 'state': 'normal', 'rot1': 13, 'rot0': 10, 'rot3': 2, 'rot2': 4, 'depth': 2.225, 'yaw': 3.76, 'datetime': '2018-11-26 13:20:05.646053', 'mgs': 0, 'flw2': 2.59, 'flw1': 5.07, 'flw0': 2.73, 'time': 5.33, 'compass': 70.36, 'pitch': -1.59, 'roll': 7.89}
{'lipoC2': 7.06, 'temp': 28.94, 'lipoC3S3': 11.18, 'state': 'normal', 'rot1': 14, 'rot0': 13, 'rot3': 3, 'rot2': 5, 'depth': 2.072, 'yaw': 4.45, 'datetime': '2018-11-26 13:20:05.863380', 'mgs': 0, 'flw2': 1.2, 'flw1': 5.01, 'flw0': 2.78, 'time': 5.54, 'compass': 71.05, 'pitch': -1.74, 'roll': 9.5}
{'lipoC2': 7.06, 'temp': 28.75, 'lipoC3S3': 11.18, 'state': 'normal', 'rot1': 16, 'rot0': 15, 'rot3': 4, 'rot2': 6, 'depth': 2.454, 'yaw': 3.69, 'datetime': '2018-11-26 13:20:06.072041', 'mgs': 0, 'flw2': 1.23, 'flw1': 3.31, 'flw0': 2.84, 'time': 5.74, 'compass': 70.29, 'pitch': -1.61, 'roll': 10.01}
{'lipoC2': 7.06, 'temp': 28.94, 'lipoC3S3': 11.21, 'state': 'normal', 'rot1': 18, 'rot0': 17, 'rot3': 5, 'rot2': 7, 'depth': 1.309, 'yaw': 2.02, 'datetime': '2018-11-26 13:20:06.284322', 'mgs': 0, 'flw2': 1.22, 'flw1': 0.0, 'flw0': 2.78, 'time': 5.95, 'compass': 68.63, 'pitch': -1.31, 'roll': 8.78}
{'lipoC2': 7.12, 'temp': 29.0, 'lipoC3S3': 11.21, 'state': 'normal', 'rot1': 19, 'rot0': 19, 'rot3': 5, 'rot2': 7, 'depth': 1.996, 'yaw': -0.08, 'datetime': '2018-11-26 13:20:06.489915', 'mgs': 0, 'flw2': 1.27, 'flw1': 0.0, 'flw0': 2.59, 'time': 6.16, 'compass': 66.52, 'pitch': -1.01, 'roll': 5.74}
{'lipoC2': 7.06, 'temp': 28.94, 'lipoC3S3': 11.18, 'state': 'normal', 'rot1': 21, 'rot0': 21, 'rot3': 5, 'rot2': 7, 'depth': 1.462, 'yaw': -2.86, 'datetime': '2018-11-26 13:20:06.700208', 'mgs': 0, 'flw2': 2.88, 'flw1': 3.49, 'flw0': 1.07, 'time': 6.38, 'compass': 63.74, 'pitch': -0.92, 'roll': 2.8}
{'lipoC2': 7.06, 'temp': 28.94, 'lipoC3S3': 11.56, 'state': 'normal', 'rot1': 23, 'rot0': 23, 'rot3': 6, 'rot2': 8, 'depth': 2.072, 'yaw': -4.45, 'datetime': '2018-11-26 13:20:06.910931', 'mgs': 0, 'flw2': 2.76, 'flw1': 0.0, 'flw0': 1.15, 'time': 6.59, 'compass': 62.16, 'pitch': -1.04, 'roll': 2.12}
{'lipoC2': 7.23, 'temp': 29.0, 'lipoC3S3': 11.14, 'state': 'normal', 'rot1': 25, 'rot0': 25, 'rot3': 6, 'rot2': 8, 'depth': 0.47, 'yaw': -4.22, 'datetime': '2018-11-26 13:20:07.120099', 'mgs': 0, 'flw2': 2.58, 'flw1': 0.0, 'flw0': 1.2, 'time': 6.79, 'compass': 62.38, 'pitch': -1.18, 'roll': 2.68}
{'lipoC2': 7.11, 'temp': 29.0, 'lipoC3S3': 11.13, 'state': 'normal', 'rot1': 28, 'rot0': 26, 'rot3': 6, 'rot2': 8, 'depth': 1.691, 'yaw': -2.99, 'datetime': '2018-11-26 13:20:07.327887', 'mgs': 0, 'flw2': 2.54, 'flw1': 0.0, 'flw0': 1.21, 'time': 7.0, 'compass': 63.61, 'pitch': -1.43, 'roll': 2.98}
{'lipoC2': 7.06, 'temp': 28.94, 'lipoC3S3': 11.19, 'state': 'normal', 'rot1': 30, 'rot0': 28, 'rot3': 6, 'rot2': 8, 'depth': 1.157, 'yaw': -1.15, 'datetime': '2018-11-26 13:20:07.536181', 'mgs': 0, 'flw2': 2.5, 'flw1': 0.0, 'flw0': 1.25, 'time': 7.21, 'compass': 65.46, 'pitch': -1.54, 'roll': 3.32}
{'lipoC2': 7.06, 'temp': 29.0, 'lipoC3S3': 11.19, 'state': 'normal', 'rot1': 32, 'rot0': 30, 'rot3': 6, 'rot2': 8, 'depth': 1.309, 'yaw': 1.04, 'datetime': '2018-11-26 13:20:07.746015', 'mgs': 0, 'flw2': 2.53, 'flw1': 0.0, 'flw0': 1.26, 'time': 7.42, 'compass': 67.64, 'pitch': -1.63, 'roll': 4.1}
{'lipoC2': 7.06, 'temp': 28.94, 'lipoC3S3': 11.15, 'state': 'normal', 'rot1': 34, 'rot0': 31, 'rot3': 6, 'rot2': 8, 'depth': 1.309, 'yaw': 3.46, 'datetime': '2018-11-26 13:20:07.958310', 'mgs': 0, 'flw2': 1.06, 'flw1': 0.0, 'flw0': 2.86, 'time': 7.63, 'compass': 70.06, 'pitch': -1.61, 'roll': 4.85}
{'lipoC2': 7.22, 'temp': 28.94, 'lipoC3S3': 11.21, 'state': 'normal', 'rot1': 36, 'rot0': 34, 'rot3': 6, 'rot2': 8, 'depth': 0.623, 'yaw': 4.55, 'datetime': '2018-11-26 13:20:08.166572', 'mgs': 0, 'flw2': 1.17, 'flw1': 5.04, 'flw0': 2.7, 'time': 7.84, 'compass': 71.15, 'pitch': -1.39, 'roll': 5.22}
{'lipoC2': 7.06, 'temp': 28.94, 'lipoC3S3': 11.48, 'state': 'normal', 'rot1': 38, 'rot0': 36, 'rot3': 7, 'rot2': 9, 'depth': 1.843, 'yaw': 3.91, 'datetime': '2018-11-26 13:20:08.374755', 'mgs': 0, 'flw2': 1.17, 'flw1': 4.01, 'flw0': 2.72, 'time': 8.05, 'compass': 70.51, 'pitch': -1.28, 'roll': 5.38}
{'lipoC2': 7.06, 'temp': 29.0, 'lipoC3S3': 11.17, 'state': 'normal', 'rot1': 40, 'rot0': 38, 'rot3': 7, 'rot2': 10, 'depth': 1.309, 'yaw': 2.09, 'datetime': '2018-11-26 13:20:08.584031', 'mgs': 0, 'flw2': 1.2, 'flw1': 0.0, 'flw0': 2.77, 'time': 8.26, 'compass': 68.7, 'pitch': -1.32, 'roll': 5.61}
{'lipoC2': 7.06, 'temp': 29.0, 'lipoC3S3': 11.19, 'state': 'normal', 'rot1': 41, 'rot0': 41, 'rot3': 7, 'rot2': 10, 'depth': 1.385, 'yaw': -0.26, 'datetime': '2018-11-26 13:20:08.793946', 'mgs': 0, 'flw2': 1.18, 'flw1': 0.0, 'flw0': 2.77, 'time': 8.47, 'compass': 66.34, 'pitch': -1.28, 'roll': 5.15}
{'lipoC2': 7.06, 'temp': 29.0, 'lipoC3S3': 11.11, 'state': 'normal', 'rot1': 43, 'rot0': 43, 'rot3': 7, 'rot2': 10, 'depth': 1.385, 'yaw': -2.98, 'datetime': '2018-11-26 13:20:09.006102', 'mgs': 0, 'flw2': 2.59, 'flw1': 0.0, 'flw0': 2.73, 'time': 8.68, 'compass': 63.63, 'pitch': -1.31, 'roll': 4.44}
{'lipoC2': 7.07, 'temp': 29.0, 'lipoC3S3': 11.27, 'state': 'normal', 'rot1': 46, 'rot0': 45, 'rot3': 7, 'rot2': 10, 'depth': 1.385, 'yaw': -5.01, 'datetime': '2018-11-26 13:20:09.214802', 'mgs': 0, 'flw2': 2.5, 'flw1': 0.0, 'flw0': 1.12, 'time': 8.89, 'compass': 61.59, 'pitch': -1.28, 'roll': 4.5}
{'lipoC2': 7.23, 'temp': 29.0, 'lipoC3S3': 11.25, 'state': 'normal', 'rot1': 48, 'rot0': 47, 'rot3': 7, 'rot2': 10, 'depth': 1.92, 'yaw': -5.96, 'datetime': '2018-11-26 13:20:09.424464', 'mgs': 0, 'flw2': 2.66, 'flw1': 4.1, 'flw0': 1.16, 'time': 9.1, 'compass': 60.64, 'pitch': -1.2, 'roll': 4.15}
{'lipoC2': 7.06, 'temp': 28.94, 'lipoC3S3': 11.18, 'state': 'normal', 'rot1': 51, 'rot0': 49, 'rot3': 8, 'rot2': 11, 'depth': 1.92, 'yaw': -5.94, 'datetime': '2018-11-26 13:20:09.634779', 'mgs': 0, 'flw2': 2.64, 'flw1': 3.54, 'flw0': 1.27, 'time': 9.31, 'compass': 60.66, 'pitch': -1.35, 'roll': 3.71}
{'lipoC2': 7.07, 'temp': 29.0, 'lipoC3S3': 11.1, 'state': 'normal', 'rot1': 53, 'rot0': 50, 'rot3': 9, 'rot2': 12, 'depth': 1.385, 'yaw': -5.25, 'datetime': '2018-11-26 13:20:09.843949', 'mgs': 0, 'flw2': 2.5, 'flw1': 3.43, 'flw0': 1.17, 'time': 9.52, 'compass': 61.35, 'pitch': -1.64, 'roll': 3.67}
{'lipoC2': 7.23, 'temp': 28.94, 'lipoC3S3': 11.22, 'state': 'normal', 'rot1': 55, 'rot0': 52, 'rot3': 10, 'rot2': 13, 'depth': 1.538, 'yaw': -3.98, 'datetime': '2018-11-26 13:20:10.053417', 'mgs': 0, 'flw2': 2.67, 'flw1': 0.0, 'flw0': 1.25, 'time': 9.73, 'compass': 62.62, 'pitch': -1.73, 'roll': 3.81}
{'lipoC2': 7.07, 'temp': 29.0, 'lipoC3S3': 11.19, 'state': 'normal', 'rot1': 58, 'rot0': 53, 'rot3': 10, 'rot2': 13, 'depth': 2.225, 'yaw': -2.17, 'datetime': '2018-11-26 13:20:10.260535', 'mgs': 0, 'flw2': 2.67, 'flw1': 0.0, 'flw0': 1.2, 'time': 9.94, 'compass': 64.43, 'pitch': -1.55, 'roll': 3.67}
{'lipoC2': 7.06, 'temp': 29.0, 'lipoC3S3': 11.19, 'state': 'normal', 'rot1': 71, 'rot0': 68, 'rot3': 13, 'rot2': 17, 'depth': 1.385, 'yaw': -1.15, 'datetime': '2018-11-26 13:20:12.616558', 'mgs': 0, 'flw2': 2.77, 'flw1': 0.0, 'flw0': 2.77, 'time': 11.41, 'compass': 65.46, 'pitch': -1.09, 'roll': 4.51}
{'lipoC2': 7.07, 'temp': 29.0, 'lipoC3S3': 11.27, 'state': 'normal', 'rot1': 84, 'rot0': 78, 'rot3': 14, 'rot2': 19, 'depth': 1.309, 'yaw': -0.99, 'datetime': '2018-11-26 13:20:12.882482', 'mgs': 0, 'flw2': 2.54, 'flw1': 0.0, 'flw0': 1.22, 'time': 12.57, 'compass': 65.61, 'pitch': -0.77, 'roll': 4.16}
{'lipoC2': 7.07, 'temp': 28.94, 'lipoC3S3': 11.21, 'state': 'normal', 'rot1': 86, 'rot0': 80, 'rot3': 14, 'rot2': 19, 'depth': 2.377, 'yaw': 1.04, 'datetime': '2018-11-26 13:20:13.095122', 'mgs': 0, 'flw2': 2.65, 'flw1': 0.21, 'flw0': 2.49, 'time': 12.78, 'compass': 67.64, 'pitch': -0.38, 'roll': 3.55}
{'lipoC2': 7.09, 'temp': 28.88, 'lipoC3S3': 11.09, 'state': 'normal', 'rot1': 88, 'rot0': 82, 'rot3': 15, 'rot2': 19, 'depth': 1.996, 'yaw': 2.19, 'datetime': '2018-11-26 13:20:13.312245', 'mgs': 0, 'flw2': 1.09, 'flw1': 3.87, 'flw0': 2.66, 'time': 12.99, 'compass': 68.79, 'pitch': -0.06, 'roll': 3.64}
{'lipoC2': 7.06, 'temp': 29.0, 'lipoC3S3': 11.18, 'state': 'normal', 'rot1': 90, 'rot0': 84, 'rot3': 16, 'rot2': 20, 'depth': 1.385, 'yaw': 2.13, 'datetime': '2018-11-26 13:20:13.516115', 'mgs': 0, 'flw2': 1.18, 'flw1': 0.0, 'flw0': 2.77, 'time': 13.2, 'compass': 68.74, 'pitch': 0.06, 'roll': 4.01}
{'lipoC2': 7.06, 'temp': 28.94, 'lipoC3S3': 11.14, 'state': 'normal', 'rot1': 92, 'rot0': 86, 'rot3': 16, 'rot2': 20, 'depth': 1.385, 'yaw': 1.07, 'datetime': '2018-11-26 13:20:13.726804', 'mgs': 0, 'flw2': 1.18, 'flw1': 0.0, 'flw0': 2.73, 'time': 13.41, 'compass': 67.67, 'pitch': 0.19, 'roll': 3.81}
{'lipoC2': 7.06, 'temp': 29.0, 'lipoC3S3': 11.02, 'state': 'normal', 'rot1': 93, 'rot0': 89, 'rot3': 16, 'rot2': 20, 'depth': 1.538, 'yaw': -0.69, 'datetime': '2018-11-26 13:20:13.936424', 'mgs': 0, 'flw2': 2.82, 'flw1': 0.0, 'flw0': 2.67, 'time': 13.63, 'compass': 65.91, 'pitch': 0.03, 'roll': 3.3}
{'lipoC2': 7.06, 'temp': 29.06, 'lipoC3S3': 11.18, 'state': 'normal', 'rot1': 96, 'rot0': 91, 'rot3': 16, 'rot2': 20, 'depth': 1.538, 'yaw': -2.37, 'datetime': '2018-11-26 13:20:14.147210', 'mgs': 0, 'flw2': 2.7, 'flw1': 0.0, 'flw0': 2.88, 'time': 13.84, 'compass': 64.23, 'pitch': -0.32, 'roll': 3.43}
{'lipoC2': 7.05, 'temp': 29.06, 'lipoC3S3': 11.13, 'state': 'normal', 'rot1': 98, 'rot0': 93, 'rot3': 16, 'rot2': 20, 'depth': 1.538, 'yaw': -3.21, 'datetime': '2018-11-26 13:20:14.357334', 'mgs': 0, 'flw2': 2.42, 'flw1': 0.0, 'flw0': 1.21, 'time': 14.05, 'compass': 63.39, 'pitch': -0.65, 'roll': 3.6}
{'lipoC2': 7.06, 'temp': 29.0, 'lipoC3S3': 11.46, 'state': 'normal', 'rot1': 100, 'rot0': 95, 'rot3': 16, 'rot2': 20, 'depth': 1.538, 'yaw': -2.48, 'datetime': '2018-11-26 13:20:14.567752', 'mgs': 0, 'flw2': 2.6, 'flw1': 0.0, 'flw0': 1.26, 'time': 14.26, 'compass': 64.12, 'pitch': -0.96, 'roll': 3.0}
{'lipoC2': 7.06, 'temp': 29.0, 'lipoC3S3': 11.15, 'state': 'normal', 'rot1': 103, 'rot0': 96, 'rot3': 16, 'rot2': 20, 'depth': 1.538, 'yaw': -0.71, 'datetime': '2018-11-26 13:20:14.783226', 'mgs': 0, 'flw2': 2.61, 'flw1': 0.0, 'flw0': 1.28, 'time': 14.47, 'compass': 65.89, 'pitch': -1.13, 'roll': 2.34}
{'lipoC2': 7.24, 'temp': 29.0, 'lipoC3S3': 11.29, 'state': 'normal', 'rot1': 105, 'rot0': 98, 'rot3': 16, 'rot2': 20, 'depth': 2.835, 'yaw': 1.38, 'datetime': '2018-11-26 13:20:14.995012', 'mgs': 0, 'flw2': 2.72, 'flw1': 0.0, 'flw0': 2.71, 'time': 14.68, 'compass': 67.98, 'pitch': -1.19, 'roll': 2.24}
