{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 2, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:18.544309', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.44, 'flw0': 0.0, 'time': 4.37, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.95}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.09, 'state': 'normal', 'rot1': 0, 'rot0': 2, 'rot3': 0, 'rot2': 0, 'depth': 0.241, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:18.751714', 'mgs': 0, 'flw2': 0.16, 'flw1': 0.0, 'flw0': 0.0, 'time': 4.58, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.95}
{'lipoC2': 0.06, 'temp': 0.0, 'lipoC3S3': 0.17, 'state': 'normal', 'rot1': 0, 'rot0': 2, 'rot3': 0, 'rot2': 0, 'depth': -1.895, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:18.959669', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.35, 'flw0': 0.01, 'time': 4.79, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.95}
{'lipoC2': 0.15, 'temp': 0.0, 'lipoC3S3': 0.08, 'state': 'normal', 'rot1': 0, 'rot0': 2, 'rot3': 0, 'rot2': 0, 'depth': -1.361, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:19.168874', 'mgs': 0, 'flw2': 6.49, 'flw1': 0.09, 'flw0': 0.0, 'time': 5.0, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.95}
{'lipoC2': 0.2, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 6, 'rot3': 0, 'rot2': 0, 'depth': 0.165, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:19.376434', 'mgs': 0, 'flw2': 1.38, 'flw1': 0.12, 'flw0': 0.0, 'time': 5.2, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.96}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.13, 'state': 'normal', 'rot1': 0, 'rot0': 11, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:19.584651', 'mgs': 0, 'flw2': 1.11, 'flw1': 0.32, 'flw0': 0.0, 'time': 5.41, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.96}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.07, 'state': 'normal', 'rot1': 0, 'rot0': 15, 'rot3': 0, 'rot2': 0, 'depth': -0.751, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:19.795099', 'mgs': 0, 'flw2': 0.98, 'flw1': 0.5, 'flw0': 0.0, 'time': 5.62, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.96}
{'lipoC2': 0.14, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': 1.385, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:20.003992', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.7, 'flw0': 0.0, 'time': 5.83, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.95}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.22, 'state': 'normal', 'rot1': 0, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': 1.385, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:20.211945', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.64, 'flw0': 0.0, 'time': 6.04, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.96}
{'lipoC2': 0.23, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 20, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:20.420598', 'mgs': 0, 'flw2': 4.71, 'flw1': 0.0, 'flw0': 0.0, 'time': 6.25, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.96}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 24, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:20.630326', 'mgs': 0, 'flw2': 1.06, 'flw1': 0.53, 'flw0': 0.0, 'time': 6.46, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.96}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 28, 'rot3': 0, 'rot2': 0, 'depth': -2.582, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:20.839219', 'mgs': 0, 'flw2': 0.59, 'flw1': 0.41, 'flw0': 0.0, 'time': 6.66, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.96}
{'lipoC2': 0.1, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 31, 'rot3': 0, 'rot2': 0, 'depth': 1.614, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:21.047854', 'mgs': 0, 'flw2': 1.04, 'flw1': 0.67, 'flw0': 0.0, 'time': 6.87, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.96}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.18, 'state': 'normal', 'rot1': 0, 'rot0': 34, 'rot3': 0, 'rot2': 0, 'depth': 0.241, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:21.256326', 'mgs': 0, 'flw2': 1.49, 'flw1': 0.35, 'flw0': 0.01, 'time': 7.08, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.97}
{'lipoC2': 0.21, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 38, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:21.466205', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.41, 'flw0': 0.0, 'time': 7.29, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.97}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 39, 'rot3': 0, 'rot2': 0, 'depth': -1.743, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:21.673989', 'mgs': 0, 'flw2': 2.39, 'flw1': 0.09, 'flw0': 0.0, 'time': 7.5, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.97}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.07, 'state': 'normal', 'rot1': 0, 'rot0': 42, 'rot3': 0, 'rot2': 0, 'depth': -0.598, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:21.881698', 'mgs': 0, 'flw2': 2.12, 'flw1': 0.09, 'flw0': 0.0, 'time': 7.7, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.97}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.11, 'state': 'normal', 'rot1': 0, 'rot0': 46, 'rot3': 0, 'rot2': 0, 'depth': -0.522, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:22.090106', 'mgs': 0, 'flw2': 1.48, 'flw1': 0.0, 'flw0': 0.0, 'time': 7.91, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.97}
{'lipoC2': 0.1, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 49, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:22.299553', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.62, 'flw0': 0.0, 'time': 8.12, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.97}
