{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.6, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.614, 'yaw': 0.01, 'datetime': '2018-12-18 17:41:42.734104', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.12, 'flw0': 0.2, 'time': 1.26, 'compass': 99.79, 'pitch': -0.96, 'roll': 1.55}
{'lipoC2': 0.15, 'temp': 0.0, 'lipoC3S3': 12.35, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -2.2, 'yaw': 0.38, 'datetime': '2018-12-18 17:41:42.940704', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.47, 'flw0': 0.0, 'time': 1.46, 'compass': 100.16, 'pitch': -0.79, 'roll': 1.49}
{'lipoC2': 0.1, 'temp': 0.0, 'lipoC3S3': 12.42, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': 0.71, 'datetime': '2018-12-18 17:41:43.148863', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.41, 'flw0': 0.0, 'time': 1.67, 'compass': 100.49, 'pitch': -0.59, 'roll': 1.46}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.5, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.385, 'yaw': 1.06, 'datetime': '2018-12-18 17:41:43.360436', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.21, 'flw0': 0.16, 'time': 1.88, 'compass': 100.84, 'pitch': -0.56, 'roll': 1.46}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.52, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.538, 'yaw': 1.36, 'datetime': '2018-12-18 17:41:43.567947', 'mgs': 0, 'flw2': 0.16, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.09, 'compass': 101.13, 'pitch': -0.55, 'roll': 1.47}
{'lipoC2': 0.04, 'temp': 0.0, 'lipoC3S3': 12.47, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.437, 'yaw': 1.66, 'datetime': '2018-12-18 17:41:43.776063', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.35, 'flw0': 0.05, 'time': 2.29, 'compass': 101.43, 'pitch': -0.54, 'roll': 1.47}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.47, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.08, 'yaw': 1.93, 'datetime': '2018-12-18 17:41:43.984377', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.35, 'flw0': 0.15, 'time': 2.5, 'compass': 101.71, 'pitch': -0.53, 'roll': 1.47}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.25, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.598, 'yaw': 2.15, 'datetime': '2018-12-18 17:41:44.188580', 'mgs': 0, 'flw2': 0.06, 'flw1': 0.35, 'flw0': 0.0, 'time': 2.71, 'compass': 101.93, 'pitch': -0.52, 'roll': 1.47}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.58, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': 2.33, 'datetime': '2018-12-18 17:41:44.401156', 'mgs': 0, 'flw2': 0.15, 'flw1': 0.21, 'flw0': 0.0, 'time': 2.92, 'compass': 102.11, 'pitch': -0.52, 'roll': 1.57}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.59, 'state': 'normal', 'rot1': 1, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 2.18, 'datetime': '2018-12-18 17:41:44.605512', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 3.11, 'time': 3.13, 'compass': 101.96, 'pitch': -0.31, 'roll': 1.49}
{'lipoC2': 0.03, 'temp': 0.0, 'lipoC3S3': 12.47, 'state': 'normal', 'rot1': 3, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.285, 'yaw': -0.56, 'datetime': '2018-12-18 17:41:44.813988', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.29, 'flw0': 3.0, 'time': 3.33, 'compass': 99.21, 'pitch': 0.93, 'roll': 0.85}
{'lipoC2': 0.08, 'temp': 0.0, 'lipoC3S3': 12.43, 'state': 'normal', 'rot1': 5, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.743, 'yaw': -5.93, 'datetime': '2018-12-18 17:41:45.019619', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.47, 'flw0': 0.11, 'time': 3.54, 'compass': 93.84, 'pitch': 1.56, 'roll': 0.08}
{'lipoC2': 0.14, 'temp': 0.0, 'lipoC3S3': 12.34, 'state': 'normal', 'rot1': 6, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.614, 'yaw': -11.54, 'datetime': '2018-12-18 17:41:45.227829', 'mgs': 0, 'flw2': 0.13, 'flw1': 0.21, 'flw0': 2.72, 'time': 3.75, 'compass': 88.24, 'pitch': 0.11, 'roll': -0.01}
{'lipoC2': 0.15, 'temp': 0.0, 'lipoC3S3': 12.25, 'state': 'normal', 'rot1': 9, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.293, 'yaw': -18.57, 'datetime': '2018-12-18 17:41:45.435498', 'mgs': 0, 'flw2': 0.17, 'flw1': 0.09, 'flw0': 2.76, 'time': 3.95, 'compass': 81.21, 'pitch': -0.01, 'roll': -0.08}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.41, 'state': 'normal', 'rot1': 11, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -27.45, 'datetime': '2018-12-18 17:41:45.645455', 'mgs': 0, 'flw2': 0.15, 'flw1': 0.32, 'flw0': 2.83, 'time': 4.16, 'compass': 72.33, 'pitch': 1.28, 'roll': -0.2}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.58, 'state': 'normal', 'rot1': 14, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': -37.32, 'datetime': '2018-12-18 17:41:45.852821', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 3.11, 'time': 4.37, 'compass': 62.46, 'pitch': 2.0, 'roll': -0.36}
{'lipoC2': 0.02, 'temp': 0.0, 'lipoC3S3': 12.26, 'state': 'normal', 'rot1': 16, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.317, 'yaw': -48.02, 'datetime': '2018-12-18 17:41:46.063910', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.26, 'flw0': 3.06, 'time': 4.58, 'compass': 51.76, 'pitch': 1.65, 'roll': -0.79}
{'lipoC2': 0.14, 'temp': 0.0, 'lipoC3S3': 12.31, 'state': 'normal', 'rot1': 17, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.208, 'yaw': -57.82, 'datetime': '2018-12-18 17:41:46.271527', 'mgs': 0, 'flw2': 0.21, 'flw1': 0.0, 'flw0': 0.17, 'time': 4.79, 'compass': 41.96, 'pitch': 0.68, 'roll': -1.01}
{'lipoC2': 0.14, 'temp': 0.0, 'lipoC3S3': 12.3, 'state': 'normal', 'rot1': 17, 'rot0': 2, 'rot3': 0, 'rot2': 0, 'depth': -0.98, 'yaw': -65.69, 'datetime': '2018-12-18 17:41:46.480246', 'mgs': 0, 'flw2': 2.86, 'flw1': 0.38, 'flw0': 0.0, 'time': 5.0, 'compass': 34.09, 'pitch': -0.0, 'roll': -0.53}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.43, 'state': 'normal', 'rot1': 17, 'rot0': 4, 'rot3': 0, 'rot2': 0, 'depth': 0.012, 'yaw': -69.36, 'datetime': '2018-12-18 17:41:46.687439', 'mgs': 0, 'flw2': 3.02, 'flw1': 0.41, 'flw0': 0.0, 'time': 5.2, 'compass': 30.42, 'pitch': 1.36, 'roll': 0.31}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.54, 'state': 'normal', 'rot1': 17, 'rot0': 6, 'rot3': 0, 'rot2': 0, 'depth': 1.691, 'yaw': -69.72, 'datetime': '2018-12-18 17:41:46.896281', 'mgs': 0, 'flw2': 3.03, 'flw1': 0.0, 'flw0': 0.01, 'time': 5.41, 'compass': 30.06, 'pitch': 2.49, 'roll': 0.79}
{'lipoC2': 0.12, 'temp': 0.0, 'lipoC3S3': 12.55, 'state': 'normal', 'rot1': 19, 'rot0': 9, 'rot3': 0, 'rot2': 0, 'depth': -1.59, 'yaw': -68.61, 'datetime': '2018-12-18 17:41:47.104310', 'mgs': 0, 'flw2': 2.89, 'flw1': 0.0, 'flw0': 2.95, 'time': 5.62, 'compass': 31.17, 'pitch': 2.72, 'roll': 0.66}
{'lipoC2': 0.05, 'temp': 0.0, 'lipoC3S3': 12.19, 'state': 'normal', 'rot1': 21, 'rot0': 12, 'rot3': 0, 'rot2': 0, 'depth': 0.623, 'yaw': -68.5, 'datetime': '2018-12-18 17:41:47.313786', 'mgs': 0, 'flw2': 2.64, 'flw1': 0.23, 'flw0': 3.04, 'time': 5.83, 'compass': 31.27, 'pitch': 3.17, 'roll': 0.06}
{'lipoC2': 0.04, 'temp': 0.0, 'lipoC3S3': 12.23, 'state': 'normal', 'rot1': 24, 'rot0': 14, 'rot3': 0, 'rot2': 0, 'depth': 1.462, 'yaw': -69.26, 'datetime': '2018-12-18 17:41:47.522368', 'mgs': 0, 'flw2': 2.51, 'flw1': 0.32, 'flw0': 3.05, 'time': 6.04, 'compass': 30.51, 'pitch': 3.5, 'roll': -0.38}
{'lipoC2': 0.05, 'temp': 0.0, 'lipoC3S3': 12.45, 'state': 'normal', 'rot1': 26, 'rot0': 16, 'rot3': 0, 'rot2': 0, 'depth': -1.514, 'yaw': -70.29, 'datetime': '2018-12-18 17:41:47.731722', 'mgs': 0, 'flw2': 2.81, 'flw1': 0.47, 'flw0': 2.99, 'time': 6.25, 'compass': 29.48, 'pitch': 3.39, 'roll': -0.37}
{'lipoC2': 0.03, 'temp': 0.0, 'lipoC3S3': 12.25, 'state': 'normal', 'rot1': 28, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': 0.47, 'yaw': -71.5, 'datetime': '2018-12-18 17:41:47.939462', 'mgs': 0, 'flw2': 3.03, 'flw1': 0.32, 'flw0': 3.11, 'time': 6.45, 'compass': 28.27, 'pitch': 3.1, 'roll': -0.25}
