{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.7, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': 0.0, 'datetime': '2018-12-18 16:58:49.543278', 'mgs': 0, 'flw2': 0.16, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.26, 'compass': 97.32, 'pitch': 1.26, 'roll': 1.0}
{'lipoC2': 0.1, 'temp': 0.0, 'lipoC3S3': 12.54, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -2.048, 'yaw': 0.2, 'datetime': '2018-12-18 16:58:49.753947', 'mgs': 0, 'flw2': 0.11, 'flw1': 0.0, 'flw0': 0.07, 'time': 1.47, 'compass': 97.52, 'pitch': 0.86, 'roll': 1.28}
{'lipoC2': 0.13, 'temp': 0.0, 'lipoC3S3': 12.29, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.699, 'yaw': 0.42, 'datetime': '2018-12-18 16:58:49.960805', 'mgs': 0, 'flw2': 0.11, 'flw1': 0.29, 'flw0': 0.0, 'time': 1.67, 'compass': 97.74, 'pitch': 1.06, 'roll': 1.33}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.41, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.233, 'yaw': 0.63, 'datetime': '2018-12-18 16:58:50.170877', 'mgs': 0, 'flw2': 0.09, 'flw1': 0.38, 'flw0': 0.0, 'time': 1.88, 'compass': 97.95, 'pitch': 1.48, 'roll': 1.33}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.6, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.385, 'yaw': 0.84, 'datetime': '2018-12-18 16:58:50.373958', 'mgs': 0, 'flw2': 4.54, 'flw1': 0.5, 'flw0': 4.57, 'time': 2.09, 'compass': 98.16, 'pitch': 1.35, 'roll': 1.26}
{'lipoC2': 0.18, 'temp': 0.0, 'lipoC3S3': 12.27, 'state': 'normal', 'rot1': 4, 'rot0': 3, 'rot3': 0, 'rot2': 0, 'depth': 0.851, 'yaw': -1.72, 'datetime': '2018-12-18 16:58:50.581990', 'mgs': 0, 'flw2': 3.02, 'flw1': 0.35, 'flw0': 3.75, 'time': 2.3, 'compass': 95.6, 'pitch': 1.23, 'roll': 0.42}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.74, 'state': 'normal', 'rot1': 7, 'rot0': 6, 'rot3': 0, 'rot2': 0, 'depth': 2.225, 'yaw': -9.88, 'datetime': '2018-12-18 16:58:50.791490', 'mgs': 0, 'flw2': 2.72, 'flw1': 0.06, 'flw0': 3.38, 'time': 2.5, 'compass': 87.44, 'pitch': 2.0, 'roll': -0.9}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.56, 'state': 'normal', 'rot1': 10, 'rot0': 9, 'rot3': 0, 'rot2': 0, 'depth': 1.157, 'yaw': -21.24, 'datetime': '2018-12-18 16:58:50.996950', 'mgs': 0, 'flw2': 2.29, 'flw1': 0.44, 'flw0': 2.37, 'time': 2.71, 'compass': 76.08, 'pitch': 2.34, 'roll': -1.1}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.68, 'state': 'normal', 'rot1': 13, 'rot0': 11, 'rot3': 0, 'rot2': 0, 'depth': 2.072, 'yaw': -33.58, 'datetime': '2018-12-18 16:58:51.213343', 'mgs': 0, 'flw2': 2.08, 'flw1': 0.0, 'flw0': 1.6, 'time': 2.92, 'compass': 63.74, 'pitch': 1.81, 'roll': -0.56}
{'lipoC2': 0.15, 'temp': 0.0, 'lipoC3S3': 12.27, 'state': 'normal', 'rot1': 15, 'rot0': 13, 'rot3': 0, 'rot2': 0, 'depth': 0.546, 'yaw': -45.31, 'datetime': '2018-12-18 16:58:51.419172', 'mgs': 0, 'flw2': 1.34, 'flw1': 0.03, 'flw0': 0.82, 'time': 3.13, 'compass': 52.01, 'pitch': 1.39, 'roll': 0.36}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.34, 'state': 'normal', 'rot1': 17, 'rot0': 15, 'rot3': 0, 'rot2': 0, 'depth': -0.446, 'yaw': -56.87, 'datetime': '2018-12-18 16:58:51.627596', 'mgs': 0, 'flw2': 0.92, 'flw1': 0.0, 'flw0': 0.42, 'time': 3.34, 'compass': 40.45, 'pitch': 1.52, 'roll': 1.48}
{'lipoC2': 0.12, 'temp': 0.0, 'lipoC3S3': 12.52, 'state': 'normal', 'rot1': 19, 'rot0': 16, 'rot3': 0, 'rot2': 0, 'depth': 1.92, 'yaw': -67.39, 'datetime': '2018-12-18 16:58:51.835099', 'mgs': 0, 'flw2': 0.57, 'flw1': 0.0, 'flw0': 0.65, 'time': 3.55, 'compass': 29.93, 'pitch': 1.53, 'roll': 2.29}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.66, 'state': 'normal', 'rot1': 21, 'rot0': 22, 'rot3': 0, 'rot2': 0, 'depth': 1.538, 'yaw': -76.44, 'datetime': '2018-12-18 16:58:52.044896', 'mgs': 0, 'flw2': 0.56, 'flw1': 0.0, 'flw0': 0.15, 'time': 3.75, 'compass': 20.88, 'pitch': 0.62, 'roll': 2.62}
{'lipoC2': 0.03, 'temp': 0.0, 'lipoC3S3': 12.62, 'state': 'normal', 'rot1': 22, 'rot0': 28, 'rot3': 0, 'rot2': 0, 'depth': 1.385, 'yaw': -85.04, 'datetime': '2018-12-18 16:58:52.255075', 'mgs': 0, 'flw2': 0.18, 'flw1': 0.44, 'flw0': 0.43, 'time': 3.96, 'compass': 12.28, 'pitch': -0.26, 'roll': 2.3}
