{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.74, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.285, 'yaw': 0.0, 'datetime': '2018-12-18 16:49:13.557045', 'mgs': 0, 'flw2': 0.2, 'flw1': 0.06, 'flw0': 0.0, 'time': 1.26, 'compass': -61.39, 'pitch': 0.99, 'roll': 1.91}
{'lipoC2': 0.16, 'temp': 0.0, 'lipoC3S3': 12.35, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.928, 'yaw': -0.29, 'datetime': '2018-12-18 16:49:13.765367', 'mgs': 0, 'flw2': 0.17, 'flw1': 0.15, 'flw0': 0.0, 'time': 1.46, 'compass': -61.68, 'pitch': 1.49, 'roll': 1.89}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.55, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.394, 'yaw': -0.57, 'datetime': '2018-12-18 16:49:13.972056', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.41, 'flw0': 0.0, 'time': 1.67, 'compass': -61.96, 'pitch': 1.49, 'roll': 1.89}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.48, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.928, 'yaw': -0.85, 'datetime': '2018-12-18 16:49:14.178053', 'mgs': 0, 'flw2': 0.04, 'flw1': 0.0, 'flw0': 0.13, 'time': 1.88, 'compass': -62.24, 'pitch': 1.04, 'roll': 1.89}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.37, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.522, 'yaw': -1.15, 'datetime': '2018-12-18 16:49:14.393111', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.2, 'time': 2.09, 'compass': -62.54, 'pitch': 0.87, 'roll': 1.9}
{'lipoC2': 0.14, 'temp': 0.0, 'lipoC3S3': 12.34, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.928, 'yaw': -1.44, 'datetime': '2018-12-18 16:49:14.594874', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.21, 'time': 2.29, 'compass': -62.83, 'pitch': 1.04, 'roll': 1.9}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.72, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.691, 'yaw': -1.71, 'datetime': '2018-12-18 16:49:14.804717', 'mgs': 0, 'flw2': 0.12, 'flw1': 0.26, 'flw0': 0.0, 'time': 2.5, 'compass': -63.1, 'pitch': 1.32, 'roll': 1.91}
{'lipoC2': 0.01, 'temp': 0.0, 'lipoC3S3': 12.63, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.437, 'yaw': -1.98, 'datetime': '2018-12-18 16:49:15.013150', 'mgs': 0, 'flw2': 0.2, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.71, 'compass': -63.37, 'pitch': 1.4, 'roll': 1.92}
{'lipoC2': 0.06, 'temp': 0.0, 'lipoC3S3': 12.63, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.666, 'yaw': -2.25, 'datetime': '2018-12-18 16:49:15.221010', 'mgs': 0, 'flw2': 0.06, 'flw1': 0.0, 'flw0': 0.12, 'time': 2.92, 'compass': -63.64, 'pitch': 1.23, 'roll': 1.92}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.66, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.462, 'yaw': -2.53, 'datetime': '2018-12-18 16:49:15.426351', 'mgs': 0, 'flw2': 0.18, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.13, 'compass': -63.92, 'pitch': 1.11, 'roll': 1.93}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.67, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.538, 'yaw': -2.82, 'datetime': '2018-12-18 16:49:15.635863', 'mgs': 0, 'flw2': 0.17, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.33, 'compass': -64.21, 'pitch': 1.36, 'roll': 1.93}
{'lipoC2': 0.08, 'temp': 0.0, 'lipoC3S3': 12.58, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.895, 'yaw': -3.07, 'datetime': '2018-12-18 16:49:15.845614', 'mgs': 0, 'flw2': 0.1, 'flw1': 0.0, 'flw0': 0.12, 'time': 3.54, 'compass': -64.46, 'pitch': 1.64, 'roll': 1.77}
{'lipoC2': 0.15, 'temp': 0.0, 'lipoC3S3': 12.42, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.056, 'yaw': -3.34, 'datetime': '2018-12-18 16:49:16.051681', 'mgs': 0, 'flw2': 0.18, 'flw1': 0.06, 'flw0': 3.21, 'time': 3.75, 'compass': -64.73, 'pitch': 1.35, 'roll': 1.65}
{'lipoC2': 0.06, 'temp': 0.0, 'lipoC3S3': 12.58, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.666, 'yaw': -4.04, 'datetime': '2018-12-18 16:49:16.259187', 'mgs': 0, 'flw2': 0.07, 'flw1': 0.0, 'flw0': 0.1, 'time': 3.96, 'compass': -65.43, 'pitch': 1.06, 'roll': 1.72}
{'lipoC2': 0.14, 'temp': 0.0, 'lipoC3S3': 12.46, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.285, 'yaw': -4.7, 'datetime': '2018-12-18 16:49:16.468739', 'mgs': 0, 'flw2': 0.13, 'flw1': 0.32, 'flw0': 0.0, 'time': 4.16, 'compass': -66.09, 'pitch': 1.25, 'roll': 1.89}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.56, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.546, 'yaw': -5.37, 'datetime': '2018-12-18 16:49:16.676416', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.41, 'flw0': 0.0, 'time': 4.37, 'compass': -66.76, 'pitch': 1.74, 'roll': 1.91}
{'lipoC2': 0.05, 'temp': 0.0, 'lipoC3S3': 12.37, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.394, 'yaw': -6.03, 'datetime': '2018-12-18 16:49:16.885138', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.29, 'flw0': 0.12, 'time': 4.58, 'compass': -67.42, 'pitch': 1.64, 'roll': 1.93}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.34, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.056, 'yaw': -6.63, 'datetime': '2018-12-18 16:49:17.092030', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.09, 'flw0': 0.21, 'time': 4.79, 'compass': -68.02, 'pitch': 1.09, 'roll': 1.94}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.52, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.623, 'yaw': -7.27, 'datetime': '2018-12-18 16:49:17.300808', 'mgs': 0, 'flw2': 0.04, 'flw1': 0.0, 'flw0': 0.13, 'time': 5.0, 'compass': -68.66, 'pitch': 0.91, 'roll': 1.95}
{'lipoC2': 0.05, 'temp': 0.0, 'lipoC3S3': 12.37, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.309, 'yaw': -7.91, 'datetime': '2018-12-18 16:49:17.507454', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.29, 'flw0': 0.15, 'time': 5.2, 'compass': -69.3, 'pitch': 1.39, 'roll': 1.88}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.55, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.064, 'yaw': -8.46, 'datetime': '2018-12-18 16:49:17.716467', 'mgs': 0, 'flw2': 0.09, 'flw1': 0.41, 'flw0': 0.0, 'time': 5.41, 'compass': -69.85, 'pitch': 1.71, 'roll': 1.88}
{'lipoC2': 0.05, 'temp': 0.0, 'lipoC3S3': 12.59, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.361, 'yaw': -9.04, 'datetime': '2018-12-18 16:49:17.925059', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.41, 'flw0': 0.0, 'time': 5.62, 'compass': -70.43, 'pitch': 1.38, 'roll': 1.92}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.68, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': -9.63, 'datetime': '2018-12-18 16:49:18.132838', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 1.46, 'time': 5.83, 'compass': -71.02, 'pitch': 1.06, 'roll': 1.97}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.72, 'state': 'normal', 'rot1': 3, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 2.072, 'yaw': -11.55, 'datetime': '2018-12-18 16:49:18.341325', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.41, 'flw0': 3.14, 'time': 6.03, 'compass': -72.94, 'pitch': 2.03, 'roll': 1.71}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.55, 'state': 'normal', 'rot1': 4, 'rot0': 1, 'rot3': 0, 'rot2': 0, 'depth': -0.064, 'yaw': -16.03, 'datetime': '2018-12-18 16:49:18.550362', 'mgs': 0, 'flw2': 2.86, 'flw1': 0.47, 'flw0': 0.0, 'time': 6.24, 'compass': -77.42, 'pitch': 3.83, 'roll': 1.23}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.74, 'state': 'normal', 'rot1': 4, 'rot0': 3, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -17.61, 'datetime': '2018-12-18 16:49:18.757098', 'mgs': 0, 'flw2': 2.47, 'flw1': 0.09, 'flw0': 0.2, 'time': 6.45, 'compass': -78.99, 'pitch': 4.0, 'roll': 1.7}
{'lipoC2': 0.09, 'temp': 0.0, 'lipoC3S3': 12.58, 'state': 'normal', 'rot1': 4, 'rot0': 6, 'rot3': 0, 'rot2': 0, 'depth': -1.971, 'yaw': -15.82, 'datetime': '2018-12-18 16:49:18.965223', 'mgs': 0, 'flw2': 2.95, 'flw1': 0.44, 'flw0': 0.09, 'time': 6.66, 'compass': -77.21, 'pitch': 3.35, 'roll': 2.69}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.68, 'state': 'normal', 'rot1': 4, 'rot0': 8, 'rot3': 0, 'rot2': 0, 'depth': 1.538, 'yaw': -11.41, 'datetime': '2018-12-18 16:49:19.172512', 'mgs': 0, 'flw2': 2.66, 'flw1': 0.38, 'flw0': 0.09, 'time': 6.86, 'compass': -72.8, 'pitch': 3.42, 'roll': 3.31}
