{'lipoC2': 7.44, 'temp': 0.0, 'lipoC3S3': 11.87, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 2.759, 'yaw': 0.11, 'datetime': '2018-12-12 13:23:21.060636', 'mgs': 0, 'flw2': 0.04, 'flw1': 0.0, 'flw0': 0.28, 'time': 1.68, 'compass': -126.3, 'pitch': -3.46, 'roll': 2.35}
{'lipoC2': 7.46, 'temp': 0.0, 'lipoC3S3': 11.48, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 2.606, 'yaw': 0.27, 'datetime': '2018-12-12 13:23:21.266167', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.53, 'flw0': 0.0, 'time': 1.88, 'compass': -126.13, 'pitch': -3.71, 'roll': 2.36}
{'lipoC2': 7.43, 'temp': 0.0, 'lipoC3S3': 11.92, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.241, 'yaw': 0.46, 'datetime': '2018-12-12 13:23:21.476014', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.41, 'flw0': 0.0, 'time': 2.09, 'compass': -125.94, 'pitch': -3.71, 'roll': 2.37}
{'lipoC2': 7.44, 'temp': 0.0, 'lipoC3S3': 11.92, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 2.759, 'yaw': 0.71, 'datetime': '2018-12-12 13:23:21.684808', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.29, 'flw0': 0.0, 'time': 2.3, 'compass': -125.7, 'pitch': -4.03, 'roll': 2.4}
{'lipoC2': 7.42, 'temp': 0.0, 'lipoC3S3': 11.93, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.089, 'yaw': 0.99, 'datetime': '2018-12-12 13:23:21.892999', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.51, 'compass': -125.41, 'pitch': -4.38, 'roll': 2.62}
{'lipoC2': 7.47, 'temp': 0.0, 'lipoC3S3': 11.83, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 2.301, 'yaw': 1.3, 'datetime': '2018-12-12 13:23:22.101820', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.62, 'flw0': 0.0, 'time': 2.71, 'compass': -125.1, 'pitch': -4.17, 'roll': 2.74}
{'lipoC2': 7.42, 'temp': 0.0, 'lipoC3S3': 11.89, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.089, 'yaw': 1.65, 'datetime': '2018-12-12 13:23:22.313800', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.38, 'flw0': 0.0, 'time': 2.92, 'compass': -124.76, 'pitch': -3.87, 'roll': 2.77}
{'lipoC2': 7.61, 'temp': 0.0, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': 2.05, 'datetime': '2018-12-12 13:23:22.522167', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.13, 'compass': -124.35, 'pitch': -3.9, 'roll': 2.92}
{'lipoC2': 7.42, 'temp': 0.0, 'lipoC3S3': 11.94, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 2.454, 'yaw': 2.42, 'datetime': '2018-12-12 13:23:22.728058', 'mgs': 0, 'flw2': 0.05, 'flw1': 0.0, 'flw0': 0.28, 'time': 3.34, 'compass': -123.98, 'pitch': -3.81, 'roll': 3.1}
{'lipoC2': 7.41, 'temp': 0.0, 'lipoC3S3': 11.67, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.165, 'yaw': 2.78, 'datetime': '2018-12-12 13:23:22.936445', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.21, 'flw0': 0.0, 'time': 3.55, 'compass': -123.62, 'pitch': -3.43, 'roll': 3.09}
{'lipoC2': 7.42, 'temp': 0.0, 'lipoC3S3': 11.69, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.385, 'yaw': 3.15, 'datetime': '2018-12-12 13:23:23.143711', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.53, 'flw0': 0.0, 'time': 3.76, 'compass': -123.26, 'pitch': -3.3, 'roll': 3.01}
{'lipoC2': 7.62, 'temp': 0.0, 'lipoC3S3': 11.48, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.598, 'yaw': 3.45, 'datetime': '2018-12-12 13:23:23.354562', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.96, 'compass': -122.95, 'pitch': -3.74, 'roll': 3.03}
{'lipoC2': 7.42, 'temp': 0.0, 'lipoC3S3': 11.92, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 2.53, 'yaw': 3.78, 'datetime': '2018-12-12 13:23:23.561467', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.32, 'flw0': 0.0, 'time': 4.17, 'compass': -122.63, 'pitch': -4.28, 'roll': 3.06}
{'lipoC2': 7.42, 'temp': 0.0, 'lipoC3S3': 11.69, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.614, 'yaw': 4.07, 'datetime': '2018-12-12 13:23:23.767725', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.41, 'flw0': 0.0, 'time': 4.38, 'compass': -122.34, 'pitch': -4.33, 'roll': 3.05}
{'lipoC2': 7.42, 'temp': 0.0, 'lipoC3S3': 11.94, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.012, 'yaw': 4.34, 'datetime': '2018-12-12 13:23:23.977399', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 4.59, 'compass': -122.06, 'pitch': -4.01, 'roll': 2.86}
{'lipoC2': 7.49, 'temp': 0.0, 'lipoC3S3': 11.93, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.369, 'yaw': 4.59, 'datetime': '2018-12-12 13:23:24.185190', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 4.8, 'compass': -121.82, 'pitch': -3.96, 'roll': 2.87}
{'lipoC2': 7.46, 'temp': 0.0, 'lipoC3S3': 11.8, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.47, 'yaw': 4.82, 'datetime': '2018-12-12 13:23:24.391825', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.11, 'time': 5.0, 'compass': -121.59, 'pitch': -4.25, 'roll': 3.11}
{'lipoC2': 7.44, 'temp': 0.0, 'lipoC3S3': 11.76, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.012, 'yaw': 5.05, 'datetime': '2018-12-12 13:23:24.605561', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.12, 'time': 5.21, 'compass': -121.36, 'pitch': -4.29, 'roll': 3.22}
{'lipoC2': 7.44, 'temp': 0.0, 'lipoC3S3': 11.79, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.309, 'yaw': 5.27, 'datetime': '2018-12-12 13:23:24.814087', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.35, 'flw0': 0.0, 'time': 5.42, 'compass': -121.14, 'pitch': -4.11, 'roll': 3.23}
{'lipoC2': 7.42, 'temp': 0.0, 'lipoC3S3': 11.85, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.691, 'yaw': 5.48, 'datetime': '2018-12-12 13:23:25.021842', 'mgs': 0, 'flw2': 0.09, 'flw1': 0.0, 'flw0': 0.0, 'time': 5.63, 'compass': -120.92, 'pitch': -4.22, 'roll': 3.33}
{'lipoC2': 7.53, 'temp': 0.0, 'lipoC3S3': 11.64, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.928, 'yaw': 5.71, 'datetime': '2018-12-12 13:23:25.229424', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 5.84, 'compass': -120.69, 'pitch': -4.5, 'roll': 3.66}
{'lipoC2': 7.55, 'temp': 0.0, 'lipoC3S3': 11.64, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.546, 'yaw': 5.95, 'datetime': '2018-12-12 13:23:25.439897', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.12, 'flw0': 0.0, 'time': 6.05, 'compass': -120.46, 'pitch': -4.4, 'roll': 3.81}
{'lipoC2': 7.66, 'temp': 0.0, 'lipoC3S3': 11.81, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.546, 'yaw': 6.19, 'datetime': '2018-12-12 13:23:25.647084', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.18, 'flw0': 0.0, 'time': 6.25, 'compass': -120.22, 'pitch': -4.07, 'roll': 3.82}
{'lipoC2': 7.43, 'temp': 0.0, 'lipoC3S3': 11.9, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.165, 'yaw': 6.42, 'datetime': '2018-12-12 13:23:25.856240', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 6.46, 'compass': -119.99, 'pitch': -3.94, 'roll': 3.87}
{'lipoC2': 7.59, 'temp': 0.0, 'lipoC3S3': 11.48, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.674, 'yaw': 6.67, 'datetime': '2018-12-12 13:23:26.064845', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.29, 'flw0': 0.0, 'time': 6.67, 'compass': -119.73, 'pitch': -4.04, 'roll': 3.88}
{'lipoC2': 7.46, 'temp': 0.0, 'lipoC3S3': 11.61, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.165, 'yaw': 6.94, 'datetime': '2018-12-12 13:23:26.271381', 'mgs': 0, 'flw2': 0.16, 'flw1': 0.0, 'flw0': 0.0, 'time': 6.88, 'compass': -119.47, 'pitch': -4.25, 'roll': 3.83}
{'lipoC2': 7.46, 'temp': 0.0, 'lipoC3S3': 11.8, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.614, 'yaw': 7.22, 'datetime': '2018-12-12 13:23:26.479350', 'mgs': 0, 'flw2': 0.11, 'flw1': 0.29, 'flw0': 0.0, 'time': 7.09, 'compass': -119.18, 'pitch': -4.65, 'roll': 3.76}
{'lipoC2': 7.44, 'temp': 0.0, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.089, 'yaw': 7.54, 'datetime': '2018-12-12 13:23:26.687595', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 7.29, 'compass': -118.87, 'pitch': -4.95, 'roll': 3.76}
{'lipoC2': 7.58, 'temp': 0.0, 'lipoC3S3': 11.64, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.546, 'yaw': 7.89, 'datetime': '2018-12-12 13:23:26.896725', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 7.5, 'compass': -118.51, 'pitch': -4.76, 'roll': 3.79}
