{'lipoC2': 0.06, 'temp': 0.0, 'lipoC3S3': 12.23, 'state': 'normal', 'rot1': 17, 'rot0': 54, 'rot3': 0, 'rot2': 0, 'depth': -0.064, 'yaw': 43.83, 'datetime': '2018-12-18 17:13:22.415247', 'mgs': 0, 'flw2': 0.38, 'flw1': 0.0, 'flw0': 0.59, 'time': 4.38, 'compass': -52.42, 'pitch': -0.15, 'roll': 2.83}
{'lipoC2': 0.12, 'temp': 0.0, 'lipoC3S3': 12.25, 'state': 'normal', 'rot1': 19, 'rot0': 61, 'rot3': 0, 'rot2': 0, 'depth': 0.241, 'yaw': 49.25, 'datetime': '2018-12-18 17:13:22.618428', 'mgs': 0, 'flw2': 0.52, 'flw1': 0.09, 'flw0': 0.01, 'time': 4.59, 'compass': -47.0, 'pitch': 0.24, 'roll': 2.83}
{'lipoC2': 0.06, 'temp': 0.0, 'lipoC3S3': 12.23, 'state': 'normal', 'rot1': 20, 'rot0': 68, 'rot3': 0, 'rot2': 0, 'depth': 1.08, 'yaw': 54.63, 'datetime': '2018-12-18 17:13:22.826651', 'mgs': 0, 'flw2': 0.52, 'flw1': 0.09, 'flw0': 0.01, 'time': 4.8, 'compass': -41.62, 'pitch': 0.41, 'roll': 2.93}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.66, 'state': 'normal', 'rot1': 21, 'rot0': 70, 'rot3': 0, 'rot2': 0, 'depth': 1.385, 'yaw': 59.73, 'datetime': '2018-12-18 17:13:23.037515', 'mgs': 0, 'flw2': 0.33, 'flw1': 0.0, 'flw0': 0.61, 'time': 5.01, 'compass': -36.52, 'pitch': 0.1, 'roll': 3.14}
{'lipoC2': 0.06, 'temp': 0.0, 'lipoC3S3': 12.55, 'state': 'normal', 'rot1': 22, 'rot0': 71, 'rot3': 0, 'rot2': 0, 'depth': -2.429, 'yaw': 65.03, 'datetime': '2018-12-18 17:13:23.247172', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.26, 'flw0': 0.54, 'time': 5.22, 'compass': -31.22, 'pitch': -0.04, 'roll': 3.28}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.67, 'state': 'normal', 'rot1': 24, 'rot0': 72, 'rot3': 0, 'rot2': 0, 'depth': 1.462, 'yaw': 70.36, 'datetime': '2018-12-18 17:13:23.455653', 'mgs': 0, 'flw2': 0.45, 'flw1': 0.38, 'flw0': 0.21, 'time': 5.43, 'compass': -25.89, 'pitch': 0.41, 'roll': 3.22}
{'lipoC2': 0.08, 'temp': 0.0, 'lipoC3S3': 12.54, 'state': 'normal', 'rot1': 25, 'rot0': 73, 'rot3': 0, 'rot2': 0, 'depth': -2.277, 'yaw': 75.81, 'datetime': '2018-12-18 17:13:23.663845', 'mgs': 0, 'flw2': 0.56, 'flw1': 0.0, 'flw0': 0.15, 'time': 5.63, 'compass': -20.45, 'pitch': 0.9, 'roll': 3.02}
{'lipoC2': 0.17, 'temp': 0.0, 'lipoC3S3': 12.3, 'state': 'normal', 'rot1': 27, 'rot0': 74, 'rot3': 0, 'rot2': 0, 'depth': 0.623, 'yaw': 81.38, 'datetime': '2018-12-18 17:13:23.874021', 'mgs': 0, 'flw2': 0.39, 'flw1': 0.41, 'flw0': 0.27, 'time': 5.84, 'compass': -14.87, 'pitch': 0.86, 'roll': 2.96}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.62, 'state': 'normal', 'rot1': 28, 'rot0': 75, 'rot3': 0, 'rot2': 0, 'depth': 1.004, 'yaw': 86.73, 'datetime': '2018-12-18 17:13:24.084802', 'mgs': 0, 'flw2': 0.56, 'flw1': 0.03, 'flw0': 0.01, 'time': 6.05, 'compass': -9.52, 'pitch': 0.6, 'roll': 3.08}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.37, 'state': 'normal', 'rot1': 29, 'rot0': 76, 'rot3': 0, 'rot2': 0, 'depth': -1.056, 'yaw': 92.41, 'datetime': '2018-12-18 17:13:24.292310', 'mgs': 0, 'flw2': 0.09, 'flw1': 0.0, 'flw0': 0.15, 'time': 6.26, 'compass': -3.84, 'pitch': 0.52, 'roll': 3.21}
{'lipoC2': 0.14, 'temp': 0.0, 'lipoC3S3': 12.48, 'state': 'normal', 'rot1': 29, 'rot0': 76, 'rot3': 0, 'rot2': 0, 'depth': -1.971, 'yaw': 97.5, 'datetime': '2018-12-18 17:13:24.502087', 'mgs': 0, 'flw2': 0.21, 'flw1': 0.0, 'flw0': 0.0, 'time': 6.47, 'compass': 1.25, 'pitch': 0.56, 'roll': 3.13}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.5, 'state': 'normal', 'rot1': 29, 'rot0': 76, 'rot3': 0, 'rot2': 0, 'depth': 0.165, 'yaw': 102.07, 'datetime': '2018-12-18 17:13:24.711865', 'mgs': 0, 'flw2': 0.21, 'flw1': 0.0, 'flw0': 0.0, 'time': 6.68, 'compass': 5.82, 'pitch': 0.65, 'roll': 2.94}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.5, 'state': 'normal', 'rot1': 29, 'rot0': 76, 'rot3': 0, 'rot2': 0, 'depth': 0.394, 'yaw': 106.04, 'datetime': '2018-12-18 17:13:24.921818', 'mgs': 0, 'flw2': 0.26, 'flw1': 0.41, 'flw0': 0.5, 'time': 6.89, 'compass': 9.79, 'pitch': 0.68, 'roll': 2.74}
{'lipoC2': 0.15, 'temp': 0.0, 'lipoC3S3': 12.41, 'state': 'normal', 'rot1': 30, 'rot0': 77, 'rot3': 0, 'rot2': 0, 'depth': -0.674, 'yaw': 109.24, 'datetime': '2018-12-18 17:13:25.131872', 'mgs': 0, 'flw2': 0.42, 'flw1': 0.0, 'flw0': 0.5, 'time': 7.1, 'compass': 12.99, 'pitch': 0.78, 'roll': 2.5}
{'lipoC2': 0.16, 'temp': 0.0, 'lipoC3S3': 12.38, 'state': 'normal', 'rot1': 31, 'rot0': 78, 'rot3': 0, 'rot2': 0, 'depth': -0.598, 'yaw': 111.49, 'datetime': '2018-12-18 17:13:25.341439', 'mgs': 0, 'flw2': 0.39, 'flw1': 0.38, 'flw0': 0.28, 'time': 7.3, 'compass': 15.24, 'pitch': 0.88, 'roll': 2.43}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.5, 'state': 'normal', 'rot1': 33, 'rot0': 79, 'rot3': 0, 'rot2': 0, 'depth': 0.317, 'yaw': 112.97, 'datetime': '2018-12-18 17:13:25.549426', 'mgs': 0, 'flw2': 0.17, 'flw1': 0.44, 'flw0': 0.39, 'time': 7.51, 'compass': 16.72, 'pitch': 0.86, 'roll': 2.59}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.63, 'state': 'normal', 'rot1': 35, 'rot0': 81, 'rot3': 0, 'rot2': 0, 'depth': 1.309, 'yaw': 113.91, 'datetime': '2018-12-18 17:13:25.851475', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.32, 'flw0': 0.54, 'time': 7.82, 'compass': 17.66, 'pitch': 0.92, 'roll': 3.06}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.62, 'state': 'normal', 'rot1': 36, 'rot0': 82, 'rot3': 0, 'rot2': 0, 'depth': 1.157, 'yaw': 113.72, 'datetime': '2018-12-18 17:13:26.061910', 'mgs': 0, 'flw2': 0.57, 'flw1': 0.12, 'flw0': 0.55, 'time': 8.03, 'compass': 17.47, 'pitch': 0.94, 'roll': 3.1}
