{'lipoC2': 7.26, 'temp': 0.0, 'lipoC3S3': 11.22, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.522, 'yaw': 0.0, 'datetime': '2018-12-12 14:35:41.815656', 'mgs': 0, 'flw2': 0.35, 'flw1': 0.0, 'flw0': 0.28, 'time': 1.25, 'compass': -129.92, 'pitch': -3.99, 'roll': 0.86}
{'lipoC2': 7.14, 'temp': 0.0, 'lipoC3S3': 11.23, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.369, 'yaw': -0.51, 'datetime': '2018-12-12 14:35:42.024825', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.53, 'flw0': 0.0, 'time': 1.46, 'compass': -130.43, 'pitch': -3.85, 'roll': 1.03}
{'lipoC2': 7.47, 'temp': 0.0, 'lipoC3S3': 11.23, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.59, 'yaw': -1.13, 'datetime': '2018-12-12 14:35:42.233778', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.67, 'compass': -131.05, 'pitch': -3.86, 'roll': 1.16}
{'lipoC2': 7.32, 'temp': 0.0, 'lipoC3S3': 11.56, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.132, 'yaw': -1.82, 'datetime': '2018-12-12 14:35:42.443230', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.88, 'compass': -131.74, 'pitch': -3.87, 'roll': 1.11}
{'lipoC2': 7.14, 'temp': 0.0, 'lipoC3S3': 11.3, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.538, 'yaw': -2.49, 'datetime': '2018-12-12 14:35:42.651310', 'mgs': 0, 'flw2': 0.22, 'flw1': 0.0, 'flw0': 0.29, 'time': 2.09, 'compass': -132.41, 'pitch': -4.11, 'roll': 0.97}
{'lipoC2': 7.15, 'temp': 0.0, 'lipoC3S3': 11.23, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.699, 'yaw': -3.16, 'datetime': '2018-12-12 14:35:42.858137', 'mgs': 0, 'flw2': 0.23, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.3, 'compass': -133.08, 'pitch': -4.36, 'roll': 0.96}
{'lipoC2': 7.12, 'temp': 0.0, 'lipoC3S3': 11.21, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.522, 'yaw': -3.76, 'datetime': '2018-12-12 14:35:43.067064', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.56, 'flw0': 0.0, 'time': 2.5, 'compass': -133.68, 'pitch': -4.32, 'roll': 1.07}
{'lipoC2': 7.22, 'temp': 0.0, 'lipoC3S3': 11.34, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.012, 'yaw': -4.4, 'datetime': '2018-12-12 14:35:43.271228', 'mgs': 0, 'flw2': 0.01, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.71, 'compass': -134.32, 'pitch': -3.99, 'roll': 1.23}
{'lipoC2': 7.5, 'temp': 0.0, 'lipoC3S3': 11.07, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.285, 'yaw': -5.03, 'datetime': '2018-12-12 14:35:43.481105', 'mgs': 0, 'flw2': 0.04, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.92, 'compass': -134.95, 'pitch': -3.87, 'roll': 1.32}
{'lipoC2': 7.24, 'temp': 0.0, 'lipoC3S3': 11.43, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.522, 'yaw': -5.63, 'datetime': '2018-12-12 14:35:43.688651', 'mgs': 0, 'flw2': 0.09, 'flw1': 0.0, 'flw0': 0.2, 'time': 3.13, 'compass': -135.55, 'pitch': -4.16, 'roll': 1.28}
{'lipoC2': 7.26, 'temp': 0.0, 'lipoC3S3': 11.26, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.895, 'yaw': -6.26, 'datetime': '2018-12-12 14:35:43.897378', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.23, 'time': 3.34, 'compass': -136.18, 'pitch': -4.63, 'roll': 1.23}
{'lipoC2': 7.18, 'temp': 0.0, 'lipoC3S3': 11.27, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.08, 'yaw': -6.94, 'datetime': '2018-12-12 14:35:44.106317', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.55, 'compass': -136.86, 'pitch': -4.8, 'roll': 1.13}
