{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.71, 'state': 'normal', 'rot1': 20, 'rot0': 17, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': 91.5, 'datetime': '2018-12-18 17:02:21.379272', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.24, 'time': 4.38, 'compass': -0.75, 'pitch': 1.86, 'roll': 1.36}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.42, 'state': 'normal', 'rot1': 20, 'rot0': 17, 'rot3': 0, 'rot2': 0, 'depth': -0.522, 'yaw': 97.26, 'datetime': '2018-12-18 17:02:21.587049', 'mgs': 0, 'flw2': 0.05, 'flw1': 0.0, 'flw0': 0.16, 'time': 4.59, 'compass': 5.0, 'pitch': 1.5, 'roll': 1.11}
{'lipoC2': 0.14, 'temp': 0.0, 'lipoC3S3': 12.31, 'state': 'normal', 'rot1': 20, 'rot0': 18, 'rot3': 0, 'rot2': 0, 'depth': 0.623, 'yaw': 102.59, 'datetime': '2018-12-18 17:02:21.797206', 'mgs': 0, 'flw2': 0.4, 'flw1': 0.0, 'flw0': 0.56, 'time': 4.8, 'compass': 10.33, 'pitch': 1.36, 'roll': 0.53}
{'lipoC2': 0.08, 'temp': 0.0, 'lipoC3S3': 12.29, 'state': 'normal', 'rot1': 21, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': 1.157, 'yaw': 106.66, 'datetime': '2018-12-18 17:02:22.007243', 'mgs': 0, 'flw2': 0.48, 'flw1': 0.23, 'flw0': 0.0, 'time': 5.01, 'compass': 14.4, 'pitch': 1.39, 'roll': -0.07}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.55, 'state': 'normal', 'rot1': 23, 'rot0': 20, 'rot3': 0, 'rot2': 0, 'depth': 0.012, 'yaw': 109.78, 'datetime': '2018-12-18 17:02:22.215205', 'mgs': 0, 'flw2': 0.55, 'flw1': 0.0, 'flw0': 0.24, 'time': 5.22, 'compass': 17.53, 'pitch': 1.55, 'roll': -0.08}
{'lipoC2': 0.03, 'temp': 0.0, 'lipoC3S3': 12.31, 'state': 'normal', 'rot1': 24, 'rot0': 21, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 112.11, 'datetime': '2018-12-18 17:02:22.425412', 'mgs': 0, 'flw2': 0.27, 'flw1': 0.0, 'flw0': 0.57, 'time': 5.42, 'compass': 19.85, 'pitch': 1.61, 'roll': 0.34}
{'lipoC2': 0.01, 'temp': 0.0, 'lipoC3S3': 12.6, 'state': 'normal', 'rot1': 25, 'rot0': 22, 'rot3': 0, 'rot2': 0, 'depth': -1.819, 'yaw': 113.64, 'datetime': '2018-12-18 17:02:22.633471', 'mgs': 0, 'flw2': 0.05, 'flw1': 0.38, 'flw0': 0.45, 'time': 5.63, 'compass': 21.39, 'pitch': 1.63, 'roll': 0.78}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.71, 'state': 'normal', 'rot1': 26, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': 1.691, 'yaw': 114.59, 'datetime': '2018-12-18 17:02:22.842327', 'mgs': 0, 'flw2': 0.45, 'flw1': 0.35, 'flw0': 0.0, 'time': 5.84, 'compass': 22.33, 'pitch': 1.65, 'roll': 1.08}
{'lipoC2': 0.06, 'temp': 0.0, 'lipoC3S3': 12.29, 'state': 'normal', 'rot1': 27, 'rot0': 24, 'rot3': 0, 'rot2': 0, 'depth': 0.089, 'yaw': 114.83, 'datetime': '2018-12-18 17:02:23.050596', 'mgs': 0, 'flw2': 0.32, 'flw1': 0.0, 'flw0': 0.59, 'time': 6.05, 'compass': 22.57, 'pitch': 1.65, 'roll': 1.13}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.37, 'state': 'normal', 'rot1': 29, 'rot0': 25, 'rot3': 0, 'rot2': 0, 'depth': 1.233, 'yaw': 114.48, 'datetime': '2018-12-18 17:02:23.261844', 'mgs': 0, 'flw2': 0.4, 'flw1': 0.0, 'flw0': 0.52, 'time': 6.26, 'compass': 22.23, 'pitch': 1.73, 'roll': 1.07}
{'lipoC2': 0.1, 'temp': 0.0, 'lipoC3S3': 12.55, 'state': 'normal', 'rot1': 30, 'rot0': 26, 'rot3': 0, 'rot2': 0, 'depth': -2.124, 'yaw': 113.67, 'datetime': '2018-12-18 17:02:23.470107', 'mgs': 0, 'flw2': 0.59, 'flw1': 0.0, 'flw0': 0.26, 'time': 6.47, 'compass': 21.41, 'pitch': 1.67, 'roll': 0.83}
{'lipoC2': 0.16, 'temp': 0.0, 'lipoC3S3': 12.43, 'state': 'normal', 'rot1': 31, 'rot0': 27, 'rot3': 0, 'rot2': 0, 'depth': 1.233, 'yaw': 112.33, 'datetime': '2018-12-18 17:02:23.680411', 'mgs': 0, 'flw2': 0.44, 'flw1': 0.41, 'flw0': 0.26, 'time': 6.68, 'compass': 20.07, 'pitch': 1.4, 'roll': 0.73}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.5, 'state': 'normal', 'rot1': 33, 'rot0': 28, 'rot3': 0, 'rot2': 0, 'depth': 0.928, 'yaw': 110.59, 'datetime': '2018-12-18 17:02:23.888052', 'mgs': 0, 'flw2': 0.15, 'flw1': 0.41, 'flw0': 0.4, 'time': 6.89, 'compass': 18.34, 'pitch': 1.37, 'roll': 0.78}
{'lipoC2': 0.14, 'temp': 0.0, 'lipoC3S3': 12.3, 'state': 'normal', 'rot1': 33, 'rot0': 29, 'rot3': 0, 'rot2': 0, 'depth': 0.47, 'yaw': 108.51, 'datetime': '2018-12-18 17:02:24.097042', 'mgs': 0, 'flw2': 0.51, 'flw1': 0.21, 'flw0': 0.0, 'time': 7.09, 'compass': 16.25, 'pitch': 1.6, 'roll': 0.91}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.6, 'state': 'normal', 'rot1': 35, 'rot0': 30, 'rot3': 0, 'rot2': 0, 'depth': 0.775, 'yaw': 106.22, 'datetime': '2018-12-18 17:02:24.304824', 'mgs': 0, 'flw2': 0.01, 'flw1': 0.23, 'flw0': 0.51, 'time': 7.3, 'compass': 13.96, 'pitch': 1.62, 'roll': 1.29}
{'lipoC2': 0.12, 'temp': 0.0, 'lipoC3S3': 12.51, 'state': 'normal', 'rot1': 36, 'rot0': 31, 'rot3': 0, 'rot2': 0, 'depth': -2.048, 'yaw': 103.48, 'datetime': '2018-12-18 17:02:24.515166', 'mgs': 0, 'flw2': 0.57, 'flw1': 0.0, 'flw0': 0.38, 'time': 7.51, 'compass': 11.22, 'pitch': 1.55, 'roll': 1.63}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.7, 'state': 'normal', 'rot1': 37, 'rot0': 32, 'rot3': 0, 'rot2': 0, 'depth': 1.614, 'yaw': 100.44, 'datetime': '2018-12-18 17:02:24.724084', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.21, 'flw0': 0.55, 'time': 7.72, 'compass': 8.18, 'pitch': 1.47, 'roll': 1.71}
{'lipoC2': 0.09, 'temp': 0.0, 'lipoC3S3': 12.27, 'state': 'normal', 'rot1': 38, 'rot0': 33, 'rot3': 0, 'rot2': 0, 'depth': 0.089, 'yaw': 97.09, 'datetime': '2018-12-18 17:02:24.938131', 'mgs': 0, 'flw2': 0.6, 'flw1': 0.06, 'flw0': 0.57, 'time': 7.93, 'compass': 4.84, 'pitch': 1.39, 'roll': 1.77}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.71, 'state': 'normal', 'rot1': 39, 'rot0': 34, 'rot3': 0, 'rot2': 0, 'depth': 1.538, 'yaw': 93.51, 'datetime': '2018-12-18 17:02:25.144344', 'mgs': 0, 'flw2': 0.16, 'flw1': 0.26, 'flw0': 0.0, 'time': 8.14, 'compass': 1.25, 'pitch': 1.29, 'roll': 1.83}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.37, 'state': 'normal', 'rot1': 39, 'rot0': 34, 'rot3': 0, 'rot2': 0, 'depth': -0.98, 'yaw': 90.51, 'datetime': '2018-12-18 17:02:25.350996', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.47, 'flw0': 0.0, 'time': 8.35, 'compass': -1.75, 'pitch': 1.19, 'roll': 2.01}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.71, 'state': 'normal', 'rot1': 39, 'rot0': 34, 'rot3': 0, 'rot2': 0, 'depth': 1.614, 'yaw': 87.81, 'datetime': '2018-12-18 17:02:25.561149', 'mgs': 0, 'flw2': 0.12, 'flw1': 0.32, 'flw0': 0.0, 'time': 8.55, 'compass': -4.45, 'pitch': 1.09, 'roll': 2.37}
{'lipoC2': 0.06, 'temp': 0.0, 'lipoC3S3': 12.64, 'state': 'normal', 'rot1': 39, 'rot0': 34, 'rot3': 0, 'rot2': 0, 'depth': 0.165, 'yaw': 85.45, 'datetime': '2018-12-18 17:02:25.770109', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.32, 'flw0': 0.12, 'time': 8.76, 'compass': -6.8, 'pitch': 1.15, 'roll': 2.77}
{'lipoC2': 0.09, 'temp': 0.0, 'lipoC3S3': 12.54, 'state': 'normal', 'rot1': 39, 'rot0': 34, 'rot3': 0, 'rot2': 0, 'depth': -2.505, 'yaw': 83.42, 'datetime': '2018-12-18 17:02:25.981618', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 8.97, 'compass': -8.83, 'pitch': 1.29, 'roll': 2.96}
{'lipoC2': 0.12, 'temp': 0.0, 'lipoC3S3': 12.52, 'state': 'normal', 'rot1': 39, 'rot0': 35, 'rot3': 0, 'rot2': 0, 'depth': -1.971, 'yaw': 81.5, 'datetime': '2018-12-18 17:02:26.192023', 'mgs': 0, 'flw2': 0.38, 'flw1': 0.47, 'flw0': 0.46, 'time': 9.18, 'compass': -10.76, 'pitch': 1.27, 'roll': 2.98}
