{'lipoC2': 7.56, 'temp': 29.38, 'lipoC3S3': 12.08, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.538, 'yaw': 0.0, 'datetime': '2018-11-26 11:51:34.043965', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.26, 'compass': -104.2, 'pitch': 2.89, 'roll': -4.56}
{'lipoC2': 7.56, 'temp': 29.31, 'lipoC3S3': 12.08, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.538, 'yaw': 0.23, 'datetime': '2018-11-26 11:51:34.248981', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.47, 'compass': -103.97, 'pitch': 2.58, 'roll': -4.97}
{'lipoC2': 7.56, 'temp': 29.31, 'lipoC3S3': 12.04, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.538, 'yaw': 0.47, 'datetime': '2018-11-26 11:51:34.457862', 'mgs': 0, 'flw2': 3.19, 'flw1': 0.0, 'flw0': 3.34, 'time': 1.68, 'compass': -103.74, 'pitch': 2.53, 'roll': -5.04}
{'lipoC2': 7.56, 'temp': 29.31, 'lipoC3S3': 12.04, 'state': 'normal', 'rot1': 2, 'rot0': 2, 'rot3': 0, 'rot2': 0, 'depth': 1.538, 'yaw': 0.52, 'datetime': '2018-11-26 11:51:34.666611', 'mgs': 0, 'flw2': 2.75, 'flw1': 0.0, 'flw0': 2.88, 'time': 1.89, 'compass': -103.68, 'pitch': 2.71, 'roll': -3.75}
{'lipoC2': 7.55, 'temp': 29.38, 'lipoC3S3': 12.05, 'state': 'normal', 'rot1': 5, 'rot0': 5, 'rot3': 0, 'rot2': 0, 'depth': 1.614, 'yaw': 0.51, 'datetime': '2018-11-26 11:51:34.876047', 'mgs': 0, 'flw2': 2.84, 'flw1': 0.0, 'flw0': 3.02, 'time': 2.1, 'compass': -103.69, 'pitch': 3.02, 'roll': -3.48}
{'lipoC2': 7.56, 'temp': 29.31, 'lipoC3S3': 12.0, 'state': 'normal', 'rot1': 7, 'rot0': 7, 'rot3': 0, 'rot2': 0, 'depth': 1.538, 'yaw': 0.3, 'datetime': '2018-11-26 11:51:35.085472', 'mgs': 0, 'flw2': 2.75, 'flw1': 0.0, 'flw0': 2.93, 'time': 2.31, 'compass': -103.9, 'pitch': 3.05, 'roll': -2.38}
{'lipoC2': 7.56, 'temp': 29.38, 'lipoC3S3': 12.05, 'state': 'normal', 'rot1': 10, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'depth': 2.53, 'yaw': 0.18, 'datetime': '2018-11-26 11:51:35.295465', 'mgs': 0, 'flw2': 2.89, 'flw1': 0.0, 'flw0': 2.8, 'time': 2.51, 'compass': -104.03, 'pitch': 2.88, 'roll': 0.07}
{'lipoC2': 7.56, 'temp': 29.38, 'lipoC3S3': 12.05, 'state': 'normal', 'rot1': 12, 'rot0': 12, 'rot3': 0, 'rot2': 0, 'depth': 2.53, 'yaw': -0.03, 'datetime': '2018-11-26 11:51:35.506550', 'mgs': 0, 'flw2': 2.86, 'flw1': 0.0, 'flw0': 2.82, 'time': 2.72, 'compass': -104.23, 'pitch': 2.6, 'roll': 3.04}
{'lipoC2': 7.56, 'temp': 29.38, 'lipoC3S3': 12.05, 'state': 'normal', 'rot1': 14, 'rot0': 14, 'rot3': 0, 'rot2': 0, 'depth': 1.233, 'yaw': -0.31, 'datetime': '2018-11-26 11:51:35.718210', 'mgs': 0, 'flw2': 2.81, 'flw1': 0.0, 'flw0': 2.97, 'time': 2.93, 'compass': -104.51, 'pitch': 2.18, 'roll': 5.94}
{'lipoC2': 7.56, 'temp': 29.38, 'lipoC3S3': 12.05, 'state': 'normal', 'rot1': 17, 'rot0': 17, 'rot3': 0, 'rot2': 0, 'depth': 1.614, 'yaw': -0.66, 'datetime': '2018-11-26 11:51:35.924562', 'mgs': 0, 'flw2': 2.89, 'flw1': 0.0, 'flw0': 3.04, 'time': 3.14, 'compass': -104.86, 'pitch': 1.79, 'roll': 7.93}
{'lipoC2': 7.56, 'temp': 29.31, 'lipoC3S3': 12.05, 'state': 'normal', 'rot1': 19, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': 1.538, 'yaw': -0.99, 'datetime': '2018-11-26 11:51:36.134200', 'mgs': 0, 'flw2': 2.84, 'flw1': 0.0, 'flw0': 3.02, 'time': 3.35, 'compass': -105.2, 'pitch': 1.68, 'roll': 8.76}
