{'lipoC2': 7.64, 'temp': 24.63, 'lipoC3S3': 12.23, 'state': 'normal', 'rot1': 30, 'rot0': 29, 'rot3': 2, 'rot2': 1, 'depth': 1.614, 'yaw': -2.76, 'datetime': '2018-11-26 11:10:18.744491', 'mgs': 0, 'flw2': 2.8, 'flw1': 0.0, 'flw0': 1.31, 'time': 4.51, 'compass': 158.65, 'pitch': -0.45, 'roll': 2.77}
{'lipoC2': 7.65, 'temp': 24.56, 'lipoC3S3': 12.23, 'state': 'normal', 'rot1': 33, 'rot0': 30, 'rot3': 2, 'rot2': 1, 'depth': 2.377, 'yaw': -2.96, 'datetime': '2018-11-26 11:10:18.953968', 'mgs': 0, 'flw2': 2.89, 'flw1': 0.0, 'flw0': 1.31, 'time': 4.72, 'compass': 158.46, 'pitch': -0.5, 'roll': 3.23}
{'lipoC2': 7.65, 'temp': 24.56, 'lipoC3S3': 12.22, 'state': 'normal', 'rot1': 35, 'rot0': 32, 'rot3': 2, 'rot2': 1, 'depth': 1.767, 'yaw': -1.87, 'datetime': '2018-11-26 11:10:19.162176', 'mgs': 0, 'flw2': 2.73, 'flw1': 0.0, 'flw0': 1.29, 'time': 4.93, 'compass': 159.55, 'pitch': -0.61, 'roll': 3.27}
{'lipoC2': 7.65, 'temp': 24.63, 'lipoC3S3': 12.18, 'state': 'normal', 'rot1': 38, 'rot0': 34, 'rot3': 2, 'rot2': 1, 'depth': 1.843, 'yaw': 0.0, 'datetime': '2018-11-26 11:10:19.371687', 'mgs': 0, 'flw2': 2.65, 'flw1': 0.0, 'flw0': 3.09, 'time': 5.14, 'compass': 161.42, 'pitch': -0.71, 'roll': 3.48}
{'lipoC2': 7.65, 'temp': 24.75, 'lipoC3S3': 12.22, 'state': 'normal', 'rot1': 40, 'rot0': 36, 'rot3': 2, 'rot2': 1, 'depth': 2.377, 'yaw': 1.38, 'datetime': '2018-11-26 11:10:19.580238', 'mgs': 0, 'flw2': 2.78, 'flw1': 0.0, 'flw0': 2.87, 'time': 5.34, 'compass': 162.79, 'pitch': -0.86, 'roll': 4.22}
{'lipoC2': 7.65, 'temp': 24.75, 'lipoC3S3': 12.16, 'state': 'normal', 'rot1': 42, 'rot0': 39, 'rot3': 2, 'rot2': 1, 'depth': 1.92, 'yaw': 1.57, 'datetime': '2018-11-26 11:10:19.790427', 'mgs': 0, 'flw2': 1.22, 'flw1': 0.0, 'flw0': 2.98, 'time': 5.55, 'compass': 162.98, 'pitch': -0.88, 'roll': 4.66}
{'lipoC2': 7.65, 'temp': 24.56, 'lipoC3S3': 12.23, 'state': 'normal', 'rot1': 44, 'rot0': 41, 'rot3': 2, 'rot2': 1, 'depth': 2.988, 'yaw': 0.28, 'datetime': '2018-11-26 11:10:20.004065', 'mgs': 0, 'flw2': 1.28, 'flw1': 0.0, 'flw0': 2.88, 'time': 5.76, 'compass': 161.69, 'pitch': -0.79, 'roll': 4.05}
{'lipoC2': 7.65, 'temp': 24.56, 'lipoC3S3': 12.14, 'state': 'normal', 'rot1': 45, 'rot0': 43, 'rot3': 2, 'rot2': 1, 'depth': 1.996, 'yaw': -1.84, 'datetime': '2018-11-26 11:10:20.208202', 'mgs': 0, 'flw2': 1.26, 'flw1': 0.0, 'flw0': 2.94, 'time': 5.97, 'compass': 159.57, 'pitch': -0.68, 'roll': 3.27}
{'lipoC2': 7.65, 'temp': 24.63, 'lipoC3S3': 12.23, 'state': 'normal', 'rot1': 48, 'rot0': 45, 'rot3': 2, 'rot2': 1, 'depth': 1.996, 'yaw': -3.81, 'datetime': '2018-11-26 11:10:20.418288', 'mgs': 0, 'flw2': 2.72, 'flw1': 0.0, 'flw0': 1.34, 'time': 6.18, 'compass': 157.6, 'pitch': -0.78, 'roll': 2.59}
{'lipoC2': 7.65, 'temp': 24.56, 'lipoC3S3': 12.22, 'state': 'normal', 'rot1': 50, 'rot0': 47, 'rot3': 2, 'rot2': 1, 'depth': 2.072, 'yaw': -4.08, 'datetime': '2018-11-26 11:10:20.626192', 'mgs': 0, 'flw2': 2.66, 'flw1': 0.0, 'flw0': 1.29, 'time': 6.39, 'compass': 157.33, 'pitch': -1.0, 'roll': 1.8}
{'lipoC2': 7.65, 'temp': 24.69, 'lipoC3S3': 12.21, 'state': 'normal', 'rot1': 52, 'rot0': 49, 'rot3': 2, 'rot2': 1, 'depth': 1.996, 'yaw': -3.25, 'datetime': '2018-11-26 11:10:20.842983', 'mgs': 0, 'flw2': 2.71, 'flw1': 0.0, 'flw0': 1.28, 'time': 6.6, 'compass': 158.17, 'pitch': -1.1, 'roll': 1.14}
{'lipoC2': 7.65, 'temp': 24.63, 'lipoC3S3': 12.22, 'state': 'normal', 'rot1': 55, 'rot0': 50, 'rot3': 2, 'rot2': 1, 'depth': 2.377, 'yaw': -1.47, 'datetime': '2018-11-26 11:10:21.057087', 'mgs': 0, 'flw2': 2.78, 'flw1': 0.0, 'flw0': 1.29, 'time': 6.81, 'compass': 159.95, 'pitch': -1.12, 'roll': 0.75}
{'lipoC2': 7.65, 'temp': 24.63, 'lipoC3S3': 12.14, 'state': 'normal', 'rot1': 57, 'rot0': 52, 'rot3': 2, 'rot2': 1, 'depth': 2.148, 'yaw': 0.88, 'datetime': '2018-11-26 11:10:21.259345', 'mgs': 0, 'flw2': 2.69, 'flw1': 0.0, 'flw0': 3.0, 'time': 7.02, 'compass': 162.3, 'pitch': -1.0, 'roll': 0.7}
{'lipoC2': 7.65, 'temp': 24.63, 'lipoC3S3': 12.22, 'state': 'normal', 'rot1': 60, 'rot0': 55, 'rot3': 2, 'rot2': 2, 'depth': 2.225, 'yaw': 2.66, 'datetime': '2018-11-26 11:10:21.467816', 'mgs': 0, 'flw2': 2.75, 'flw1': 5.07, 'flw0': 3.04, 'time': 7.23, 'compass': 164.08, 'pitch': -0.81, 'roll': 1.41}
