{'lipoC2': 7.83, 'temp': 0.0, 'lipoC3S3': 12.26, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': 0.0, 'datetime': '2018-12-12 11:23:38.992634', 'mgs': 0, 'flw2': 0.31, 'flw1': 0.23, 'flw0': 0.1, 'time': 1.26, 'compass': 41.44, 'pitch': -1.71, 'roll': 1.75}
{'lipoC2': 7.8, 'temp': 0.0, 'lipoC3S3': 12.18, 'state': 'normal', 'rot1': 0, 'rot0': 2, 'rot3': 0, 'rot2': 0, 'depth': 0.241, 'yaw': 1.46, 'datetime': '2018-12-12 11:23:39.200797', 'mgs': 0, 'flw2': 2.1, 'flw1': 0.0, 'flw0': 0.42, 'time': 1.46, 'compass': 42.9, 'pitch': -1.03, 'roll': 1.79}
{'lipoC2': 7.86, 'temp': 0.0, 'lipoC3S3': 11.85, 'state': 'normal', 'rot1': 0, 'rot0': 5, 'rot3': 0, 'rot2': 0, 'depth': 0.928, 'yaw': 5.35, 'datetime': '2018-12-12 11:23:39.414872', 'mgs': 0, 'flw2': 5.64, 'flw1': 0.0, 'flw0': 0.42, 'time': 1.67, 'compass': 46.79, 'pitch': 0.97, 'roll': 1.99}
{'lipoC2': 8.08, 'temp': 0.0, 'lipoC3S3': 11.83, 'state': 'normal', 'rot1': 0, 'rot0': 6, 'rot3': 0, 'rot2': 0, 'depth': -0.293, 'yaw': 12.8, 'datetime': '2018-12-12 11:23:39.625684', 'mgs': 0, 'flw2': 0.28, 'flw1': 0.0, 'flw0': 0.16, 'time': 1.88, 'compass': 54.24, 'pitch': 3.4, 'roll': 2.48}
{'lipoC2': 7.78, 'temp': 0.0, 'lipoC3S3': 11.93, 'state': 'normal', 'rot1': 0, 'rot0': 6, 'rot3': 0, 'rot2': 0, 'depth': 0.012, 'yaw': 19.61, 'datetime': '2018-12-12 11:23:39.828622', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.67, 'flw0': 0.0, 'time': 2.09, 'compass': 61.05, 'pitch': 4.11, 'roll': 2.65}
{'lipoC2': 7.85, 'temp': 0.0, 'lipoC3S3': 11.9, 'state': 'normal', 'rot1': 0, 'rot0': 6, 'rot3': 0, 'rot2': 0, 'depth': 2.148, 'yaw': 25.12, 'datetime': '2018-12-12 11:23:40.037123', 'mgs': 0, 'flw2': 0.26, 'flw1': 0.0, 'flw0': 0.31, 'time': 2.3, 'compass': 66.56, 'pitch': 3.98, 'roll': 2.32}
{'lipoC2': 7.81, 'temp': 0.0, 'lipoC3S3': 12.21, 'state': 'normal', 'rot1': 0, 'rot0': 6, 'rot3': 0, 'rot2': 0, 'depth': 3.217, 'yaw': 30.15, 'datetime': '2018-12-12 11:23:40.245586', 'mgs': 0, 'flw2': 0.16, 'flw1': 0.0, 'flw0': 0.24, 'time': 2.5, 'compass': 71.59, 'pitch': 2.74, 'roll': 1.66}
{'lipoC2': 7.81, 'temp': 0.0, 'lipoC3S3': 12.14, 'state': 'normal', 'rot1': 0, 'rot0': 6, 'rot3': 1, 'rot2': 0, 'depth': 0.623, 'yaw': 34.69, 'datetime': '2018-12-12 11:23:40.453867', 'mgs': 0, 'flw2': 0.0, 'flw1': 2.96, 'flw0': 0.0, 'time': 2.71, 'compass': 76.13, 'pitch': 0.63, 'roll': 1.38}
{'lipoC2': 7.8, 'temp': 0.0, 'lipoC3S3': 11.89, 'state': 'normal', 'rot1': 0, 'rot0': 6, 'rot3': 2, 'rot2': 1, 'depth': -0.064, 'yaw': 38.85, 'datetime': '2018-12-12 11:23:40.662511', 'mgs': 0, 'flw2': 0.0, 'flw1': 2.96, 'flw0': 0.31, 'time': 2.92, 'compass': 80.29, 'pitch': -0.9, 'roll': 1.4}
{'lipoC2': 7.83, 'temp': 0.0, 'lipoC3S3': 12.3, 'state': 'normal', 'rot1': 0, 'rot0': 6, 'rot3': 2, 'rot2': 2, 'depth': 0.47, 'yaw': 42.3, 'datetime': '2018-12-12 11:23:40.869861', 'mgs': 0, 'flw2': 0.0, 'flw1': 3.66, 'flw0': 0.0, 'time': 3.13, 'compass': 83.74, 'pitch': -1.16, 'roll': 1.15}
{'lipoC2': 7.82, 'temp': 0.0, 'lipoC3S3': 12.16, 'state': 'normal', 'rot1': 0, 'rot0': 6, 'rot3': 3, 'rot2': 3, 'depth': 0.012, 'yaw': 45.45, 'datetime': '2018-12-12 11:23:41.077367', 'mgs': 0, 'flw2': 0.31, 'flw1': 5.1, 'flw0': 0.0, 'time': 3.33, 'compass': 86.89, 'pitch': -0.54, 'roll': 0.51}
{'lipoC2': 8.02, 'temp': 0.0, 'lipoC3S3': 11.83, 'state': 'normal', 'rot1': 0, 'rot0': 6, 'rot3': 4, 'rot2': 4, 'depth': -1.056, 'yaw': 48.11, 'datetime': '2018-12-12 11:23:41.280999', 'mgs': 0, 'flw2': 0.0, 'flw1': 5.48, 'flw0': 0.0, 'time': 3.54, 'compass': 89.55, 'pitch': 0.06, 'roll': 0.2}
{'lipoC2': 7.83, 'temp': 0.0, 'lipoC3S3': 12.19, 'state': 'normal', 'rot1': 0, 'rot0': 6, 'rot3': 5, 'rot2': 6, 'depth': -0.064, 'yaw': 50.29, 'datetime': '2018-12-12 11:23:41.489091', 'mgs': 0, 'flw2': 0.0, 'flw1': 5.04, 'flw0': 0.0, 'time': 3.75, 'compass': 91.73, 'pitch': 0.37, 'roll': 0.34}
{'lipoC2': 7.82, 'temp': 0.0, 'lipoC3S3': 12.12, 'state': 'normal', 'rot1': 0, 'rot0': 6, 'rot3': 6, 'rot2': 7, 'depth': 2.682, 'yaw': 52.45, 'datetime': '2018-12-12 11:23:41.698392', 'mgs': 0, 'flw2': 0.0, 'flw1': 4.22, 'flw0': 0.0, 'time': 3.96, 'compass': 93.89, 'pitch': 0.9, 'roll': 0.59}
{'lipoC2': 7.83, 'temp': 0.0, 'lipoC3S3': 12.27, 'state': 'normal', 'rot1': 0, 'rot0': 6, 'rot3': 7, 'rot2': 8, 'depth': 1.691, 'yaw': 54.72, 'datetime': '2018-12-12 11:23:41.920022', 'mgs': 0, 'flw2': 0.0, 'flw1': 3.87, 'flw0': 0.0, 'time': 4.17, 'compass': 96.16, 'pitch': 1.71, 'roll': 0.47}
{'lipoC2': 7.81, 'temp': 0.0, 'lipoC3S3': 12.22, 'state': 'normal', 'rot1': 0, 'rot0': 6, 'rot3': 7, 'rot2': 9, 'depth': 2.606, 'yaw': 56.96, 'datetime': '2018-12-12 11:23:42.127070', 'mgs': 0, 'flw2': 0.0, 'flw1': 2.26, 'flw0': 0.16, 'time': 4.37, 'compass': 98.4, 'pitch': 2.39, 'roll': 0.27}
{'lipoC2': 7.8, 'temp': 0.0, 'lipoC3S3': 12.18, 'state': 'normal', 'rot1': 0, 'rot0': 6, 'rot3': 8, 'rot2': 10, 'depth': 2.682, 'yaw': 59.17, 'datetime': '2018-12-12 11:23:42.333278', 'mgs': 0, 'flw2': 0.0, 'flw1': 1.26, 'flw0': 0.18, 'time': 4.58, 'compass': 100.61, 'pitch': 2.59, 'roll': 0.58}
{'lipoC2': 7.85, 'temp': 0.0, 'lipoC3S3': 11.88, 'state': 'normal', 'rot1': 0, 'rot0': 6, 'rot3': 9, 'rot2': 11, 'depth': 1.157, 'yaw': 61.24, 'datetime': '2018-12-12 11:23:42.541100', 'mgs': 0, 'flw2': 0.01, 'flw1': 0.53, 'flw0': 0.28, 'time': 4.79, 'compass': 102.68, 'pitch': 2.44, 'roll': 1.13}
{'lipoC2': 7.98, 'temp': 0.0, 'lipoC3S3': 11.73, 'state': 'normal', 'rot1': 0, 'rot0': 6, 'rot3': 9, 'rot2': 12, 'depth': -0.674, 'yaw': 63.23, 'datetime': '2018-12-12 11:23:42.748741', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.62, 'flw0': 0.29, 'time': 5.0, 'compass': 104.67, 'pitch': 2.07, 'roll': 1.38}
{'lipoC2': 8.05, 'temp': 0.0, 'lipoC3S3': 11.79, 'state': 'normal', 'rot1': 0, 'rot0': 6, 'rot3': 10, 'rot2': 12, 'depth': -0.98, 'yaw': 65.13, 'datetime': '2018-12-12 11:23:42.960258', 'mgs': 0, 'flw2': 0.18, 'flw1': 0.67, 'flw0': 0.0, 'time': 5.21, 'compass': 106.57, 'pitch': 1.5, 'roll': 1.7}
{'lipoC2': 7.81, 'temp': 0.0, 'lipoC3S3': 12.09, 'state': 'normal', 'rot1': 0, 'rot0': 6, 'rot3': 10, 'rot2': 13, 'depth': 3.445, 'yaw': 66.85, 'datetime': '2018-12-12 11:23:43.171915', 'mgs': 0, 'flw2': 0.0, 'flw1': 1.79, 'flw0': 4.35, 'time': 5.42, 'compass': 108.29, 'pitch': 1.4, 'roll': 2.29}
{'lipoC2': 7.98, 'temp': 0.0, 'lipoC3S3': 11.67, 'state': 'normal', 'rot1': 7, 'rot0': 6, 'rot3': 11, 'rot2': 13, 'depth': 2.53, 'yaw': 65.86, 'datetime': '2018-12-12 11:23:43.377315', 'mgs': 0, 'flw2': 0.21, 'flw1': 0.82, 'flw0': 12.49, 'time': 5.63, 'compass': 107.3, 'pitch': 2.86, 'roll': 2.56}
{'lipoC2': 7.81, 'temp': 0.0, 'lipoC3S3': 12.0, 'state': 'normal', 'rot1': 12, 'rot0': 6, 'rot3': 11, 'rot2': 14, 'depth': -0.217, 'yaw': 56.62, 'datetime': '2018-12-12 11:23:43.587624', 'mgs': 0, 'flw2': 0.0, 'flw1': 1.7, 'flw0': 6.82, 'time': 5.83, 'compass': 98.06, 'pitch': 6.81, 'roll': 2.17}
