{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:21:18.762735', 'pitch': -0.55, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 2, 'flw2': 2, 'flw1': 2, 'flw0': 0, 'roll': 0.19, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 23.99, 'lipoC2': 0.0, 'temp': 25.13, 'thr3': 31.0, 'depth': 0.129, 'time': 4.93, 'thr2': 31.0, 'yaw': 1.28, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:21:19.084332', 'pitch': -0.54, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 2, 'flw2': 2, 'flw1': 2, 'flw0': 0, 'roll': 0.2, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 24.7, 'lipoC2': 0.0, 'temp': 25.13, 'thr3': 31.0, 'depth': 0.119, 'time': 5.25, 'thr2': 31.0, 'yaw': 1.99, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:21:19.405273', 'pitch': -0.55, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 2, 'flw2': 2, 'flw1': 2, 'flw0': 0, 'roll': 0.2, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 24.78, 'lipoC2': 0.0, 'temp': 25.13, 'thr3': 31.0, 'depth': 0.119, 'time': 5.57, 'thr2': 31.0, 'yaw': 2.07, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:21:19.730687', 'pitch': -0.55, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 2, 'flw2': 2, 'flw1': 2, 'flw0': 0, 'roll': 0.21, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 25.32, 'lipoC2': 0.0, 'temp': 25.13, 'thr3': 31.0, 'depth': 0.119, 'time': 5.89, 'thr2': 31.0, 'yaw': 2.61, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:21:20.050500', 'pitch': -0.55, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 2, 'flw2': 2, 'flw1': 2, 'flw0': 0, 'roll': 0.21, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 25.95, 'lipoC2': 0.0, 'temp': 25.13, 'thr3': 31.0, 'depth': 0.119, 'time': 6.21, 'thr2': 31.0, 'yaw': 3.24, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:21:20.369800', 'pitch': -0.55, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 2, 'flw2': 2, 'flw1': 2, 'flw0': 0, 'roll': 0.21, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 26.08, 'lipoC2': 0.0, 'temp': 25.13, 'thr3': 31.0, 'depth': 0.119, 'time': 6.53, 'thr2': 31.0, 'yaw': 3.37, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:21:20.686456', 'pitch': -0.55, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 2, 'flw2': 2, 'flw1': 2, 'flw0': 0, 'roll': 0.22, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 26.74, 'lipoC2': 0.0, 'temp': 25.13, 'thr3': 31.0, 'depth': 0.119, 'time': 6.84, 'thr2': 31.0, 'yaw': 4.03, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:21:21.010267', 'pitch': -0.55, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 2, 'flw2': 2, 'flw1': 2, 'flw0': 0, 'roll': 0.22, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 26.87, 'lipoC2': 0.0, 'temp': 25.13, 'thr3': 31.0, 'depth': 0.119, 'time': 7.17, 'thr2': 31.0, 'yaw': 4.16, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:21:21.330484', 'pitch': -0.55, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 2, 'flw2': 2, 'flw1': 2, 'flw0': 0, 'roll': 0.22, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 26.87, 'lipoC2': 0.0, 'temp': 25.13, 'thr3': 31.0, 'depth': 0.129, 'time': 7.49, 'thr2': 31.0, 'yaw': 4.16, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:21:21.655010', 'pitch': -0.55, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 3, 'flw2': 2, 'flw1': 2, 'flw0': 0, 'roll': 0.22, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 26.87, 'lipoC2': 0.0, 'temp': 25.13, 'thr3': 36.0, 'depth': 0.119, 'time': 7.81, 'thr2': 32.0, 'yaw': 4.16, 'thr0': 26.0, 'thr1': 27.0}
