{'lipoC2': 7.18, 'temp': 0.0, 'lipoC3S3': 11.35, 'state': 'normal', 'rot1': 26, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': -1.132, 'yaw': 117.63, 'datetime': '2018-12-12 14:40:35.843194', 'mgs': 0, 'flw2': 0.12, 'flw1': 0.12, 'flw0': 0.21, 'time': 4.38, 'compass': -10.48, 'pitch': -2.56, 'roll': 1.78}
{'lipoC2': 7.21, 'temp': 0.0, 'lipoC3S3': 11.18, 'state': 'normal', 'rot1': 26, 'rot0': 24, 'rot3': 0, 'rot2': 0, 'depth': 0.317, 'yaw': 126.87, 'datetime': '2018-12-12 14:40:36.051208', 'mgs': 0, 'flw2': 0.18, 'flw1': 0.0, 'flw0': 0.0, 'time': 4.59, 'compass': -1.24, 'pitch': -1.49, 'roll': 1.23}
{'lipoC2': 7.21, 'temp': 0.0, 'lipoC3S3': 10.9, 'state': 'normal', 'rot1': 26, 'rot0': 24, 'rot3': 0, 'rot2': 0, 'depth': -1.59, 'yaw': 134.24, 'datetime': '2018-12-12 14:40:36.260461', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.15, 'time': 4.8, 'compass': 6.13, 'pitch': -0.96, 'roll': 0.59}
{'lipoC2': 7.17, 'temp': 0.0, 'lipoC3S3': 11.4, 'state': 'normal', 'rot1': 27, 'rot0': 24, 'rot3': 0, 'rot2': 0, 'depth': -0.522, 'yaw': 141.08, 'datetime': '2018-12-12 14:40:36.468346', 'mgs': 0, 'flw2': 0.59, 'flw1': 0.0, 'flw0': 0.66, 'time': 5.01, 'compass': 12.98, 'pitch': -1.57, 'roll': 0.28}
{'lipoC2': 7.25, 'temp': 0.0, 'lipoC3S3': 10.9, 'state': 'normal', 'rot1': 28, 'rot0': 25, 'rot3': 0, 'rot2': 0, 'depth': 1.538, 'yaw': 146.7, 'datetime': '2018-12-12 14:40:36.677553', 'mgs': 0, 'flw2': 0.43, 'flw1': 0.0, 'flw0': 0.04, 'time': 5.22, 'compass': 18.59, 'pitch': -2.27, 'roll': 0.39}
{'lipoC2': 7.38, 'temp': 0.0, 'lipoC3S3': 11.4, 'state': 'normal', 'rot1': 29, 'rot0': 26, 'rot3': 0, 'rot2': 0, 'depth': -1.132, 'yaw': 151.15, 'datetime': '2018-12-12 14:40:36.886327', 'mgs': 0, 'flw2': 0.33, 'flw1': 0.0, 'flw0': 0.17, 'time': 5.43, 'compass': 23.04, 'pitch': -2.37, 'roll': 0.83}
{'lipoC2': 7.23, 'temp': 0.0, 'lipoC3S3': 11.05, 'state': 'normal', 'rot1': 30, 'rot0': 27, 'rot3': 0, 'rot2': 0, 'depth': 1.614, 'yaw': 155.05, 'datetime': '2018-12-12 14:40:37.096361', 'mgs': 0, 'flw2': 0.31, 'flw1': 0.62, 'flw0': 0.2, 'time': 5.64, 'compass': 26.95, 'pitch': -1.84, 'roll': 1.16}
{'lipoC2': 7.4, 'temp': 0.0, 'lipoC3S3': 11.13, 'state': 'normal', 'rot1': 31, 'rot0': 28, 'rot3': 0, 'rot2': 0, 'depth': -1.056, 'yaw': 157.78, 'datetime': '2018-12-12 14:40:37.304501', 'mgs': 0, 'flw2': 0.56, 'flw1': 0.0, 'flw0': 0.24, 'time': 5.84, 'compass': 29.67, 'pitch': -1.34, 'roll': 0.94}
{'lipoC2': 7.42, 'temp': 0.0, 'lipoC3S3': 11.06, 'state': 'normal', 'rot1': 32, 'rot0': 29, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 160.26, 'datetime': '2018-12-12 14:40:37.515337', 'mgs': 0, 'flw2': 0.71, 'flw1': 0.0, 'flw0': 0.18, 'time': 6.05, 'compass': 32.15, 'pitch': -1.66, 'roll': 0.46}
{'lipoC2': 7.33, 'temp': 0.0, 'lipoC3S3': 11.13, 'state': 'normal', 'rot1': 33, 'rot0': 30, 'rot3': 0, 'rot2': 0, 'depth': 0.47, 'yaw': 161.82, 'datetime': '2018-12-12 14:40:37.723056', 'mgs': 0, 'flw2': 0.12, 'flw1': 0.0, 'flw0': 0.67, 'time': 6.26, 'compass': 33.71, 'pitch': -2.07, 'roll': -0.02}
