{'lipoC2': 7.27, 'temp': 0.0, 'lipoC3S3': 11.38, 'state': 'normal', 'rot1': 20, 'rot0': 16, 'rot3': 0, 'rot2': 0, 'depth': -0.598, 'yaw': -88.37, 'datetime': '2018-12-12 14:15:32.997797', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.5, 'flw0': 0.0, 'time': 4.48, 'compass': -2.84, 'pitch': -0.94, 'roll': -0.62}
{'lipoC2': 7.36, 'temp': 0.0, 'lipoC3S3': 11.58, 'state': 'normal', 'rot1': 20, 'rot0': 16, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -93.95, 'datetime': '2018-12-12 14:15:33.205916', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.32, 'flw0': 0.0, 'time': 4.69, 'compass': -8.43, 'pitch': -0.55, 'roll': -0.28}
{'lipoC2': 7.55, 'temp': 0.0, 'lipoC3S3': 11.3, 'state': 'normal', 'rot1': 21, 'rot0': 17, 'rot3': 0, 'rot2': 0, 'depth': -0.598, 'yaw': -98.84, 'datetime': '2018-12-12 14:15:33.415199', 'mgs': 0, 'flw2': 0.27, 'flw1': 0.29, 'flw0': 0.29, 'time': 4.9, 'compass': -13.32, 'pitch': -0.69, 'roll': 0.11}
{'lipoC2': 7.36, 'temp': 0.0, 'lipoC3S3': 11.64, 'state': 'normal', 'rot1': 22, 'rot0': 18, 'rot3': 0, 'rot2': 0, 'depth': -0.064, 'yaw': -102.44, 'datetime': '2018-12-12 14:15:33.623293', 'mgs': 0, 'flw2': 0.13, 'flw1': 0.62, 'flw0': 0.18, 'time': 5.11, 'compass': -16.92, 'pitch': -0.92, 'roll': 0.22}
{'lipoC2': 7.35, 'temp': 0.0, 'lipoC3S3': 11.67, 'state': 'normal', 'rot1': 23, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': -105.35, 'datetime': '2018-12-12 14:15:33.833177', 'mgs': 0, 'flw2': 0.24, 'flw1': 0.35, 'flw0': 0.23, 'time': 5.32, 'compass': -19.82, 'pitch': -1.09, 'roll': 0.01}
{'lipoC2': 7.5, 'temp': 0.0, 'lipoC3S3': 11.38, 'state': 'normal', 'rot1': 24, 'rot0': 20, 'rot3': 0, 'rot2': 0, 'depth': -1.285, 'yaw': -107.53, 'datetime': '2018-12-12 14:15:34.041583', 'mgs': 0, 'flw2': 0.17, 'flw1': 0.21, 'flw0': 0.29, 'time': 5.53, 'compass': -22.0, 'pitch': -1.0, 'roll': -0.38}
{'lipoC2': 7.46, 'temp': 0.0, 'lipoC3S3': 11.18, 'state': 'normal', 'rot1': 25, 'rot0': 21, 'rot3': 0, 'rot2': 0, 'depth': -1.132, 'yaw': -109.07, 'datetime': '2018-12-12 14:15:34.251656', 'mgs': 0, 'flw2': 0.16, 'flw1': 0.0, 'flw0': 0.23, 'time': 5.73, 'compass': -23.55, 'pitch': -0.93, 'roll': -0.52}
{'lipoC2': 7.35, 'temp': 0.0, 'lipoC3S3': 11.67, 'state': 'normal', 'rot1': 26, 'rot0': 22, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': -110.01, 'datetime': '2018-12-12 14:15:34.461065', 'mgs': 0, 'flw2': 0.59, 'flw1': 0.0, 'flw0': 0.21, 'time': 5.94, 'compass': -24.48, 'pitch': -1.06, 'roll': -0.21}
{'lipoC2': 7.38, 'temp': 0.0, 'lipoC3S3': 11.36, 'state': 'normal', 'rot1': 27, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -110.38, 'datetime': '2018-12-12 14:15:34.669237', 'mgs': 0, 'flw2': 0.38, 'flw1': 0.0, 'flw0': 0.57, 'time': 6.15, 'compass': -24.85, 'pitch': -1.54, 'roll': 0.27}
{'lipoC2': 7.54, 'temp': 0.0, 'lipoC3S3': 11.25, 'state': 'normal', 'rot1': 28, 'rot0': 24, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': -110.23, 'datetime': '2018-12-12 14:15:34.878440', 'mgs': 0, 'flw2': 0.59, 'flw1': 0.0, 'flw0': 0.5, 'time': 6.36, 'compass': -24.7, 'pitch': -1.62, 'roll': 0.58}
{'lipoC2': 7.34, 'temp': 0.0, 'lipoC3S3': 11.35, 'state': 'normal', 'rot1': 29, 'rot0': 24, 'rot3': 0, 'rot2': 0, 'depth': -0.446, 'yaw': -109.61, 'datetime': '2018-12-12 14:15:35.087213', 'mgs': 0, 'flw2': 0.23, 'flw1': 0.0, 'flw0': 0.35, 'time': 6.57, 'compass': -24.09, 'pitch': -0.98, 'roll': 0.41}
{'lipoC2': 7.36, 'temp': 0.0, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 30, 'rot0': 25, 'rot3': 0, 'rot2': 0, 'depth': 1.614, 'yaw': -108.56, 'datetime': '2018-12-12 14:15:35.297650', 'mgs': 0, 'flw2': 0.27, 'flw1': 0.38, 'flw0': 0.23, 'time': 6.78, 'compass': -23.04, 'pitch': -0.47, 'roll': -0.02}
{'lipoC2': 7.28, 'temp': 0.0, 'lipoC3S3': 11.39, 'state': 'normal', 'rot1': 31, 'rot0': 26, 'rot3': 0, 'rot2': 0, 'depth': -0.674, 'yaw': -107.07, 'datetime': '2018-12-12 14:15:35.508215', 'mgs': 0, 'flw2': 0.1, 'flw1': 0.32, 'flw0': 0.29, 'time': 6.99, 'compass': -21.54, 'pitch': -0.76, 'roll': -0.19}
{'lipoC2': 7.36, 'temp': 0.0, 'lipoC3S3': 11.61, 'state': 'normal', 'rot1': 32, 'rot0': 27, 'rot3': 0, 'rot2': 0, 'depth': -0.064, 'yaw': -105.21, 'datetime': '2018-12-12 14:15:35.716447', 'mgs': 0, 'flw2': 0.21, 'flw1': 0.56, 'flw0': 0.2, 'time': 7.2, 'compass': -19.69, 'pitch': -1.28, 'roll': -0.09}
{'lipoC2': 7.4, 'temp': 0.0, 'lipoC3S3': 11.38, 'state': 'normal', 'rot1': 33, 'rot0': 28, 'rot3': 0, 'rot2': 0, 'depth': -0.446, 'yaw': -102.93, 'datetime': '2018-12-12 14:15:35.925758', 'mgs': 0, 'flw2': 0.07, 'flw1': 0.53, 'flw0': 0.22, 'time': 7.41, 'compass': -17.4, 'pitch': -1.43, 'roll': 0.21}
{'lipoC2': 7.33, 'temp': 0.0, 'lipoC3S3': 11.67, 'state': 'normal', 'rot1': 34, 'rot0': 29, 'rot3': 0, 'rot2': 0, 'depth': 1.92, 'yaw': -100.27, 'datetime': '2018-12-12 14:15:36.134406', 'mgs': 0, 'flw2': 0.24, 'flw1': 0.44, 'flw0': 0.22, 'time': 7.61, 'compass': -14.75, 'pitch': -1.25, 'roll': 0.56}
{'lipoC2': 7.5, 'temp': 0.0, 'lipoC3S3': 11.23, 'state': 'normal', 'rot1': 35, 'rot0': 30, 'rot3': 0, 'rot2': 0, 'depth': -1.132, 'yaw': -97.33, 'datetime': '2018-12-12 14:15:36.342999', 'mgs': 0, 'flw2': 0.61, 'flw1': 0.0, 'flw0': 0.52, 'time': 7.82, 'compass': -11.8, 'pitch': -1.02, 'roll': 0.98}
{'lipoC2': 7.36, 'temp': 0.0, 'lipoC3S3': 11.36, 'state': 'normal', 'rot1': 36, 'rot0': 31, 'rot3': 0, 'rot2': 0, 'depth': 0.775, 'yaw': -94.28, 'datetime': '2018-12-12 14:15:36.552885', 'mgs': 0, 'flw2': 0.1, 'flw1': 0.0, 'flw0': 0.17, 'time': 8.03, 'compass': -8.76, 'pitch': -0.83, 'roll': 1.0}
{'lipoC2': 7.48, 'temp': 0.0, 'lipoC3S3': 11.25, 'state': 'normal', 'rot1': 37, 'rot0': 32, 'rot3': 0, 'rot2': 0, 'depth': -1.361, 'yaw': -90.91, 'datetime': '2018-12-12 14:15:36.761961', 'mgs': 0, 'flw2': 0.1, 'flw1': 0.0, 'flw0': 0.27, 'time': 8.24, 'compass': -5.39, 'pitch': -0.9, 'roll': 0.62}
{'lipoC2': 7.35, 'temp': 0.0, 'lipoC3S3': 11.69, 'state': 'normal', 'rot1': 37, 'rot0': 32, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': -87.92, 'datetime': '2018-12-12 14:15:36.971021', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 8.45, 'compass': -2.4, 'pitch': -1.25, 'roll': -0.1}
{'lipoC2': 7.36, 'temp': 0.0, 'lipoC3S3': 11.59, 'state': 'normal', 'rot1': 37, 'rot0': 32, 'rot3': 0, 'rot2': 0, 'depth': 0.012, 'yaw': -85.38, 'datetime': '2018-12-12 14:15:37.178810', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.09, 'flw0': 0.0, 'time': 8.66, 'compass': 0.14, 'pitch': -1.33, 'roll': -0.4}
