{'lipoC2': 7.59, 'temp': 25.19, 'lipoC3S3': 12.08, 'state': 'normal', 'rot1': 768, 'rot0': 103, 'rot3': 15, 'rot2': 22, 'depth': -0.217, 'yaw': -0.2, 'datetime': '2018-11-26 11:30:55.248797', 'mgs': 0, 'flw2': 2.31, 'flw1': 2.17, 'flw0': 2.44, 'time': 4.64, 'compass': -15.52, 'pitch': 2.02, 'roll': -6.35}
{'lipoC2': 7.59, 'temp': 25.19, 'lipoC3S3': 12.06, 'state': 'normal', 'rot1': 819, 'rot0': 109, 'rot3': 16, 'rot2': 23, 'depth': -0.064, 'yaw': -0.2, 'datetime': '2018-11-26 11:30:55.461373', 'mgs': 0, 'flw2': 2.27, 'flw1': 2.75, 'flw0': 2.19, 'time': 4.85, 'compass': -15.51, 'pitch': 2.02, 'roll': -6.34}
{'lipoC2': 7.59, 'temp': 25.19, 'lipoC3S3': 11.94, 'state': 'normal', 'rot1': 868, 'rot0': 116, 'rot3': 17, 'rot2': 25, 'depth': -0.14, 'yaw': -0.2, 'datetime': '2018-11-26 11:30:55.672172', 'mgs': 0, 'flw2': 2.25, 'flw1': 2.17, 'flw0': 2.19, 'time': 5.06, 'compass': -15.51, 'pitch': 2.01, 'roll': -6.34}
{'lipoC2': 7.59, 'temp': 25.25, 'lipoC3S3': 12.05, 'state': 'normal', 'rot1': 917, 'rot0': 122, 'rot3': 18, 'rot2': 26, 'depth': -0.064, 'yaw': -0.2, 'datetime': '2018-11-26 11:30:55.883359', 'mgs': 0, 'flw2': 2.2, 'flw1': 2.87, 'flw0': 2.16, 'time': 5.27, 'compass': -15.52, 'pitch': 2.01, 'roll': -6.35}
{'lipoC2': 7.59, 'temp': 25.25, 'lipoC3S3': 12.05, 'state': 'normal', 'rot1': 966, 'rot0': 128, 'rot3': 19, 'rot2': 27, 'depth': 0.851, 'yaw': -0.21, 'datetime': '2018-11-26 11:30:56.096401', 'mgs': 0, 'flw2': 2.27, 'flw1': 2.93, 'flw0': 2.06, 'time': 5.48, 'compass': -15.52, 'pitch': 2.01, 'roll': -6.36}
{'lipoC2': 7.59, 'temp': 25.25, 'lipoC3S3': 11.9, 'state': 'normal', 'rot1': 1016, 'rot0': 135, 'rot3': 20, 'rot2': 29, 'depth': -0.293, 'yaw': -0.23, 'datetime': '2018-11-26 11:30:56.308222', 'mgs': 0, 'flw2': 2.1, 'flw1': 2.58, 'flw0': 2.27, 'time': 5.7, 'compass': -15.54, 'pitch': 2.0, 'roll': -6.35}
{'lipoC2': 7.59, 'temp': 25.25, 'lipoC3S3': 11.9, 'state': 'normal', 'rot1': 1065, 'rot0': 141, 'rot3': 21, 'rot2': 30, 'depth': -0.369, 'yaw': -0.23, 'datetime': '2018-11-26 11:30:56.521333', 'mgs': 0, 'flw2': 2.11, 'flw1': 2.05, 'flw0': 2.21, 'time': 5.91, 'compass': -15.54, 'pitch': 2.0, 'roll': -6.35}
{'lipoC2': 7.59, 'temp': 25.25, 'lipoC3S3': 12.05, 'state': 'normal', 'rot1': 1114, 'rot0': 148, 'rot3': 22, 'rot2': 32, 'depth': -0.217, 'yaw': -0.23, 'datetime': '2018-11-26 11:30:56.730959', 'mgs': 0, 'flw2': 2.26, 'flw1': 2.58, 'flw0': 2.27, 'time': 6.12, 'compass': -15.54, 'pitch': 2.01, 'roll': -6.37}
{'lipoC2': 7.59, 'temp': 25.19, 'lipoC3S3': 12.06, 'state': 'normal', 'rot1': 1163, 'rot0': 154, 'rot3': 23, 'rot2': 33, 'depth': -0.14, 'yaw': -0.24, 'datetime': '2018-11-26 11:30:56.942648', 'mgs': 0, 'flw2': 2.27, 'flw1': 2.52, 'flw0': 2.16, 'time': 6.33, 'compass': -15.55, 'pitch': 2.01, 'roll': -6.38}
{'lipoC2': 7.59, 'temp': 25.25, 'lipoC3S3': 12.12, 'state': 'normal', 'rot1': 1212, 'rot0': 160, 'rot3': 24, 'rot2': 35, 'depth': -0.14, 'yaw': -0.24, 'datetime': '2018-11-26 11:30:57.154539', 'mgs': 0, 'flw2': 2.26, 'flw1': 2.78, 'flw0': 2.4, 'time': 6.54, 'compass': -15.55, 'pitch': 2.03, 'roll': -6.37}
