{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:25.307367', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.79, 'flw0': 0.0, 'time': 4.41, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
{'lipoC2': 0.04, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:25.511716', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 4.62, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
{'lipoC2': 0.16, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:25.716245', 'mgs': 0, 'flw2': 0.18, 'flw1': 0.0, 'flw0': 0.02, 'time': 4.82, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -11.279, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:25.920380', 'mgs': 0, 'flw2': 0.24, 'flw1': 0.0, 'flw0': 0.04, 'time': 5.03, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:26.124319', 'mgs': 0, 'flw2': 0.22, 'flw1': 0.0, 'flw0': 0.0, 'time': 5.23, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.424, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:26.329289', 'mgs': 0, 'flw2': 0.11, 'flw1': 0.0, 'flw0': 0.22, 'time': 5.43, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
{'lipoC2': 0.18, 'temp': 0.0, 'lipoC3S3': 0.04, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:26.533282', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.16, 'time': 5.64, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
{'lipoC2': 0.31, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:26.737160', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 5.84, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
{'lipoC2': 0.31, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.347, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:26.942351', 'mgs': 0, 'flw2': 0.24, 'flw1': 0.0, 'flw0': 0.0, 'time': 6.05, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:27.146608', 'mgs': 0, 'flw2': 0.2, 'flw1': 0.0, 'flw0': 0.2, 'time': 6.25, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:27.350882', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 6.45, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:27.555259', 'mgs': 0, 'flw2': 0.27, 'flw1': 0.03, 'flw0': 0.0, 'time': 6.66, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
{'lipoC2': 0.04, 'temp': 0.0, 'lipoC3S3': 0.09, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -10.745, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:27.760012', 'mgs': 0, 'flw2': 0.24, 'flw1': 0.0, 'flw0': 0.1, 'time': 6.86, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
{'lipoC2': 0.01, 'temp': 0.0, 'lipoC3S3': 0.11, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -10.745, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:27.964491', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.5, 'flw0': 0.0, 'time': 7.07, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.09, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:28.168326', 'mgs': 0, 'flw2': 0.22, 'flw1': 0.0, 'flw0': 0.04, 'time': 7.27, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:28.383174', 'mgs': 0, 'flw2': 0.28, 'flw1': 0.0, 'flw0': 0.0, 'time': 7.48, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -10.593, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:28.679930', 'mgs': 0, 'flw2': 0.27, 'flw1': 0.09, 'flw0': 0.22, 'time': 7.78, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:28.883817', 'mgs': 0, 'flw2': 0.26, 'flw1': 0.0, 'flw0': 0.0, 'time': 7.99, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.04, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:29.088894', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.35, 'flw0': 0.09, 'time': 8.19, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:29.293057', 'mgs': 0, 'flw2': 0.38, 'flw1': 0.0, 'flw0': 0.0, 'time': 8.39, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:29.497520', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.18, 'flw0': 0.0, 'time': 8.6, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.04, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:29.702358', 'mgs': 0, 'flw2': 0.24, 'flw1': 0.0, 'flw0': 0.0, 'time': 8.8, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:29.906657', 'mgs': 0, 'flw2': 0.21, 'flw1': 0.0, 'flw0': 0.0, 'time': 9.01, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
{'lipoC2': 0.28, 'temp': 0.0, 'lipoC3S3': 0.04, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:30.110910', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.32, 'time': 9.21, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:30.319370', 'mgs': 0, 'flw2': 0.27, 'flw1': 0.12, 'flw0': 0.26, 'time': 9.41, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
{'lipoC2': 0.19, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:30.523872', 'mgs': 0, 'flw2': 0.07, 'flw1': 0.0, 'flw0': 0.2, 'time': 9.62, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -11.432, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:30.828495', 'mgs': 0, 'flw2': 0.02, 'flw1': 0.0, 'flw0': 0.0, 'time': 9.93, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.09, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.042, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:31.035789', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 10.13, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:31.241251', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.53, 'flw0': 0.06, 'time': 10.33, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
{'lipoC2': 0.09, 'temp': 0.0, 'lipoC3S3': 0.08, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:31.442560', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.05, 'time': 10.54, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:31.650327', 'mgs': 0, 'flw2': 0.27, 'flw1': 0.0, 'flw0': 0.0, 'time': 10.74, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:31.956054', 'mgs': 0, 'flw2': 0.26, 'flw1': 0.0, 'flw0': 0.0, 'time': 11.05, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
{'lipoC2': 0.02, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:32.160192', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.67, 'flw0': 0.05, 'time': 11.25, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
{'lipoC2': 0.12, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:32.363571', 'mgs': 0, 'flw2': 0.06, 'flw1': 0.0, 'flw0': 0.0, 'time': 11.46, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:32.567748', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.22, 'time': 11.66, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
