{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:51:17.518040', 'pitch': 1.22, 'rot1': 205, 'rot0': 121, 'rot3': 7, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.9, 'cur2': 2.73, 'cur0': 2.29, 'cur1': 0.0, 'mgs': 0, 'compass': -22.34, 'lipoC2': 0.0, 'temp': 24.74, 'thr3': 35.0, 'depth': 0.119, 'time': 4.93, 'thr2': 31.0, 'yaw': -26.3, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:51:17.832215', 'pitch': 1.1, 'rot1': 217, 'rot0': 131, 'rot3': 7, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.91, 'cur2': 2.77, 'cur0': 1.7, 'cur1': 0.0, 'mgs': 0, 'compass': -40.02, 'lipoC2': 0.0, 'temp': 24.74, 'thr3': 36.0, 'depth': 0.119, 'time': 5.25, 'thr2': 31.0, 'yaw': -43.98, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:51:18.157277', 'pitch': 1.21, 'rot1': 226, 'rot0': 141, 'rot3': 7, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.87, 'cur2': 2.64, 'cur0': 0.99, 'cur1': 0.0, 'mgs': 0, 'compass': -54.49, 'lipoC2': 0.0, 'temp': 24.74, 'thr3': 36.0, 'depth': 0.119, 'time': 5.57, 'thr2': 31.0, 'yaw': -58.45, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:51:18.484354', 'pitch': 1.11, 'rot1': 236, 'rot0': 151, 'rot3': 7, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.92, 'cur2': 2.82, 'cur0': 0.71, 'cur1': 0.0, 'mgs': 0, 'compass': -62.75, 'lipoC2': 0.0, 'temp': 24.74, 'thr3': 36.0, 'depth': 0.119, 'time': 5.89, 'thr2': 31.0, 'yaw': -66.71, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:51:18.800676', 'pitch': 1.11, 'rot1': 244, 'rot0': 163, 'rot3': 7, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.48, 'cur2': 2.73, 'cur0': 0.57, 'cur1': 0.0, 'mgs': 0, 'compass': -59.21, 'lipoC2': 0.0, 'temp': 24.74, 'thr3': 35.0, 'depth': 0.119, 'time': 6.21, 'thr2': 31.0, 'yaw': -63.17, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:51:19.122771', 'pitch': 0.99, 'rot1': 251, 'rot0': 173, 'rot3': 7, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.23, 'cur2': 2.72, 'cur0': 0.98, 'cur1': 0.0, 'mgs': 0, 'compass': -43.23, 'lipoC2': 0.0, 'temp': 24.74, 'thr3': 35.0, 'depth': 0.119, 'time': 6.53, 'thr2': 32.0, 'yaw': -47.2, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:51:19.448686', 'pitch': 1.26, 'rot1': 262, 'rot0': 185, 'rot3': 7, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.04, 'cur2': 2.66, 'cur0': 1.82, 'cur1': 0.0, 'mgs': 0, 'compass': -18.27, 'lipoC2': 0.0, 'temp': 24.74, 'thr3': 35.0, 'depth': 0.119, 'time': 6.86, 'thr2': 31.0, 'yaw': -22.23, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:51:19.761458', 'pitch': 1.03, 'rot1': 275, 'rot0': 194, 'rot3': 7, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.01, 'cur2': 2.8, 'cur0': 2.6, 'cur1': 0.0, 'mgs': 0, 'compass': 7.1, 'lipoC2': 0.0, 'temp': 24.74, 'thr3': 36.0, 'depth': 0.119, 'time': 7.18, 'thr2': 31.0, 'yaw': 3.14, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:51:20.082860', 'pitch': 1.05, 'rot1': 289, 'rot0': 206, 'rot3': 7, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.14, 'cur2': 2.22, 'cur0': 2.71, 'cur1': 0.0, 'mgs': 0, 'compass': 30.9, 'lipoC2': 0.0, 'temp': 24.74, 'thr3': 36.0, 'depth': 0.119, 'time': 7.5, 'thr2': 31.0, 'yaw': 26.94, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:51:20.411038', 'pitch': 0.9, 'rot1': 307, 'rot0': 213, 'rot3': 7, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.19, 'cur2': 1.37, 'cur0': 2.76, 'cur1': 0.0, 'mgs': 0, 'compass': 52.7, 'lipoC2': 0.0, 'temp': 24.74, 'thr3': 36.0, 'depth': 0.119, 'time': 7.82, 'thr2': 31.0, 'yaw': 48.73, 'thr0': 27.0, 'thr1': 27.0}
