{'lipoC2': 8.0, 'temp': 0.0, 'lipoC3S3': 12.3, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-12-12 10:55:28.801698', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.41, 'flw0': 0.0, 'time': 1.26, 'compass': -173.65, 'pitch': -4.3, 'roll': 0.94}
{'lipoC2': 8.26, 'temp': 0.0, 'lipoC3S3': 12.1, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.446, 'yaw': 0.23, 'datetime': '2018-12-12 10:55:29.006758', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.05, 'time': 1.47, 'compass': -173.42, 'pitch': -4.13, 'roll': 0.72}
{'lipoC2': 8.27, 'temp': 0.0, 'lipoC3S3': 12.13, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.827, 'yaw': 0.49, 'datetime': '2018-12-12 10:55:29.214027', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.5, 'flw0': 0.0, 'time': 1.67, 'compass': -173.16, 'pitch': -4.11, 'roll': 0.58}
{'lipoC2': 8.26, 'temp': 0.0, 'lipoC3S3': 12.13, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.446, 'yaw': 0.72, 'datetime': '2018-12-12 10:55:29.422136', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.06, 'flw0': 0.0, 'time': 1.88, 'compass': -172.93, 'pitch': -4.31, 'roll': 0.6}
{'lipoC2': 8.01, 'temp': 0.0, 'lipoC3S3': 12.37, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.92, 'datetime': '2018-12-12 10:55:29.629892', 'mgs': 0, 'flw2': 0.26, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.09, 'compass': -172.73, 'pitch': -4.67, 'roll': 0.61}
{'lipoC2': 8.0, 'temp': 0.0, 'lipoC3S3': 12.01, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.165, 'yaw': 1.08, 'datetime': '2018-12-12 10:55:29.839225', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.67, 'flw0': 0.0, 'time': 2.3, 'compass': -172.57, 'pitch': -4.98, 'roll': 0.62}
{'lipoC2': 8.12, 'temp': 0.0, 'lipoC3S3': 12.22, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 1.23, 'datetime': '2018-12-12 10:55:30.048064', 'mgs': 0, 'flw2': 0.29, 'flw1': 0.0, 'flw0': 0.21, 'time': 2.51, 'compass': -172.42, 'pitch': -4.99, 'roll': 0.54}
{'lipoC2': 8.11, 'temp': 0.0, 'lipoC3S3': 12.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.996, 'yaw': 1.34, 'datetime': '2018-12-12 10:55:30.257141', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.22, 'time': 2.71, 'compass': -172.31, 'pitch': -4.79, 'roll': 0.52}
{'lipoC2': 8.06, 'temp': 0.0, 'lipoC3S3': 12.42, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 2.53, 'yaw': 1.44, 'datetime': '2018-12-12 10:55:30.464349', 'mgs': 0, 'flw2': 0.09, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.92, 'compass': -172.21, 'pitch': -4.66, 'roll': 0.58}
{'lipoC2': 8.2, 'temp': 0.0, 'lipoC3S3': 12.06, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.004, 'yaw': 1.59, 'datetime': '2018-12-12 10:55:30.671579', 'mgs': 0, 'flw2': 0.11, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.13, 'compass': -172.06, 'pitch': -4.7, 'roll': 0.75}
{'lipoC2': 8.01, 'temp': 0.0, 'lipoC3S3': 12.34, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 1.77, 'datetime': '2018-12-12 10:55:30.880987', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.34, 'compass': -171.88, 'pitch': -4.72, 'roll': 0.85}
