{'lipoC2': 0.15, 'temp': 0.0, 'lipoC3S3': 12.19, 'state': 'normal', 'rot1': 14, 'rot0': 14, 'rot3': 0, 'rot2': 0, 'depth': -0.522, 'yaw': -43.48, 'datetime': '2018-12-18 18:06:33.103698', 'mgs': 0, 'flw2': 0.33, 'flw1': 0.0, 'flw0': 0.57, 'time': 4.38, 'compass': -63.46, 'pitch': 0.68, 'roll': -0.43}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.52, 'state': 'normal', 'rot1': 15, 'rot0': 15, 'rot3': 0, 'rot2': 0, 'depth': 1.691, 'yaw': -48.55, 'datetime': '2018-12-18 18:06:33.308387', 'mgs': 0, 'flw2': 0.05, 'flw1': 0.03, 'flw0': 0.57, 'time': 4.58, 'compass': -68.52, 'pitch': 0.79, 'roll': -0.37}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.47, 'state': 'normal', 'rot1': 16, 'rot0': 16, 'rot3': 0, 'rot2': 0, 'depth': 1.92, 'yaw': -53.88, 'datetime': '2018-12-18 18:06:33.520983', 'mgs': 0, 'flw2': 0.52, 'flw1': 0.0, 'flw0': 0.2, 'time': 4.79, 'compass': -73.86, 'pitch': 0.82, 'roll': -0.3}
{'lipoC2': 0.02, 'temp': 0.0, 'lipoC3S3': 12.42, 'state': 'normal', 'rot1': 16, 'rot0': 17, 'rot3': 0, 'rot2': 0, 'depth': 1.538, 'yaw': -59.21, 'datetime': '2018-12-18 18:06:33.727905', 'mgs': 0, 'flw2': 0.28, 'flw1': 0.44, 'flw0': 0.38, 'time': 5.0, 'compass': -79.19, 'pitch': 0.94, 'roll': -0.22}
{'lipoC2': 0.12, 'temp': 0.0, 'lipoC3S3': 12.12, 'state': 'normal', 'rot1': 18, 'rot0': 18, 'rot3': 0, 'rot2': 0, 'depth': 0.851, 'yaw': -64.58, 'datetime': '2018-12-18 18:06:33.938916', 'mgs': 0, 'flw2': 0.01, 'flw1': 0.03, 'flw0': 0.57, 'time': 5.21, 'compass': -84.55, 'pitch': 1.11, 'roll': -0.16}
{'lipoC2': 0.14, 'temp': 0.0, 'lipoC3S3': 12.27, 'state': 'normal', 'rot1': 19, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': -69.75, 'datetime': '2018-12-18 18:06:34.148406', 'mgs': 0, 'flw2': 0.34, 'flw1': 0.0, 'flw0': 0.55, 'time': 5.42, 'compass': -89.73, 'pitch': 1.29, 'roll': -0.21}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.33, 'state': 'normal', 'rot1': 20, 'rot0': 20, 'rot3': 0, 'rot2': 0, 'depth': 0.317, 'yaw': -75.24, 'datetime': '2018-12-18 18:06:34.355666', 'mgs': 0, 'flw2': 0.04, 'flw1': 0.5, 'flw0': 0.0, 'time': 5.63, 'compass': -95.21, 'pitch': 1.41, 'roll': -0.08}
{'lipoC2': 0.06, 'temp': 0.0, 'lipoC3S3': 12.13, 'state': 'normal', 'rot1': 20, 'rot0': 20, 'rot3': 0, 'rot2': 0, 'depth': 0.47, 'yaw': -80.17, 'datetime': '2018-12-18 18:06:34.564290', 'mgs': 0, 'flw2': 0.17, 'flw1': 0.0, 'flw0': 0.0, 'time': 5.84, 'compass': -100.15, 'pitch': 1.4, 'roll': 0.31}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.29, 'state': 'normal', 'rot1': 21, 'rot0': 21, 'rot3': 0, 'rot2': 0, 'depth': 0.546, 'yaw': -84.16, 'datetime': '2018-12-18 18:06:34.773326', 'mgs': 0, 'flw2': 2.94, 'flw1': 0.26, 'flw0': 0.62, 'time': 6.04, 'compass': -104.14, 'pitch': 1.82, 'roll': 0.72}
{'lipoC2': 0.1, 'temp': 0.0, 'lipoC3S3': 12.35, 'state': 'normal', 'rot1': 23, 'rot0': 24, 'rot3': 0, 'rot2': 0, 'depth': -1.666, 'yaw': -85.69, 'datetime': '2018-12-18 18:06:34.983908', 'mgs': 0, 'flw2': 2.78, 'flw1': 0.47, 'flw0': 0.79, 'time': 6.25, 'compass': -105.67, 'pitch': 3.65, 'roll': 1.04}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.21, 'state': 'normal', 'rot1': 24, 'rot0': 26, 'rot3': 1, 'rot2': 0, 'depth': 1.538, 'yaw': -85.25, 'datetime': '2018-12-18 18:06:35.195574', 'mgs': 0, 'flw2': 2.83, 'flw1': 4.6, 'flw0': 0.48, 'time': 6.46, 'compass': -105.23, 'pitch': 4.85, 'roll': 1.17}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.54, 'state': 'normal', 'rot1': 25, 'rot0': 28, 'rot3': 1, 'rot2': 1, 'depth': 2.301, 'yaw': -83.41, 'datetime': '2018-12-18 18:06:35.403843', 'mgs': 0, 'flw2': 2.99, 'flw1': 2.99, 'flw0': 0.38, 'time': 6.67, 'compass': -103.39, 'pitch': 5.08, 'roll': 0.55}
{'lipoC2': 0.05, 'temp': 0.0, 'lipoC3S3': 12.14, 'state': 'normal', 'rot1': 27, 'rot0': 31, 'rot3': 2, 'rot2': 2, 'depth': 0.851, 'yaw': -80.31, 'datetime': '2018-12-18 18:06:35.612659', 'mgs': 0, 'flw2': 2.59, 'flw1': 3.66, 'flw0': 0.94, 'time': 6.88, 'compass': -100.29, 'pitch': 4.8, 'roll': -0.27}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.39, 'state': 'normal', 'rot1': 28, 'rot0': 33, 'rot3': 3, 'rot2': 3, 'depth': 1.385, 'yaw': -76.34, 'datetime': '2018-12-18 18:06:35.821367', 'mgs': 0, 'flw2': 3.04, 'flw1': 0.0, 'flw0': 0.66, 'time': 7.09, 'compass': -96.32, 'pitch': 4.21, 'roll': -0.73}
{'lipoC2': 0.11, 'temp': 0.0, 'lipoC3S3': 12.33, 'state': 'normal', 'rot1': 30, 'rot0': 36, 'rot3': 3, 'rot2': 3, 'depth': -1.819, 'yaw': -72.6, 'datetime': '2018-12-18 18:06:36.029805', 'mgs': 0, 'flw2': 2.84, 'flw1': 0.41, 'flw0': 2.77, 'time': 7.3, 'compass': -92.57, 'pitch': 3.59, 'roll': -0.53}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.33, 'state': 'normal', 'rot1': 33, 'rot0': 38, 'rot3': 3, 'rot2': 3, 'depth': 0.394, 'yaw': -70.13, 'datetime': '2018-12-18 18:06:36.240621', 'mgs': 0, 'flw2': 2.93, 'flw1': 0.29, 'flw0': 2.73, 'time': 7.51, 'compass': -90.11, 'pitch': 3.76, 'roll': 0.05}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.35, 'state': 'normal', 'rot1': 35, 'rot0': 41, 'rot3': 3, 'rot2': 3, 'depth': 1.004, 'yaw': -68.63, 'datetime': '2018-12-18 18:06:36.449383', 'mgs': 0, 'flw2': 2.84, 'flw1': 4.86, 'flw0': 2.92, 'time': 7.72, 'compass': -88.6, 'pitch': 4.19, 'roll': 0.69}
{'lipoC2': 0.17, 'temp': 0.0, 'lipoC3S3': 12.23, 'state': 'normal', 'rot1': 37, 'rot0': 42, 'rot3': 4, 'rot2': 4, 'depth': -0.751, 'yaw': -68.26, 'datetime': '2018-12-18 18:06:36.658090', 'mgs': 0, 'flw2': 0.83, 'flw1': 3.25, 'flw0': 2.78, 'time': 7.93, 'compass': -88.23, 'pitch': 4.6, 'roll': 0.51}
{'lipoC2': 0.04, 'temp': 0.0, 'lipoC3S3': 12.38, 'state': 'normal', 'rot1': 40, 'rot0': 44, 'rot3': 4, 'rot2': 4, 'depth': -1.132, 'yaw': -69.96, 'datetime': '2018-12-18 18:06:36.871321', 'mgs': 0, 'flw2': 0.94, 'flw1': 0.0, 'flw0': 2.73, 'time': 8.13, 'compass': -89.93, 'pitch': 4.01, 'roll': -0.34}
{'lipoC2': 0.03, 'temp': 0.0, 'lipoC3S3': 12.17, 'state': 'normal', 'rot1': 43, 'rot0': 45, 'rot3': 4, 'rot2': 4, 'depth': 0.47, 'yaw': -72.8, 'datetime': '2018-12-18 18:06:37.076640', 'mgs': 0, 'flw2': 0.4, 'flw1': 0.29, 'flw0': 3.0, 'time': 8.34, 'compass': -92.77, 'pitch': 2.88, 'roll': -0.83}
{'lipoC2': 0.1, 'temp': 0.0, 'lipoC3S3': 12.34, 'state': 'normal', 'rot1': 45, 'rot0': 47, 'rot3': 4, 'rot2': 4, 'depth': -1.743, 'yaw': -76.09, 'datetime': '2018-12-18 18:06:37.286891', 'mgs': 0, 'flw2': 2.8, 'flw1': 0.5, 'flw0': 2.83, 'time': 8.55, 'compass': -96.06, 'pitch': 2.66, 'roll': -0.62}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.37, 'state': 'normal', 'rot1': 48, 'rot0': 50, 'rot3': 4, 'rot2': 4, 'depth': 1.004, 'yaw': -78.13, 'datetime': '2018-12-18 18:06:37.495260', 'mgs': 0, 'flw2': 2.98, 'flw1': 0.0, 'flw0': 2.97, 'time': 8.76, 'compass': -98.11, 'pitch': 4.21, 'roll': 0.04}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.25, 'state': 'normal', 'rot1': 51, 'rot0': 52, 'rot3': 4, 'rot2': 4, 'depth': 0.775, 'yaw': -79.5, 'datetime': '2018-12-18 18:06:37.703194', 'mgs': 0, 'flw2': 2.98, 'flw1': 0.18, 'flw0': 2.6, 'time': 8.97, 'compass': -99.48, 'pitch': 5.14, 'roll': 0.47}
{'lipoC2': 0.14, 'temp': 0.0, 'lipoC3S3': 12.25, 'state': 'normal', 'rot1': 52, 'rot0': 54, 'rot3': 4, 'rot2': 4, 'depth': 1.538, 'yaw': -80.23, 'datetime': '2018-12-18 18:06:37.910892', 'mgs': 0, 'flw2': 0.06, 'flw1': 0.44, 'flw0': 0.0, 'time': 9.18, 'compass': -100.21, 'pitch': 4.77, 'roll': 0.54}
{'lipoC2': 0.04, 'temp': 0.0, 'lipoC3S3': 12.39, 'state': 'normal', 'rot1': 52, 'rot0': 54, 'rot3': 4, 'rot2': 4, 'depth': -1.208, 'yaw': -80.46, 'datetime': '2018-12-18 18:06:38.119160', 'mgs': 0, 'flw2': 0.21, 'flw1': 0.0, 'flw0': 0.0, 'time': 9.39, 'compass': -100.44, 'pitch': 2.09, 'roll': 0.78}
{'lipoC2': 0.06, 'temp': 0.0, 'lipoC3S3': 12.14, 'state': 'normal', 'rot1': 52, 'rot0': 54, 'rot3': 4, 'rot2': 4, 'depth': 1.614, 'yaw': -80.74, 'datetime': '2018-12-18 18:06:38.325535', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.38, 'flw0': 0.13, 'time': 9.6, 'compass': -100.71, 'pitch': 0.4, 'roll': 0.99}
{'lipoC2': 0.04, 'temp': 0.0, 'lipoC3S3': 12.39, 'state': 'normal', 'rot1': 54, 'rot0': 56, 'rot3': 4, 'rot2': 5, 'depth': -1.285, 'yaw': -80.79, 'datetime': '2018-12-18 18:06:38.533754', 'mgs': 0, 'flw2': 2.92, 'flw1': 3.69, 'flw0': 0.6, 'time': 9.8, 'compass': -100.77, 'pitch': 1.45, 'roll': 0.85}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.35, 'state': 'normal', 'rot1': 55, 'rot0': 59, 'rot3': 5, 'rot2': 6, 'depth': 0.699, 'yaw': -79.38, 'datetime': '2018-12-18 18:06:38.743150', 'mgs': 0, 'flw2': 2.56, 'flw1': 3.34, 'flw0': 0.72, 'time': 10.01, 'compass': -99.35, 'pitch': 4.4, 'roll': 0.32}
{'lipoC2': 0.15, 'temp': 0.0, 'lipoC3S3': 12.29, 'state': 'normal', 'rot1': 57, 'rot0': 62, 'rot3': 6, 'rot2': 6, 'depth': -0.674, 'yaw': -76.63, 'datetime': '2018-12-18 18:06:38.952323', 'mgs': 0, 'flw2': 2.76, 'flw1': 0.5, 'flw0': 0.7, 'time': 10.22, 'compass': -96.61, 'pitch': 5.14, 'roll': 0.11}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.52, 'state': 'normal', 'rot1': 58, 'rot0': 65, 'rot3': 6, 'rot2': 6, 'depth': 1.614, 'yaw': -73.05, 'datetime': '2018-12-18 18:06:39.165774', 'mgs': 0, 'flw2': 2.93, 'flw1': 0.23, 'flw0': 0.59, 'time': 10.43, 'compass': -93.03, 'pitch': 3.36, 'roll': 0.29}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.45, 'state': 'normal', 'rot1': 61, 'rot0': 66, 'rot3': 6, 'rot2': 6, 'depth': 1.691, 'yaw': -69.9, 'datetime': '2018-12-18 18:06:39.374377', 'mgs': 0, 'flw2': 0.4, 'flw1': 0.23, 'flw0': 3.13, 'time': 10.64, 'compass': -89.87, 'pitch': 2.28, 'roll': 0.4}
{'lipoC2': 0.05, 'temp': 0.0, 'lipoC3S3': 12.14, 'state': 'normal', 'rot1': 63, 'rot0': 68, 'rot3': 6, 'rot2': 6, 'depth': 1.538, 'yaw': -69.85, 'datetime': '2018-12-18 18:06:39.584244', 'mgs': 0, 'flw2': 0.94, 'flw1': 0.0, 'flw0': 2.71, 'time': 10.85, 'compass': -89.82, 'pitch': 3.3, 'roll': 0.19}
{'lipoC2': 0.14, 'temp': 0.0, 'lipoC3S3': 12.14, 'state': 'normal', 'rot1': 66, 'rot0': 69, 'rot3': 6, 'rot2': 6, 'depth': 0.546, 'yaw': -71.85, 'datetime': '2018-12-18 18:06:39.795488', 'mgs': 0, 'flw2': 0.73, 'flw1': 0.0, 'flw0': 3.23, 'time': 11.06, 'compass': -91.82, 'pitch': 4.43, 'roll': -0.05}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.54, 'state': 'normal', 'rot1': 68, 'rot0': 71, 'rot3': 6, 'rot2': 6, 'depth': 2.301, 'yaw': -75.22, 'datetime': '2018-12-18 18:06:40.006204', 'mgs': 0, 'flw2': 0.98, 'flw1': 0.0, 'flw0': 3.05, 'time': 11.27, 'compass': -95.2, 'pitch': 4.54, 'roll': -0.32}
{'lipoC2': 0.17, 'temp': 0.0, 'lipoC3S3': 12.19, 'state': 'normal', 'rot1': 71, 'rot0': 72, 'rot3': 6, 'rot2': 6, 'depth': -0.598, 'yaw': -79.58, 'datetime': '2018-12-18 18:06:40.213935', 'mgs': 0, 'flw2': 2.8, 'flw1': 2.96, 'flw0': 3.02, 'time': 11.47, 'compass': -99.55, 'pitch': 4.18, 'roll': -0.87}
{'lipoC2': 0.13, 'temp': 0.0, 'lipoC3S3': 12.09, 'state': 'normal', 'rot1': 73, 'rot0': 74, 'rot3': 7, 'rot2': 7, 'depth': 0.851, 'yaw': -82.96, 'datetime': '2018-12-18 18:06:40.423727', 'mgs': 0, 'flw2': 2.53, 'flw1': 0.06, 'flw0': 3.05, 'time': 11.68, 'compass': -102.93, 'pitch': 4.84, 'roll': -1.34}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.42, 'state': 'normal', 'rot1': 75, 'rot0': 77, 'rot3': 7, 'rot2': 7, 'depth': 1.614, 'yaw': -84.61, 'datetime': '2018-12-18 18:06:40.633136', 'mgs': 0, 'flw2': 2.66, 'flw1': 0.38, 'flw0': 0.77, 'time': 11.89, 'compass': -104.59, 'pitch': 5.64, 'roll': -1.17}
{'lipoC2': 0.15, 'temp': 0.0, 'lipoC3S3': 12.14, 'state': 'normal', 'rot1': 76, 'rot0': 79, 'rot3': 7, 'rot2': 7, 'depth': 0.546, 'yaw': -83.98, 'datetime': '2018-12-18 18:06:40.848552', 'mgs': 0, 'flw2': 2.81, 'flw1': 0.0, 'flw0': 0.99, 'time': 12.1, 'compass': -103.95, 'pitch': 4.39, 'roll': -0.37}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.52, 'state': 'normal', 'rot1': 77, 'rot0': 82, 'rot3': 7, 'rot2': 7, 'depth': 2.301, 'yaw': -82.22, 'datetime': '2018-12-18 18:06:41.057142', 'mgs': 0, 'flw2': 2.84, 'flw1': 0.0, 'flw0': 1.0, 'time': 12.31, 'compass': -102.19, 'pitch': 2.97, 'roll': 0.62}
{'lipoC2': 0.13, 'temp': 0.0, 'lipoC3S3': 12.31, 'state': 'normal', 'rot1': 79, 'rot0': 84, 'rot3': 7, 'rot2': 7, 'depth': -0.827, 'yaw': -79.68, 'datetime': '2018-12-18 18:06:41.265566', 'mgs': 0, 'flw2': 2.76, 'flw1': 0.5, 'flw0': 0.74, 'time': 12.52, 'compass': -99.66, 'pitch': 3.24, 'roll': 1.27}
{'lipoC2': 0.15, 'temp': 0.0, 'lipoC3S3': 12.12, 'state': 'normal', 'rot1': 81, 'rot0': 87, 'rot3': 7, 'rot2': 7, 'depth': 0.546, 'yaw': -74.93, 'datetime': '2018-12-18 18:06:41.572196', 'mgs': 0, 'flw2': 0.13, 'flw1': 0.23, 'flw0': 0.0, 'time': 12.83, 'compass': -94.91, 'pitch': 4.26, 'roll': 1.25}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.35, 'state': 'normal', 'rot1': 81, 'rot0': 87, 'rot3': 7, 'rot2': 7, 'depth': 0.394, 'yaw': -72.46, 'datetime': '2018-12-18 18:06:41.782316', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.41, 'flw0': 0.01, 'time': 13.04, 'compass': -92.44, 'pitch': 2.94, 'roll': 0.94}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.48, 'state': 'normal', 'rot1': 81, 'rot0': 87, 'rot3': 7, 'rot2': 7, 'depth': -1.743, 'yaw': -70.41, 'datetime': '2018-12-18 18:06:41.995117', 'mgs': 0, 'flw2': 0.17, 'flw1': 0.09, 'flw0': 0.0, 'time': 13.25, 'compass': -90.39, 'pitch': 1.38, 'roll': 0.55}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.54, 'state': 'normal', 'rot1': 81, 'rot0': 87, 'rot3': 7, 'rot2': 7, 'depth': 1.92, 'yaw': -68.56, 'datetime': '2018-12-18 18:06:42.203159', 'mgs': 0, 'flw2': 0.13, 'flw1': 0.35, 'flw0': 0.0, 'time': 13.46, 'compass': -88.54, 'pitch': 1.15, 'roll': 0.19}
{'lipoC2': 0.08, 'temp': 0.0, 'lipoC3S3': 12.38, 'state': 'normal', 'rot1': 83, 'rot0': 88, 'rot3': 7, 'rot2': 7, 'depth': -0.751, 'yaw': -66.21, 'datetime': '2018-12-18 18:06:42.507372', 'mgs': 0, 'flw2': 0.93, 'flw1': 5.42, 'flw0': 2.81, 'time': 13.77, 'compass': -86.19, 'pitch': 1.99, 'roll': -0.38}
{'lipoC2': 0.01, 'temp': 0.0, 'lipoC3S3': 12.42, 'state': 'normal', 'rot1': 85, 'rot0': 90, 'rot3': 8, 'rot2': 8, 'depth': -0.751, 'yaw': -67.04, 'datetime': '2018-12-18 18:06:42.715478', 'mgs': 0, 'flw2': 0.95, 'flw1': 3.31, 'flw0': 2.83, 'time': 13.98, 'compass': -87.02, 'pitch': 3.87, 'roll': -1.11}
{'lipoC2': 0.11, 'temp': 0.0, 'lipoC3S3': 12.09, 'state': 'normal', 'rot1': 88, 'rot0': 92, 'rot3': 8, 'rot2': 9, 'depth': 0.623, 'yaw': -69.74, 'datetime': '2018-12-18 18:06:42.923658', 'mgs': 0, 'flw2': 0.76, 'flw1': 0.0, 'flw0': 3.23, 'time': 14.19, 'compass': -89.72, 'pitch': 4.52, 'roll': -1.5}
{'lipoC2': 0.13, 'temp': 0.0, 'lipoC3S3': 12.31, 'state': 'normal', 'rot1': 92, 'rot0': 93, 'rot3': 8, 'rot2': 9, 'depth': -1.437, 'yaw': -73.45, 'datetime': '2018-12-18 18:06:43.144612', 'mgs': 0, 'flw2': 0.88, 'flw1': 0.0, 'flw0': 2.87, 'time': 14.4, 'compass': -93.42, 'pitch': 3.45, 'roll': -1.52}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.48, 'state': 'normal', 'rot1': 94, 'rot0': 95, 'rot3': 8, 'rot2': 9, 'depth': 1.92, 'yaw': -78.08, 'datetime': '2018-12-18 18:06:43.349975', 'mgs': 0, 'flw2': 0.45, 'flw1': 0.0, 'flw0': 2.73, 'time': 14.6, 'compass': -98.05, 'pitch': 2.43, 'roll': -1.29}
