{'lipoC2': 7.4, 'temp': 0.0, 'lipoC3S3': 11.35, 'state': 'normal', 'rot1': 30, 'rot0': 26, 'rot3': 0, 'rot2': 0, 'depth': -1.971, 'yaw': -119.78, 'datetime': '2018-12-12 14:38:14.410061', 'mgs': 0, 'flw2': 0.5, 'flw1': 0.0, 'flw0': 0.46, 'time': 4.38, 'compass': 20.68, 'pitch': -2.86, 'roll': -1.71}
{'lipoC2': 7.29, 'temp': 0.0, 'lipoC3S3': 11.21, 'state': 'normal', 'rot1': 32, 'rot0': 27, 'rot3': 0, 'rot2': 0, 'depth': -1.056, 'yaw': -127.36, 'datetime': '2018-12-12 14:38:14.619867', 'mgs': 0, 'flw2': 0.34, 'flw1': 0.0, 'flw0': 0.29, 'time': 4.59, 'compass': 13.1, 'pitch': -2.62, 'roll': -1.23}
{'lipoC2': 7.48, 'temp': 0.0, 'lipoC3S3': 11.18, 'state': 'normal', 'rot1': 33, 'rot0': 28, 'rot3': 0, 'rot2': 0, 'depth': -1.895, 'yaw': -134.85, 'datetime': '2018-12-12 14:38:14.829648', 'mgs': 0, 'flw2': 0.2, 'flw1': 0.62, 'flw0': 0.38, 'time': 4.8, 'compass': 5.61, 'pitch': -2.39, 'roll': -1.6}
{'lipoC2': 7.3, 'temp': 0.0, 'lipoC3S3': 11.47, 'state': 'normal', 'rot1': 34, 'rot0': 29, 'rot3': 0, 'rot2': 0, 'depth': -1.361, 'yaw': -142.1, 'datetime': '2018-12-12 14:38:15.041580', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.47, 'flw0': 0.0, 'time': 5.01, 'compass': -1.64, 'pitch': -1.86, 'roll': -2.3}
{'lipoC2': 7.18, 'temp': 0.0, 'lipoC3S3': 11.18, 'state': 'normal', 'rot1': 34, 'rot0': 29, 'rot3': 0, 'rot2': 0, 'depth': -0.369, 'yaw': -148.55, 'datetime': '2018-12-12 14:38:15.249830', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 5.22, 'compass': -8.09, 'pitch': -1.81, 'roll': -2.86}
{'lipoC2': 7.38, 'temp': 0.0, 'lipoC3S3': 11.18, 'state': 'normal', 'rot1': 35, 'rot0': 30, 'rot3': 0, 'rot2': 0, 'depth': -0.674, 'yaw': -154.27, 'datetime': '2018-12-12 14:38:15.459411', 'mgs': 0, 'flw2': 0.59, 'flw1': 0.0, 'flw0': 0.71, 'time': 5.43, 'compass': -13.81, 'pitch': -1.46, 'roll': -3.11}
{'lipoC2': 7.37, 'temp': 0.0, 'lipoC3S3': 11.18, 'state': 'normal', 'rot1': 35, 'rot0': 30, 'rot3': 0, 'rot2': 0, 'depth': -0.522, 'yaw': -158.81, 'datetime': '2018-12-12 14:38:15.665251', 'mgs': 0, 'flw2': 0.39, 'flw1': 0.0, 'flw0': 0.6, 'time': 5.64, 'compass': -18.35, 'pitch': -0.64, 'roll': -2.63}
{'lipoC2': 7.27, 'temp': 0.0, 'lipoC3S3': 11.17, 'state': 'normal', 'rot1': 37, 'rot0': 31, 'rot3': 0, 'rot2': 0, 'depth': -1.361, 'yaw': -161.93, 'datetime': '2018-12-12 14:38:15.875223', 'mgs': 0, 'flw2': 0.15, 'flw1': 0.38, 'flw0': 0.38, 'time': 5.85, 'compass': -21.47, 'pitch': -0.5, 'roll': -2.0}
{'lipoC2': 7.27, 'temp': 0.0, 'lipoC3S3': 11.3, 'state': 'normal', 'rot1': 38, 'rot0': 32, 'rot3': 0, 'rot2': 0, 'depth': -0.751, 'yaw': -163.99, 'datetime': '2018-12-12 14:38:16.085922', 'mgs': 0, 'flw2': 0.57, 'flw1': 0.0, 'flw0': 0.39, 'time': 6.05, 'compass': -23.53, 'pitch': -0.74, 'roll': -1.75}
{'lipoC2': 7.47, 'temp': 0.0, 'lipoC3S3': 11.13, 'state': 'normal', 'rot1': 40, 'rot0': 33, 'rot3': 0, 'rot2': 0, 'depth': -1.666, 'yaw': -165.19, 'datetime': '2018-12-12 14:38:16.297461', 'mgs': 0, 'flw2': 0.67, 'flw1': 0.0, 'flw0': 0.4, 'time': 6.26, 'compass': -24.73, 'pitch': -0.64, 'roll': -1.8}
{'lipoC2': 7.21, 'temp': 0.0, 'lipoC3S3': 11.54, 'state': 'normal', 'rot1': 41, 'rot0': 34, 'rot3': 0, 'rot2': 0, 'depth': -0.446, 'yaw': -165.65, 'datetime': '2018-12-12 14:38:16.510157', 'mgs': 0, 'flw2': 0.16, 'flw1': 0.0, 'flw0': 0.34, 'time': 6.47, 'compass': -25.19, 'pitch': -0.41, 'roll': -2.21}
{'lipoC2': 7.23, 'temp': 0.0, 'lipoC3S3': 11.14, 'state': 'normal', 'rot1': 42, 'rot0': 35, 'rot3': 0, 'rot2': 0, 'depth': -1.285, 'yaw': -165.38, 'datetime': '2018-12-12 14:38:16.718930', 'mgs': 0, 'flw2': 0.5, 'flw1': 0.0, 'flw0': 0.21, 'time': 6.68, 'compass': -24.92, 'pitch': -0.7, 'roll': -2.34}
{'lipoC2': 7.36, 'temp': 0.0, 'lipoC3S3': 11.3, 'state': 'normal', 'rot1': 43, 'rot0': 36, 'rot3': 0, 'rot2': 0, 'depth': -1.285, 'yaw': -164.65, 'datetime': '2018-12-12 14:38:16.924215', 'mgs': 0, 'flw2': 0.24, 'flw1': 0.32, 'flw0': 0.18, 'time': 6.89, 'compass': -24.19, 'pitch': -0.97, 'roll': -2.1}
{'lipoC2': 7.21, 'temp': 0.0, 'lipoC3S3': 11.44, 'state': 'normal', 'rot1': 44, 'rot0': 37, 'rot3': 0, 'rot2': 0, 'depth': -0.674, 'yaw': -163.39, 'datetime': '2018-12-12 14:38:17.134626', 'mgs': 0, 'flw2': 0.09, 'flw1': 0.0, 'flw0': 0.09, 'time': 7.1, 'compass': -22.93, 'pitch': -1.02, 'roll': -1.69}
{'lipoC2': 7.22, 'temp': 0.0, 'lipoC3S3': 11.22, 'state': 'normal', 'rot1': 45, 'rot0': 37, 'rot3': 0, 'rot2': 0, 'depth': -0.751, 'yaw': -161.66, 'datetime': '2018-12-12 14:38:17.343905', 'mgs': 0, 'flw2': 0.34, 'flw1': 0.12, 'flw0': 0.13, 'time': 7.31, 'compass': -21.2, 'pitch': -1.16, 'roll': -1.55}
{'lipoC2': 7.34, 'temp': 0.0, 'lipoC3S3': 11.05, 'state': 'normal', 'rot1': 46, 'rot0': 38, 'rot3': 0, 'rot2': 0, 'depth': 1.08, 'yaw': -159.58, 'datetime': '2018-12-12 14:38:17.554336', 'mgs': 0, 'flw2': 0.27, 'flw1': 0.21, 'flw0': 0.17, 'time': 7.52, 'compass': -19.12, 'pitch': -1.2, 'roll': -1.65}
{'lipoC2': 7.35, 'temp': 0.0, 'lipoC3S3': 11.4, 'state': 'normal', 'rot1': 47, 'rot0': 39, 'rot3': 0, 'rot2': 0, 'depth': -1.208, 'yaw': -157.24, 'datetime': '2018-12-12 14:38:17.762689', 'mgs': 0, 'flw2': 0.26, 'flw1': 0.5, 'flw0': 0.23, 'time': 7.73, 'compass': -16.78, 'pitch': -0.94, 'roll': -1.62}
{'lipoC2': 7.26, 'temp': 0.0, 'lipoC3S3': 11.22, 'state': 'normal', 'rot1': 48, 'rot0': 40, 'rot3': 0, 'rot2': 0, 'depth': -1.361, 'yaw': -154.61, 'datetime': '2018-12-12 14:38:17.972056', 'mgs': 0, 'flw2': 0.48, 'flw1': 0.0, 'flw0': 0.6, 'time': 7.94, 'compass': -14.15, 'pitch': -1.03, 'roll': -1.36}
{'lipoC2': 7.24, 'temp': 0.0, 'lipoC3S3': 11.11, 'state': 'normal', 'rot1': 49, 'rot0': 41, 'rot3': 0, 'rot2': 0, 'depth': -0.446, 'yaw': -151.82, 'datetime': '2018-12-12 14:38:18.180420', 'mgs': 0, 'flw2': 0.18, 'flw1': 0.0, 'flw0': 0.39, 'time': 8.15, 'compass': -11.37, 'pitch': -1.57, 'roll': -0.99}
{'lipoC2': 7.29, 'temp': 0.0, 'lipoC3S3': 11.32, 'state': 'normal', 'rot1': 50, 'rot0': 42, 'rot3': 0, 'rot2': 0, 'depth': -1.819, 'yaw': -148.68, 'datetime': '2018-12-12 14:38:18.390877', 'mgs': 0, 'flw2': 0.11, 'flw1': 0.09, 'flw0': 0.12, 'time': 8.35, 'compass': -8.22, 'pitch': -2.12, 'roll': -0.86}
{'lipoC2': 7.23, 'temp': 0.0, 'lipoC3S3': 11.22, 'state': 'normal', 'rot1': 51, 'rot0': 43, 'rot3': 0, 'rot2': 0, 'depth': -1.666, 'yaw': -145.34, 'datetime': '2018-12-12 14:38:18.601357', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.22, 'time': 8.56, 'compass': -4.88, 'pitch': -2.41, 'roll': -0.76}
