{'lipoC2': 7.61, 'temp': 33.5, 'lipoC3S3': 12.12, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-12-10 15:20:56.439859', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.36, 'compass': -56.2, 'pitch': -3.24, 'roll': 0.88}
{'lipoC2': 7.59, 'temp': 33.56, 'lipoC3S3': 12.12, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-12-10 15:20:56.644749', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.57, 'compass': -56.2, 'pitch': -3.24, 'roll': 0.88}
{'lipoC2': 7.61, 'temp': 33.56, 'lipoC3S3': 12.12, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-12-10 15:20:56.855597', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.78, 'compass': -56.2, 'pitch': -3.24, 'roll': 0.88}
{'lipoC2': 7.59, 'temp': 33.5, 'lipoC3S3': 12.12, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-12-10 15:20:57.064849', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.99, 'compass': -56.2, 'pitch': -3.24, 'roll': 0.88}
{'lipoC2': 7.61, 'temp': 33.5, 'lipoC3S3': 12.12, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-12-10 15:20:57.272563', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.2, 'compass': -56.2, 'pitch': -3.24, 'roll': 0.88}
{'lipoC2': 7.59, 'temp': 33.5, 'lipoC3S3': 12.12, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-12-10 15:20:57.479828', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.41, 'compass': -56.2, 'pitch': -3.24, 'roll': 0.88}
{'lipoC2': 7.61, 'temp': 33.5, 'lipoC3S3': 12.12, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-12-10 15:20:57.689180', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.62, 'compass': -56.2, 'pitch': -3.24, 'roll': 0.88}
{'lipoC2': 7.59, 'temp': 33.5, 'lipoC3S3': 12.12, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-12-10 15:20:57.897216', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.83, 'compass': -56.2, 'pitch': -3.24, 'roll': 0.88}
{'lipoC2': 7.59, 'temp': 33.56, 'lipoC3S3': 12.12, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-12-10 15:20:58.106073', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.03, 'compass': -56.2, 'pitch': -3.24, 'roll': 0.88}
{'lipoC2': 7.61, 'temp': 33.56, 'lipoC3S3': 12.12, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-12-10 15:20:58.315724', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.24, 'compass': -56.2, 'pitch': -3.24, 'roll': 0.88}
{'lipoC2': 7.61, 'temp': 33.5, 'lipoC3S3': 12.12, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-12-10 15:20:58.524183', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.45, 'compass': -56.2, 'pitch': -3.24, 'roll': 0.88}
{'lipoC2': 7.59, 'temp': 33.56, 'lipoC3S3': 12.12, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-12-10 15:20:58.732673', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.66, 'compass': -56.2, 'pitch': -3.24, 'roll': 0.88}
{'lipoC2': 7.59, 'temp': 33.56, 'lipoC3S3': 12.12, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-12-10 15:20:58.941271', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.87, 'compass': -56.2, 'pitch': -3.24, 'roll': 0.88}
{'lipoC2': 7.61, 'temp': 33.56, 'lipoC3S3': 12.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.699, 'yaw': 0.0, 'datetime': '2018-12-10 15:20:59.144739', 'mgs': 0, 'flw2': 3.53, 'flw1': 0.0, 'flw0': 3.55, 'time': 4.08, 'compass': -56.2, 'pitch': -3.24, 'roll': 0.88}
{'lipoC2': 7.61, 'temp': 33.5, 'lipoC3S3': 11.98, 'state': 'normal', 'rot1': 4, 'rot0': 3, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': -0.0, 'datetime': '2018-12-10 15:20:59.353930', 'mgs': 0, 'flw2': 1.18, 'flw1': 0.0, 'flw0': 1.21, 'time': 4.29, 'compass': -56.2, 'pitch': -3.23, 'roll': 0.89}
{'lipoC2': 7.61, 'temp': 33.5, 'lipoC3S3': 12.06, 'state': 'normal', 'rot1': 8, 'rot0': 7, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': -0.0, 'datetime': '2018-12-10 15:20:59.563406', 'mgs': 0, 'flw2': 1.18, 'flw1': 0.0, 'flw0': 1.15, 'time': 4.5, 'compass': -56.2, 'pitch': -3.23, 'roll': 0.89}
{'lipoC2': 7.59, 'temp': 33.63, 'lipoC3S3': 12.06, 'state': 'normal', 'rot1': 11, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'depth': 0.165, 'yaw': -0.0, 'datetime': '2018-12-10 15:20:59.772019', 'mgs': 0, 'flw2': 1.22, 'flw1': 0.0, 'flw0': 1.15, 'time': 4.71, 'compass': -56.2, 'pitch': -3.23, 'roll': 0.89}
{'lipoC2': 7.61, 'temp': 33.5, 'lipoC3S3': 12.06, 'state': 'normal', 'rot1': 15, 'rot0': 14, 'rot3': 0, 'rot2': 0, 'depth': 0.165, 'yaw': -0.0, 'datetime': '2018-12-10 15:20:59.984276', 'mgs': 0, 'flw2': 1.25, 'flw1': 0.0, 'flw0': 1.12, 'time': 4.92, 'compass': -56.2, 'pitch': -3.23, 'roll': 0.9}
{'lipoC2': 7.59, 'temp': 33.5, 'lipoC3S3': 12.01, 'state': 'normal', 'rot1': 19, 'rot0': 18, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': -0.0, 'datetime': '2018-12-10 15:21:00.192422', 'mgs': 0, 'flw2': 1.17, 'flw1': 0.0, 'flw0': 1.2, 'time': 5.13, 'compass': -56.2, 'pitch': -3.23, 'roll': 0.9}
{'lipoC2': 7.59, 'temp': 33.5, 'lipoC3S3': 12.06, 'state': 'normal', 'rot1': 23, 'rot0': 22, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.0, 'datetime': '2018-12-10 15:21:00.402053', 'mgs': 0, 'flw2': 1.22, 'flw1': 0.0, 'flw0': 1.29, 'time': 5.34, 'compass': -56.2, 'pitch': -3.23, 'roll': 0.9}
{'lipoC2': 7.59, 'temp': 33.5, 'lipoC3S3': 12.08, 'state': 'normal', 'rot1': 26, 'rot0': 25, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': -0.0, 'datetime': '2018-12-10 15:21:00.615971', 'mgs': 0, 'flw2': 1.22, 'flw1': 0.0, 'flw0': 1.31, 'time': 5.55, 'compass': -56.2, 'pitch': -3.23, 'roll': 0.89}
