{'lipoC2': 8.01, 'temp': 0.0, 'lipoC3S3': 12.04, 'state': 'normal', 'rot1': 0, 'rot0': 17, 'rot3': 0, 'rot2': 0, 'depth': -0.064, 'yaw': 30.11, 'datetime': '2018-12-12 10:57:22.078823', 'mgs': 0, 'flw2': 6.64, 'flw1': 0.41, 'flw0': 0.0, 'time': 4.48, 'compass': 44.87, 'pitch': -1.85, 'roll': 3.24}
{'lipoC2': 8.27, 'temp': 0.0, 'lipoC3S3': 11.98, 'state': 'normal', 'rot1': 0, 'rot0': 21, 'rot3': 0, 'rot2': 0, 'depth': -0.827, 'yaw': 42.29, 'datetime': '2018-12-12 10:57:22.287596', 'mgs': 0, 'flw2': 7.25, 'flw1': 0.0, 'flw0': 0.0, 'time': 4.68, 'compass': 57.05, 'pitch': 2.69, 'roll': 4.87}
{'lipoC2': 7.95, 'temp': 0.0, 'lipoC3S3': 12.35, 'state': 'normal', 'rot1': 0, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': 0.394, 'yaw': 55.68, 'datetime': '2018-12-12 10:57:22.495051', 'mgs': 0, 'flw2': 0.2, 'flw1': 0.0, 'flw0': 0.32, 'time': 4.89, 'compass': 70.43, 'pitch': 6.68, 'roll': 5.44}
{'lipoC2': 8.25, 'temp': 0.0, 'lipoC3S3': 12.06, 'state': 'normal', 'rot1': 0, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': -0.674, 'yaw': 65.68, 'datetime': '2018-12-12 10:57:22.703794', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.64, 'flw0': 0.0, 'time': 5.1, 'compass': 80.43, 'pitch': 6.84, 'roll': 4.71}
{'lipoC2': 8.17, 'temp': 0.0, 'lipoC3S3': 11.98, 'state': 'normal', 'rot1': 0, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': 0.241, 'yaw': 73.76, 'datetime': '2018-12-12 10:57:22.910760', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.15, 'time': 5.31, 'compass': 88.51, 'pitch': 4.84, 'roll': 3.52}
{'lipoC2': 8.16, 'temp': 0.0, 'lipoC3S3': 12.0, 'state': 'normal', 'rot1': 0, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': 1.385, 'yaw': 80.48, 'datetime': '2018-12-12 10:57:23.119588', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.11, 'time': 5.52, 'compass': 95.23, 'pitch': 2.79, 'roll': 2.42}
{'lipoC2': 8.13, 'temp': 0.0, 'lipoC3S3': 12.06, 'state': 'normal', 'rot1': 0, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': 0.012, 'yaw': 86.28, 'datetime': '2018-12-12 10:57:23.329146', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.53, 'flw0': 0.0, 'time': 5.72, 'compass': 101.03, 'pitch': 0.14, 'roll': 1.46}
{'lipoC2': 7.99, 'temp': 0.0, 'lipoC3S3': 12.08, 'state': 'normal', 'rot1': 0, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': 1.996, 'yaw': 91.02, 'datetime': '2018-12-12 10:57:23.538041', 'mgs': 0, 'flw2': 0.26, 'flw1': 0.0, 'flw0': 0.1, 'time': 5.93, 'compass': 105.78, 'pitch': -3.24, 'roll': 0.81}
{'lipoC2': 7.99, 'temp': 0.0, 'lipoC3S3': 12.06, 'state': 'normal', 'rot1': 0, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': 2.454, 'yaw': 95.45, 'datetime': '2018-12-12 10:57:23.746460', 'mgs': 0, 'flw2': 0.28, 'flw1': 0.0, 'flw0': 0.06, 'time': 6.14, 'compass': 110.2, 'pitch': -6.56, 'roll': 0.8}
{'lipoC2': 8.13, 'temp': 0.0, 'lipoC3S3': 12.21, 'state': 'normal', 'rot1': 0, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': 1.08, 'yaw': 99.45, 'datetime': '2018-12-12 10:57:23.954083', 'mgs': 0, 'flw2': 0.24, 'flw1': 0.0, 'flw0': 0.27, 'time': 6.35, 'compass': 114.2, 'pitch': -8.49, 'roll': 1.41}
{'lipoC2': 7.94, 'temp': 0.0, 'lipoC3S3': 12.3, 'state': 'normal', 'rot1': 0, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': -0.293, 'yaw': 102.91, 'datetime': '2018-12-12 10:57:24.162727', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 6.56, 'compass': 117.67, 'pitch': -8.64, 'roll': 2.06}
{'lipoC2': 8.11, 'temp': 0.0, 'lipoC3S3': 11.94, 'state': 'normal', 'rot1': 0, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': 1.462, 'yaw': 106.28, 'datetime': '2018-12-12 10:57:24.370451', 'mgs': 0, 'flw2': 0.13, 'flw1': 0.0, 'flw0': 0.32, 'time': 6.76, 'compass': 121.04, 'pitch': -7.62, 'roll': 2.47}
{'lipoC2': 8.0, 'temp': 0.0, 'lipoC3S3': 12.35, 'state': 'normal', 'rot1': 0, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': 1.309, 'yaw': 109.36, 'datetime': '2018-12-12 10:57:24.578882', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.16, 'time': 6.97, 'compass': 124.11, 'pitch': -6.47, 'roll': 2.82}
{'lipoC2': 8.27, 'temp': 0.0, 'lipoC3S3': 12.08, 'state': 'normal', 'rot1': 0, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': -0.751, 'yaw': 112.17, 'datetime': '2018-12-12 10:57:24.787812', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.06, 'flw0': 0.0, 'time': 7.18, 'compass': 126.93, 'pitch': -5.37, 'roll': 3.04}
{'lipoC2': 7.99, 'temp': 0.0, 'lipoC3S3': 12.21, 'state': 'normal', 'rot1': 0, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': 1.996, 'yaw': 114.63, 'datetime': '2018-12-12 10:57:24.997305', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.12, 'flw0': 0.0, 'time': 7.39, 'compass': 129.39, 'pitch': -3.65, 'roll': 2.87}
{'lipoC2': 7.98, 'temp': 0.0, 'lipoC3S3': 12.05, 'state': 'normal', 'rot1': 0, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': 2.454, 'yaw': 117.03, 'datetime': '2018-12-12 10:57:25.204599', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.64, 'flw0': 0.0, 'time': 7.6, 'compass': 131.78, 'pitch': -1.76, 'roll': 2.37}
{'lipoC2': 8.04, 'temp': 0.0, 'lipoC3S3': 11.92, 'state': 'normal', 'rot1': 0, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': 2.682, 'yaw': 119.25, 'datetime': '2018-12-12 10:57:25.413035', 'mgs': 0, 'flw2': 0.27, 'flw1': 0.0, 'flw0': 0.31, 'time': 7.8, 'compass': 134.0, 'pitch': -0.82, 'roll': 1.79}
{'lipoC2': 8.01, 'temp': 0.0, 'lipoC3S3': 12.39, 'state': 'normal', 'rot1': 0, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': -0.827, 'yaw': 121.26, 'datetime': '2018-12-12 10:57:25.620531', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.64, 'flw0': 0.0, 'time': 8.01, 'compass': 136.01, 'pitch': -0.85, 'roll': 1.33}
{'lipoC2': 8.02, 'temp': 0.0, 'lipoC3S3': 11.92, 'state': 'normal', 'rot1': 0, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': 2.682, 'yaw': 122.99, 'datetime': '2018-12-12 10:57:25.829098', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.27, 'time': 8.22, 'compass': 137.75, 'pitch': -1.72, 'roll': 0.97}
{'lipoC2': 8.14, 'temp': 0.0, 'lipoC3S3': 11.98, 'state': 'normal', 'rot1': 0, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': 1.691, 'yaw': 124.7, 'datetime': '2018-12-12 10:57:26.036535', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.09, 'time': 8.43, 'compass': 139.46, 'pitch': -2.84, 'roll': 0.83}
