{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.43, 'state': 'normal', 'rot1': 19, 'rot0': 18, 'rot3': 0, 'rot2': 0, 'depth': 1.538, 'yaw': 87.73, 'datetime': '2018-12-18 18:01:04.554684', 'mgs': 0, 'flw2': 0.22, 'flw1': 0.44, 'flw0': 0.4, 'time': 4.38, 'compass': -62.52, 'pitch': 1.16, 'roll': 1.97}
{'lipoC2': 0.12, 'temp': 0.0, 'lipoC3S3': 12.33, 'state': 'normal', 'rot1': 20, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': -1.819, 'yaw': 95.19, 'datetime': '2018-12-18 18:01:04.763961', 'mgs': 0, 'flw2': 0.45, 'flw1': 0.35, 'flw0': 0.29, 'time': 4.59, 'compass': -55.07, 'pitch': 1.0, 'roll': 1.83}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.16, 'state': 'normal', 'rot1': 21, 'rot0': 20, 'rot3': 0, 'rot2': 0, 'depth': -0.674, 'yaw': 101.86, 'datetime': '2018-12-18 18:01:04.983229', 'mgs': 0, 'flw2': 0.52, 'flw1': 0.21, 'flw0': 0.0, 'time': 4.8, 'compass': -48.39, 'pitch': 0.85, 'roll': 1.66}
{'lipoC2': 0.03, 'temp': 0.0, 'lipoC3S3': 12.19, 'state': 'normal', 'rot1': 22, 'rot0': 21, 'rot3': 0, 'rot2': 0, 'depth': 1.385, 'yaw': 107.96, 'datetime': '2018-12-18 18:01:05.192167', 'mgs': 0, 'flw2': 0.57, 'flw1': 0.0, 'flw0': 0.18, 'time': 5.01, 'compass': -42.3, 'pitch': 0.69, 'roll': 1.46}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.27, 'state': 'normal', 'rot1': 23, 'rot0': 22, 'rot3': 0, 'rot2': 0, 'depth': 0.928, 'yaw': 114.23, 'datetime': '2018-12-18 18:01:05.401496', 'mgs': 0, 'flw2': 0.43, 'flw1': 0.41, 'flw0': 0.34, 'time': 5.22, 'compass': -36.03, 'pitch': 1.01, 'roll': 1.43}
{'lipoC2': 0.04, 'temp': 0.0, 'lipoC3S3': 12.41, 'state': 'normal', 'rot1': 24, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': -1.208, 'yaw': 120.59, 'datetime': '2018-12-18 18:01:05.607366', 'mgs': 0, 'flw2': 0.24, 'flw1': 0.5, 'flw0': 0.38, 'time': 5.43, 'compass': -29.67, 'pitch': 1.44, 'roll': 1.58}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.55, 'state': 'normal', 'rot1': 26, 'rot0': 24, 'rot3': 0, 'rot2': 0, 'depth': 0.089, 'yaw': 126.67, 'datetime': '2018-12-18 18:01:05.817161', 'mgs': 0, 'flw2': 0.18, 'flw1': 0.0, 'flw0': 0.59, 'time': 5.64, 'compass': -23.59, 'pitch': 1.5, 'roll': 1.68}
{'lipoC2': 0.04, 'temp': 0.0, 'lipoC3S3': 12.17, 'state': 'normal', 'rot1': 26, 'rot0': 24, 'rot3': 0, 'rot2': 0, 'depth': 0.394, 'yaw': 133.02, 'datetime': '2018-12-18 18:01:06.026612', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.21, 'flw0': 0.54, 'time': 5.84, 'compass': -17.23, 'pitch': 1.2, 'roll': 1.68}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.52, 'state': 'normal', 'rot1': 28, 'rot0': 25, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 139.33, 'datetime': '2018-12-18 18:01:06.235219', 'mgs': 0, 'flw2': 0.35, 'flw1': 0.0, 'flw0': 0.57, 'time': 6.05, 'compass': -10.92, 'pitch': 1.09, 'roll': 1.54}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.39, 'state': 'normal', 'rot1': 29, 'rot0': 26, 'rot3': 0, 'rot2': 0, 'depth': 1.08, 'yaw': 145.6, 'datetime': '2018-12-18 18:01:06.442636', 'mgs': 0, 'flw2': 0.13, 'flw1': 0.0, 'flw0': 0.04, 'time': 6.26, 'compass': -4.66, 'pitch': 1.24, 'roll': 1.32}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.27, 'state': 'normal', 'rot1': 29, 'rot0': 26, 'rot3': 0, 'rot2': 0, 'depth': 0.851, 'yaw': 151.33, 'datetime': '2018-12-18 18:01:06.652245', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.21, 'time': 6.47, 'compass': 1.07, 'pitch': 1.2, 'roll': 0.95}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.35, 'state': 'normal', 'rot1': 29, 'rot0': 26, 'rot3': 0, 'rot2': 0, 'depth': 0.089, 'yaw': 156.27, 'datetime': '2018-12-18 18:01:06.860759', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.44, 'flw0': 0.0, 'time': 6.68, 'compass': 6.02, 'pitch': 0.95, 'roll': 0.67}
{'lipoC2': 0.04, 'temp': 0.0, 'lipoC3S3': 12.16, 'state': 'normal', 'rot1': 29, 'rot0': 26, 'rot3': 0, 'rot2': 0, 'depth': 0.241, 'yaw': 161.03, 'datetime': '2018-12-18 18:01:07.069045', 'mgs': 0, 'flw2': 0.63, 'flw1': 0.0, 'flw0': 0.13, 'time': 6.89, 'compass': 10.78, 'pitch': 0.82, 'roll': 0.6}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.39, 'state': 'normal', 'rot1': 30, 'rot0': 27, 'rot3': 0, 'rot2': 0, 'depth': 0.775, 'yaw': 164.75, 'datetime': '2018-12-18 18:01:07.278896', 'mgs': 0, 'flw2': 0.54, 'flw1': 0.0, 'flw0': 0.26, 'time': 7.09, 'compass': 14.49, 'pitch': 0.9, 'roll': 0.54}
{'lipoC2': 0.13, 'temp': 0.0, 'lipoC3S3': 12.34, 'state': 'normal', 'rot1': 31, 'rot0': 28, 'rot3': 0, 'rot2': 0, 'depth': -1.666, 'yaw': 167.45, 'datetime': '2018-12-18 18:01:07.486675', 'mgs': 0, 'flw2': 0.39, 'flw1': 0.44, 'flw0': 0.33, 'time': 7.3, 'compass': 17.2, 'pitch': 1.15, 'roll': 0.53}
{'lipoC2': 0.17, 'temp': 0.0, 'lipoC3S3': 12.23, 'state': 'normal', 'rot1': 32, 'rot0': 29, 'rot3': 0, 'rot2': 0, 'depth': -0.446, 'yaw': 169.27, 'datetime': '2018-12-18 18:01:07.696435', 'mgs': 0, 'flw2': 0.31, 'flw1': 0.0, 'flw0': 0.12, 'time': 7.51, 'compass': 19.02, 'pitch': 1.26, 'roll': 0.69}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.54, 'state': 'normal', 'rot1': 33, 'rot0': 30, 'rot3': 0, 'rot2': 0, 'depth': 1.691, 'yaw': 170.43, 'datetime': '2018-12-18 18:01:07.905495', 'mgs': 0, 'flw2': 0.49, 'flw1': 0.0, 'flw0': 0.02, 'time': 7.72, 'compass': 20.17, 'pitch': 1.28, 'roll': 0.87}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.23, 'state': 'normal', 'rot1': 34, 'rot0': 31, 'rot3': 0, 'rot2': 0, 'depth': 1.233, 'yaw': 170.85, 'datetime': '2018-12-18 18:01:08.113292', 'mgs': 0, 'flw2': 0.49, 'flw1': 0.15, 'flw0': 0.11, 'time': 7.93, 'compass': 20.6, 'pitch': 1.29, 'roll': 0.94}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.37, 'state': 'normal', 'rot1': 35, 'rot0': 32, 'rot3': 0, 'rot2': 0, 'depth': 0.546, 'yaw': 170.61, 'datetime': '2018-12-18 18:01:08.321878', 'mgs': 0, 'flw2': 0.43, 'flw1': 0.0, 'flw0': 0.44, 'time': 8.14, 'compass': 20.35, 'pitch': 1.29, 'roll': 0.92}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.37, 'state': 'normal', 'rot1': 36, 'rot0': 33, 'rot3': 0, 'rot2': 0, 'depth': 0.775, 'yaw': 169.84, 'datetime': '2018-12-18 18:01:08.531751', 'mgs': 0, 'flw2': 0.45, 'flw1': 0.0, 'flw0': 0.43, 'time': 8.35, 'compass': 19.58, 'pitch': 1.27, 'roll': 0.79}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.55, 'state': 'normal', 'rot1': 37, 'rot0': 34, 'rot3': 0, 'rot2': 0, 'depth': 1.691, 'yaw': 168.53, 'datetime': '2018-12-18 18:01:08.740855', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.15, 'flw0': 0.59, 'time': 8.56, 'compass': 18.28, 'pitch': 1.26, 'roll': 0.76}
{'lipoC2': 0.1, 'temp': 0.0, 'lipoC3S3': 12.35, 'state': 'normal', 'rot1': 38, 'rot0': 35, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': 166.74, 'datetime': '2018-12-18 18:01:08.952614', 'mgs': 0, 'flw2': 0.43, 'flw1': 0.0, 'flw0': 0.49, 'time': 8.77, 'compass': 16.49, 'pitch': 1.23, 'roll': 0.8}
{'lipoC2': 0.1, 'temp': 0.0, 'lipoC3S3': 12.35, 'state': 'normal', 'rot1': 39, 'rot0': 36, 'rot3': 0, 'rot2': 0, 'depth': -2.048, 'yaw': 164.54, 'datetime': '2018-12-18 18:01:09.164165', 'mgs': 0, 'flw2': 0.4, 'flw1': 0.41, 'flw0': 0.33, 'time': 8.98, 'compass': 14.29, 'pitch': 1.2, 'roll': 0.89}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.19, 'state': 'normal', 'rot1': 40, 'rot0': 37, 'rot3': 0, 'rot2': 0, 'depth': -0.598, 'yaw': 161.92, 'datetime': '2018-12-18 18:01:09.370609', 'mgs': 0, 'flw2': 0.31, 'flw1': 0.0, 'flw0': 0.57, 'time': 9.18, 'compass': 11.67, 'pitch': 1.16, 'roll': 0.95}
