{'lipoC2': 0.16, 'temp': 0.0, 'lipoC3S3': 11.83, 'state': 'normal', 'rot1': 20, 'rot0': 20, 'rot3': 0, 'rot2': 0, 'depth': -0.827, 'yaw': 79.46, 'datetime': '2018-12-18 20:59:29.222898', 'mgs': 0, 'flw2': 0.34, 'flw1': 0.47, 'flw0': 0.38, 'time': 4.38, 'compass': -68.38, 'pitch': -2.12, 'roll': -0.88}
{'lipoC2': 0.08, 'temp': 0.0, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 21, 'rot0': 21, 'rot3': 0, 'rot2': 0, 'depth': 0.089, 'yaw': 86.64, 'datetime': '2018-12-18 20:59:29.432046', 'mgs': 0, 'flw2': 0.44, 'flw1': 0.26, 'flw0': 0.13, 'time': 4.59, 'compass': -61.19, 'pitch': -2.35, 'roll': -0.59}
{'lipoC2': 0.08, 'temp': 0.0, 'lipoC3S3': 11.92, 'state': 'normal', 'rot1': 22, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': -2.124, 'yaw': 93.11, 'datetime': '2018-12-18 20:59:29.643183', 'mgs': 0, 'flw2': 0.55, 'flw1': 0.0, 'flw0': 0.2, 'time': 4.8, 'compass': -54.72, 'pitch': -2.67, 'roll': -0.31}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.08, 'state': 'normal', 'rot1': 23, 'rot0': 28, 'rot3': 0, 'rot2': 0, 'depth': 1.538, 'yaw': 99.75, 'datetime': '2018-12-18 20:59:29.851178', 'mgs': 0, 'flw2': 0.49, 'flw1': 0.15, 'flw0': 0.09, 'time': 5.01, 'compass': -48.09, 'pitch': -3.08, 'roll': -0.04}
{'lipoC2': 0.14, 'temp': 0.0, 'lipoC3S3': 11.72, 'state': 'normal', 'rot1': 24, 'rot0': 29, 'rot3': 0, 'rot2': 0, 'depth': 0.165, 'yaw': 106.29, 'datetime': '2018-12-18 20:59:30.064046', 'mgs': 0, 'flw2': 0.43, 'flw1': 0.32, 'flw0': 0.2, 'time': 5.22, 'compass': -41.55, 'pitch': -3.46, 'roll': 0.32}
{'lipoC2': 0.05, 'temp': 0.0, 'lipoC3S3': 11.94, 'state': 'normal', 'rot1': 24, 'rot0': 30, 'rot3': 0, 'rot2': 0, 'depth': -2.124, 'yaw': 112.75, 'datetime': '2018-12-18 20:59:30.267724', 'mgs': 0, 'flw2': 0.06, 'flw1': 0.15, 'flw0': 0.55, 'time': 5.43, 'compass': -35.09, 'pitch': -3.56, 'roll': 0.76}
{'lipoC2': 0.17, 'temp': 0.0, 'lipoC3S3': 11.84, 'state': 'normal', 'rot1': 25, 'rot0': 31, 'rot3': 0, 'rot2': 0, 'depth': -0.98, 'yaw': 118.83, 'datetime': '2018-12-18 20:59:30.477694', 'mgs': 0, 'flw2': 0.23, 'flw1': 0.5, 'flw0': 0.33, 'time': 5.64, 'compass': -29.01, 'pitch': -3.33, 'roll': 1.15}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.85, 'state': 'normal', 'rot1': 26, 'rot0': 36, 'rot3': 0, 'rot2': 0, 'depth': 0.851, 'yaw': 125.18, 'datetime': '2018-12-18 20:59:30.686643', 'mgs': 0, 'flw2': 0.4, 'flw1': 0.0, 'flw0': 0.46, 'time': 5.84, 'compass': -22.66, 'pitch': -3.14, 'roll': 1.51}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.71, 'state': 'normal', 'rot1': 27, 'rot0': 42, 'rot3': 0, 'rot2': 0, 'depth': -1.819, 'yaw': 131.47, 'datetime': '2018-12-18 20:59:30.898120', 'mgs': 0, 'flw2': 0.4, 'flw1': 0.38, 'flw0': 0.22, 'time': 6.05, 'compass': -16.37, 'pitch': -3.12, 'roll': 1.86}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.9, 'state': 'normal', 'rot1': 28, 'rot0': 44, 'rot3': 0, 'rot2': 0, 'depth': -0.369, 'yaw': 137.75, 'datetime': '2018-12-18 20:59:31.109858', 'mgs': 0, 'flw2': 0.57, 'flw1': 0.0, 'flw0': 0.15, 'time': 6.26, 'compass': -10.08, 'pitch': -3.01, 'roll': 2.19}
