{'lipoC2': 8.3, 'temp': 0.0, 'lipoC3S3': 12.26, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': -3.72, 'datetime': '2018-12-12 10:35:02.990023', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.28, 'time': 4.69, 'compass': -145.12, 'pitch': -0.9, 'roll': 3.74}
{'lipoC2': 8.25, 'temp': 0.0, 'lipoC3S3': 12.19, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 2.225, 'yaw': -3.99, 'datetime': '2018-12-12 10:35:03.198464', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.67, 'flw0': 0.0, 'time': 4.9, 'compass': -145.4, 'pitch': -0.95, 'roll': 3.77}
{'lipoC2': 8.23, 'temp': 0.0, 'lipoC3S3': 12.31, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.056, 'yaw': -4.26, 'datetime': '2018-12-12 10:35:03.408023', 'mgs': 0, 'flw2': 0.29, 'flw1': 0.0, 'flw0': 0.0, 'time': 5.11, 'compass': -145.66, 'pitch': -0.82, 'roll': 3.76}
{'lipoC2': 8.13, 'temp': 0.0, 'lipoC3S3': 12.45, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 2.53, 'yaw': -4.49, 'datetime': '2018-12-12 10:35:03.615591', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.29, 'flw0': 0.0, 'time': 5.31, 'compass': -145.9, 'pitch': -0.76, 'roll': 3.77}
{'lipoC2': 8.16, 'temp': 0.0, 'lipoC3S3': 12.16, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 2.53, 'yaw': -4.71, 'datetime': '2018-12-12 10:35:03.825127', 'mgs': 0, 'flw2': 0.12, 'flw1': 0.0, 'flw0': 0.0, 'time': 5.52, 'compass': -146.12, 'pitch': -1.0, 'roll': 3.76}
{'lipoC2': 8.24, 'temp': 0.0, 'lipoC3S3': 12.33, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.056, 'yaw': -4.92, 'datetime': '2018-12-12 10:35:04.033039', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.21, 'time': 5.73, 'compass': -146.32, 'pitch': -1.35, 'roll': 3.62}
{'lipoC2': 8.23, 'temp': 0.0, 'lipoC3S3': 12.33, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.98, 'yaw': -5.16, 'datetime': '2018-12-12 10:35:04.241342', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.17, 'time': 5.94, 'compass': -146.57, 'pitch': -1.29, 'roll': 3.29}
{'lipoC2': 8.38, 'temp': 0.0, 'lipoC3S3': 12.23, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.598, 'yaw': -5.41, 'datetime': '2018-12-12 10:35:04.448683', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.28, 'time': 6.14, 'compass': -146.82, 'pitch': -0.85, 'roll': 3.16}
{'lipoC2': 8.12, 'temp': 0.0, 'lipoC3S3': 12.1, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.064, 'yaw': -5.61, 'datetime': '2018-12-12 10:35:04.658160', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.62, 'flw0': 0.0, 'time': 6.35, 'compass': -147.02, 'pitch': -0.65, 'roll': 3.16}
{'lipoC2': 8.33, 'temp': 0.0, 'lipoC3S3': 12.25, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.538, 'yaw': -5.8, 'datetime': '2018-12-12 10:35:04.868489', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.03, 'flw0': 0.0, 'time': 6.56, 'compass': -147.21, 'pitch': -0.84, 'roll': 3.16}
{'lipoC2': 8.39, 'temp': 0.0, 'lipoC3S3': 12.23, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.241, 'yaw': -6.01, 'datetime': '2018-12-12 10:35:05.076716', 'mgs': 0, 'flw2': 0.05, 'flw1': 0.0, 'flw0': 0.24, 'time': 6.77, 'compass': -147.41, 'pitch': -1.19, 'roll': 3.15}
{'lipoC2': 8.14, 'temp': 0.0, 'lipoC3S3': 12.09, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.064, 'yaw': -6.21, 'datetime': '2018-12-12 10:35:05.284980', 'mgs': 0, 'flw2': 0.29, 'flw1': 0.0, 'flw0': 0.0, 'time': 6.98, 'compass': -147.62, 'pitch': -1.29, 'roll': 3.32}
{'lipoC2': 8.15, 'temp': 0.0, 'lipoC3S3': 12.38, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.827, 'yaw': -6.46, 'datetime': '2018-12-12 10:35:05.492038', 'mgs': 0, 'flw2': 0.26, 'flw1': 0.0, 'flw0': 0.0, 'time': 7.19, 'compass': -147.87, 'pitch': -1.22, 'roll': 3.47}
{'lipoC2': 8.21, 'temp': 0.0, 'lipoC3S3': 12.16, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 2.454, 'yaw': -6.69, 'datetime': '2018-12-12 10:35:05.701648', 'mgs': 0, 'flw2': 0.26, 'flw1': 0.0, 'flw0': 0.0, 'time': 7.39, 'compass': -148.1, 'pitch': -1.13, 'roll': 3.47}
{'lipoC2': 8.12, 'temp': 0.0, 'lipoC3S3': 12.39, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.293, 'yaw': -6.87, 'datetime': '2018-12-12 10:35:05.910291', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.32, 'time': 7.6, 'compass': -148.28, 'pitch': -1.19, 'roll': 3.5}
