{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.41, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.462, 'yaw': 0.0, 'datetime': '2018-12-18 18:04:04.384040', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.41, 'flw0': 0.0, 'time': 1.25, 'compass': 164.07, 'pitch': -0.02, 'roll': 3.16}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.38, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.004, 'yaw': 0.25, 'datetime': '2018-12-18 18:04:04.596544', 'mgs': 0, 'flw2': 0.11, 'flw1': 0.0, 'flw0': 0.05, 'time': 1.46, 'compass': 164.32, 'pitch': -0.08, 'roll': 3.37}
{'lipoC2': 0.11, 'temp': 0.0, 'lipoC3S3': 12.34, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.743, 'yaw': 0.51, 'datetime': '2018-12-18 18:04:04.803813', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.41, 'flw0': 0.0, 'time': 1.67, 'compass': 164.58, 'pitch': -0.26, 'roll': 3.46}
{'lipoC2': 0.16, 'temp': 0.0, 'lipoC3S3': 12.18, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.446, 'yaw': 0.76, 'datetime': '2018-12-18 18:04:05.012420', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.21, 'time': 1.88, 'compass': 164.83, 'pitch': -0.21, 'roll': 3.46}
{'lipoC2': 0.05, 'temp': 0.0, 'lipoC3S3': 12.16, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.538, 'yaw': 1.02, 'datetime': '2018-12-18 18:04:05.214531', 'mgs': 0, 'flw2': 1.34, 'flw1': 0.0, 'flw0': 1.22, 'time': 2.09, 'compass': 165.08, 'pitch': 0.1, 'roll': 3.46}
{'lipoC2': 0.15, 'temp': 0.0, 'lipoC3S3': 12.1, 'state': 'normal', 'rot1': 3, 'rot0': 2, 'rot3': 0, 'rot2': 0, 'depth': 0.775, 'yaw': 1.14, 'datetime': '2018-12-18 18:04:05.420652', 'mgs': 0, 'flw2': 2.0, 'flw1': 0.29, 'flw0': 2.78, 'time': 2.3, 'compass': 165.21, 'pitch': 0.37, 'roll': 3.33}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.46, 'state': 'normal', 'rot1': 6, 'rot0': 5, 'rot3': 0, 'rot2': 0, 'depth': 2.301, 'yaw': -3.07, 'datetime': '2018-12-18 18:04:05.628419', 'mgs': 0, 'flw2': 2.25, 'flw1': 0.47, 'flw0': 2.53, 'time': 2.5, 'compass': 161.0, 'pitch': 0.6, 'roll': 2.33}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.58, 'state': 'normal', 'rot1': 8, 'rot0': 7, 'rot3': 0, 'rot2': 0, 'depth': 2.072, 'yaw': -10.78, 'datetime': '2018-12-18 18:04:05.835164', 'mgs': 0, 'flw2': 2.1, 'flw1': 0.62, 'flw0': 2.44, 'time': 2.71, 'compass': 153.28, 'pitch': 0.54, 'roll': 1.37}
{'lipoC2': 0.06, 'temp': 0.0, 'lipoC3S3': 12.12, 'state': 'normal', 'rot1': 10, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'depth': 0.699, 'yaw': -20.18, 'datetime': '2018-12-18 18:04:06.052585', 'mgs': 0, 'flw2': 1.65, 'flw1': 0.26, 'flw0': 2.09, 'time': 2.92, 'compass': 143.88, 'pitch': 0.18, 'roll': 1.16}
{'lipoC2': 0.14, 'temp': 0.0, 'lipoC3S3': 12.29, 'state': 'normal', 'rot1': 13, 'rot0': 12, 'rot3': 0, 'rot2': 0, 'depth': -0.674, 'yaw': -30.92, 'datetime': '2018-12-18 18:04:06.261877', 'mgs': 0, 'flw2': 1.87, 'flw1': 0.5, 'flw0': 1.82, 'time': 3.13, 'compass': 133.14, 'pitch': -0.32, 'roll': 1.56}
{'lipoC2': 0.06, 'temp': 0.0, 'lipoC3S3': 12.13, 'state': 'normal', 'rot1': 15, 'rot0': 14, 'rot3': 0, 'rot2': 0, 'depth': 1.385, 'yaw': -41.89, 'datetime': '2018-12-18 18:04:06.470816', 'mgs': 0, 'flw2': 1.18, 'flw1': 0.03, 'flw0': 1.81, 'time': 3.34, 'compass': 122.17, 'pitch': -0.68, 'roll': 2.13}
