{'lipoC2': 7.27, 'temp': 0.0, 'lipoC3S3': 11.1, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 3.86, 'datetime': '2018-12-12 14:38:45.228258', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.23, 'flw0': 4.47, 'time': 4.68, 'compass': 2.86, 'pitch': -2.95, 'roll': 0.15}
{'lipoC2': 7.18, 'temp': 0.0, 'lipoC3S3': 11.11, 'state': 'normal', 'rot1': 3, 'rot0': 1, 'rot3': 0, 'rot2': 0, 'depth': -0.446, 'yaw': 1.99, 'datetime': '2018-12-12 14:38:45.439855', 'mgs': 0, 'flw2': 5.2, 'flw1': 0.0, 'flw0': 7.25, 'time': 4.89, 'compass': 0.99, 'pitch': -0.25, 'roll': -1.08}
{'lipoC2': 7.13, 'temp': 0.0, 'lipoC3S3': 11.07, 'state': 'normal', 'rot1': 6, 'rot0': 4, 'rot3': 0, 'rot2': 0, 'depth': 2.53, 'yaw': -3.84, 'datetime': '2018-12-12 14:38:45.644022', 'mgs': 0, 'flw2': 6.54, 'flw1': 0.44, 'flw0': 6.75, 'time': 5.1, 'compass': -4.85, 'pitch': 1.76, 'roll': -4.23}
{'lipoC2': 7.24, 'temp': 0.0, 'lipoC3S3': 10.85, 'state': 'normal', 'rot1': 10, 'rot0': 7, 'rot3': 0, 'rot2': 0, 'depth': -0.064, 'yaw': -13.39, 'datetime': '2018-12-12 14:38:45.855582', 'mgs': 0, 'flw2': 6.4, 'flw1': 0.44, 'flw0': 6.91, 'time': 5.3, 'compass': -14.4, 'pitch': 1.8, 'roll': -8.1}
{'lipoC2': 7.15, 'temp': 0.0, 'lipoC3S3': 11.11, 'state': 'normal', 'rot1': 13, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'depth': -0.522, 'yaw': -27.37, 'datetime': '2018-12-12 14:38:46.062341', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.62, 'flw0': 6.88, 'time': 5.51, 'compass': -28.38, 'pitch': 1.92, 'roll': -9.19}
{'lipoC2': 7.47, 'temp': 0.0, 'lipoC3S3': 11.13, 'state': 'normal', 'rot1': 17, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'depth': -0.98, 'yaw': -42.37, 'datetime': '2018-12-12 14:38:46.270732', 'mgs': 0, 'flw2': 0.31, 'flw1': 0.0, 'flw0': 6.81, 'time': 5.72, 'compass': -43.38, 'pitch': 3.24, 'roll': -6.89}
{'lipoC2': 7.25, 'temp': 0.0, 'lipoC3S3': 10.98, 'state': 'normal', 'rot1': 20, 'rot0': 12, 'rot3': 0, 'rot2': 0, 'depth': 1.08, 'yaw': -55.18, 'datetime': '2018-12-12 14:38:46.484009', 'mgs': 0, 'flw2': 5.83, 'flw1': 0.0, 'flw0': 6.87, 'time': 5.93, 'compass': -56.19, 'pitch': 2.51, 'roll': -2.51}
{'lipoC2': 7.46, 'temp': 0.0, 'lipoC3S3': 10.92, 'state': 'normal', 'rot1': 24, 'rot0': 15, 'rot3': 0, 'rot2': 0, 'depth': -1.514, 'yaw': -63.75, 'datetime': '2018-12-12 14:38:46.688481', 'mgs': 0, 'flw2': 5.88, 'flw1': 0.0, 'flw0': 6.91, 'time': 6.14, 'compass': -64.76, 'pitch': 3.44, 'roll': 0.28}
{'lipoC2': 7.12, 'temp': 0.0, 'lipoC3S3': 10.92, 'state': 'normal', 'rot1': 27, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': -0.064, 'yaw': -71.32, 'datetime': '2018-12-12 14:38:46.897485', 'mgs': 0, 'flw2': 5.99, 'flw1': 0.09, 'flw0': 6.84, 'time': 6.35, 'compass': -72.33, 'pitch': 5.57, 'roll': 0.56}
{'lipoC2': 7.13, 'temp': 0.0, 'lipoC3S3': 11.02, 'state': 'normal', 'rot1': 31, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': 2.072, 'yaw': -78.01, 'datetime': '2018-12-12 14:38:47.106487', 'mgs': 0, 'flw2': 5.62, 'flw1': 0.0, 'flw0': 6.91, 'time': 6.56, 'compass': -79.02, 'pitch': 5.93, 'roll': -0.91}
{'lipoC2': 7.12, 'temp': 0.0, 'lipoC3S3': 11.1, 'state': 'normal', 'rot1': 34, 'rot0': 26, 'rot3': 0, 'rot2': 0, 'depth': 1.309, 'yaw': -83.18, 'datetime': '2018-12-12 14:38:47.314458', 'mgs': 0, 'flw2': 5.8, 'flw1': 0.0, 'flw0': 6.51, 'time': 6.77, 'compass': -84.19, 'pitch': 5.45, 'roll': -2.78}
{'lipoC2': 7.26, 'temp': 0.0, 'lipoC3S3': 10.9, 'state': 'normal', 'rot1': 37, 'rot0': 29, 'rot3': 0, 'rot2': 0, 'depth': -0.98, 'yaw': -86.68, 'datetime': '2018-12-12 14:38:47.525673', 'mgs': 0, 'flw2': 5.83, 'flw1': 0.0, 'flw0': 6.88, 'time': 6.97, 'compass': -87.69, 'pitch': 5.09, 'roll': -3.7}
{'lipoC2': 7.12, 'temp': 0.0, 'lipoC3S3': 11.29, 'state': 'normal', 'rot1': 40, 'rot0': 32, 'rot3': 0, 'rot2': 0, 'depth': -0.293, 'yaw': -88.93, 'datetime': '2018-12-12 14:38:47.734923', 'mgs': 0, 'flw2': 6.2, 'flw1': 0.0, 'flw0': 6.75, 'time': 7.18, 'compass': -89.94, 'pitch': 4.93, 'roll': -3.83}
{'lipoC2': 7.38, 'temp': 0.0, 'lipoC3S3': 10.89, 'state': 'normal', 'rot1': 44, 'rot0': 35, 'rot3': 0, 'rot2': 0, 'depth': -0.293, 'yaw': -90.99, 'datetime': '2018-12-12 14:38:47.942968', 'mgs': 0, 'flw2': 5.86, 'flw1': 0.0, 'flw0': 6.76, 'time': 7.39, 'compass': -92.0, 'pitch': 5.0, 'roll': -3.58}
{'lipoC2': 7.41, 'temp': 0.0, 'lipoC3S3': 11.29, 'state': 'normal', 'rot1': 48, 'rot0': 38, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -93.55, 'datetime': '2018-12-12 14:38:48.160689', 'mgs': 0, 'flw2': 5.58, 'flw1': 0.0, 'flw0': 6.45, 'time': 7.6, 'compass': -94.55, 'pitch': 5.06, 'roll': -3.06}
{'lipoC2': 7.11, 'temp': 0.0, 'lipoC3S3': 11.26, 'state': 'normal', 'rot1': 54, 'rot0': 43, 'rot3': 0, 'rot2': 0, 'depth': -0.98, 'yaw': -97.83, 'datetime': '2018-12-12 14:38:48.475105', 'mgs': 0, 'flw2': 5.81, 'flw1': 0.0, 'flw0': 6.97, 'time': 7.91, 'compass': -98.83, 'pitch': 4.97, 'roll': -2.56}
{'lipoC2': 7.49, 'temp': 0.0, 'lipoC3S3': 11.01, 'state': 'normal', 'rot1': 57, 'rot0': 48, 'rot3': 0, 'rot2': 0, 'depth': -0.293, 'yaw': -101.78, 'datetime': '2018-12-12 14:38:48.782086', 'mgs': 0, 'flw2': 5.68, 'flw1': 0.0, 'flw0': 0.0, 'time': 8.23, 'compass': -102.78, 'pitch': 4.47, 'roll': -2.92}
