{'lipoC2': 0.14, 'temp': 0.0, 'lipoC3S3': 11.77, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.317, 'yaw': 10.84, 'datetime': '2018-12-18 20:46:18.681907', 'mgs': 0, 'flw2': 0.11, 'flw1': 0.0, 'flw0': 0.1, 'time': 4.37, 'compass': 4.57, 'pitch': 0.97, 'roll': -1.0}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.98, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.699, 'yaw': 11.53, 'datetime': '2018-12-18 20:46:18.888192', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.18, 'flw0': 0.15, 'time': 4.58, 'compass': 5.26, 'pitch': 0.5, 'roll': -0.92}
{'lipoC2': 0.12, 'temp': 0.0, 'lipoC3S3': 11.89, 'state': 'normal', 'rot1': 1, 'rot0': 1, 'rot3': 0, 'rot2': 0, 'depth': -1.59, 'yaw': 11.83, 'datetime': '2018-12-18 20:46:19.101252', 'mgs': 0, 'flw2': 2.34, 'flw1': 0.0, 'flw0': 2.73, 'time': 4.79, 'compass': 5.56, 'pitch': 0.4, 'roll': -0.9}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.12, 'state': 'normal', 'rot1': 3, 'rot0': 5, 'rot3': 0, 'rot2': 0, 'depth': 1.691, 'yaw': 8.36, 'datetime': '2018-12-18 20:46:19.307437', 'mgs': 0, 'flw2': 2.75, 'flw1': 0.18, 'flw0': 2.67, 'time': 4.99, 'compass': 2.09, 'pitch': 1.53, 'roll': -1.69}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.08, 'state': 'normal', 'rot1': 6, 'rot0': 7, 'rot3': 0, 'rot2': 0, 'depth': 1.614, 'yaw': 0.81, 'datetime': '2018-12-18 20:46:19.514153', 'mgs': 0, 'flw2': 2.77, 'flw1': 0.15, 'flw0': 2.64, 'time': 5.2, 'compass': -5.46, 'pitch': 2.55, 'roll': -2.67}
{'lipoC2': 0.1, 'temp': 0.0, 'lipoC3S3': 11.67, 'state': 'normal', 'rot1': 8, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'depth': 0.165, 'yaw': -8.87, 'datetime': '2018-12-18 20:46:19.718958', 'mgs': 0, 'flw2': 0.24, 'flw1': 0.06, 'flw0': 2.23, 'time': 5.41, 'compass': -15.14, 'pitch': 2.65, 'roll': -3.08}
{'lipoC2': 0.16, 'temp': 0.0, 'lipoC3S3': 11.79, 'state': 'normal', 'rot1': 10, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'depth': 0.851, 'yaw': -19.52, 'datetime': '2018-12-18 20:46:19.926910', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.47, 'flw0': 0.0, 'time': 5.62, 'compass': -25.78, 'pitch': 2.78, 'roll': -2.67}
{'lipoC2': 0.04, 'temp': 0.0, 'lipoC3S3': 11.68, 'state': 'normal', 'rot1': 10, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'depth': 1.08, 'yaw': -28.37, 'datetime': '2018-12-18 20:46:20.137528', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.18, 'flw0': 0.18, 'time': 5.83, 'compass': -34.63, 'pitch': 2.42, 'roll': -1.1}
{'lipoC2': 0.13, 'temp': 0.0, 'lipoC3S3': 11.88, 'state': 'normal', 'rot1': 10, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'depth': -1.514, 'yaw': -35.49, 'datetime': '2018-12-18 20:46:20.351566', 'mgs': 0, 'flw2': 0.11, 'flw1': 0.0, 'flw0': 0.06, 'time': 6.04, 'compass': -41.76, 'pitch': 1.81, 'roll': 0.77}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.09, 'state': 'normal', 'rot1': 10, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'depth': 1.309, 'yaw': -41.3, 'datetime': '2018-12-18 20:46:20.559235', 'mgs': 0, 'flw2': 0.07, 'flw1': 0.38, 'flw0': 0.0, 'time': 6.24, 'compass': -47.57, 'pitch': 1.82, 'roll': 1.69}
