{'lipoC3S3': 0.0, 'datetime': '2019-03-01 09:21:12.276783', 'pitch': 4.36, 'rot1': 2, 'rot0': 4, 'rot3': 2, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 2.04, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -142.19, 'lipoC2': 0.0, 'temp': 24.62, 'thr3': 33.0, 'depth': 0.129, 'time': 4.93, 'thr2': 33.0, 'yaw': -0.0, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 09:21:12.599681', 'pitch': 4.36, 'rot1': 2, 'rot0': 4, 'rot3': 2, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 2.04, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -142.19, 'lipoC2': 0.0, 'temp': 24.63, 'thr3': 33.0, 'depth': 0.119, 'time': 5.25, 'thr2': 33.0, 'yaw': -0.0, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 09:21:12.920104', 'pitch': 4.36, 'rot1': 2, 'rot0': 4, 'rot3': 2, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 2.04, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -142.19, 'lipoC2': 0.0, 'temp': 24.63, 'thr3': 33.0, 'depth': 0.119, 'time': 5.57, 'thr2': 32.0, 'yaw': -0.0, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 09:21:13.241132', 'pitch': 4.36, 'rot1': 2, 'rot0': 4, 'rot3': 2, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 2.04, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -142.19, 'lipoC2': 0.0, 'temp': 24.63, 'thr3': 33.0, 'depth': 0.129, 'time': 5.89, 'thr2': 32.0, 'yaw': -0.0, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 09:21:13.559179', 'pitch': 4.36, 'rot1': 2, 'rot0': 4, 'rot3': 2, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 2.04, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -142.19, 'lipoC2': 0.0, 'temp': 24.63, 'thr3': 33.0, 'depth': 0.129, 'time': 6.21, 'thr2': 33.0, 'yaw': -0.0, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 09:21:13.881209', 'pitch': 4.29, 'rot1': 2, 'rot0': 4, 'rot3': 2, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 2.08, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -142.31, 'lipoC2': 0.0, 'temp': 24.63, 'thr3': 33.0, 'depth': 0.119, 'time': 6.53, 'thr2': 33.0, 'yaw': -0.12, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 09:21:14.203358', 'pitch': 3.53, 'rot1': 2, 'rot0': 4, 'rot3': 2, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 2.75, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -148.92, 'lipoC2': 0.0, 'temp': 24.63, 'thr3': 33.0, 'depth': 0.129, 'time': 6.86, 'thr2': 33.0, 'yaw': -6.73, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 09:21:14.524275', 'pitch': 3.92, 'rot1': 2, 'rot0': 4, 'rot3': 2, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 3.15, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -163.68, 'lipoC2': 0.0, 'temp': 24.63, 'thr3': 33.0, 'depth': 0.129, 'time': 7.18, 'thr2': 33.0, 'yaw': -21.49, 'thr0': 27.0, 'thr1': 28.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 09:21:14.845497', 'pitch': 4.29, 'rot1': 4, 'rot0': 7, 'rot3': 2, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 2.95, 'cur2': 0.4, 'cur0': 0.35, 'cur1': 0.0, 'mgs': 0, 'compass': -173.5, 'lipoC2': 0.0, 'temp': 24.63, 'thr3': 33.0, 'depth': 0.129, 'time': 7.5, 'thr2': 32.0, 'yaw': -31.31, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 09:21:15.168142', 'pitch': 4.2, 'rot1': 7, 'rot0': 11, 'rot3': 2, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 2.93, 'cur2': 0.38, 'cur0': 0.37, 'cur1': 0.0, 'mgs': 0, 'compass': -177.11, 'lipoC2': 0.0, 'temp': 24.63, 'thr3': 33.0, 'depth': 0.129, 'time': 7.82, 'thr2': 32.0, 'yaw': -34.92, 'thr0': 27.0, 'thr1': 27.0}
