{'lipoC2': 7.33, 'temp': 0.0, 'lipoC3S3': 11.36, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.598, 'yaw': 0.0, 'datetime': '2018-12-12 14:17:06.573691', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.38, 'flw0': 0.0, 'time': 1.26, 'compass': -28.14, 'pitch': -1.29, 'roll': 0.57}
{'lipoC2': 7.3, 'temp': 0.0, 'lipoC3S3': 11.38, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.674, 'yaw': 0.0, 'datetime': '2018-12-12 14:17:06.780986', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.29, 'flw0': 0.0, 'time': 1.46, 'compass': -28.14, 'pitch': -1.03, 'roll': 0.43}
{'lipoC2': 7.34, 'temp': 0.0, 'lipoC3S3': 11.52, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.309, 'yaw': 0.02, 'datetime': '2018-12-12 14:17:06.989023', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.56, 'flw0': 0.0, 'time': 1.67, 'compass': -28.12, 'pitch': -1.69, 'roll': 0.56}
{'lipoC2': 7.32, 'temp': 0.0, 'lipoC3S3': 11.63, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.598, 'yaw': 0.04, 'datetime': '2018-12-12 14:17:07.196159', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.09, 'time': 1.88, 'compass': -28.11, 'pitch': -2.5, 'roll': 0.79}
{'lipoC2': 7.27, 'temp': 0.0, 'lipoC3S3': 11.39, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.285, 'yaw': 0.04, 'datetime': '2018-12-12 14:17:07.405179', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.53, 'flw0': 0.0, 'time': 2.09, 'compass': -28.1, 'pitch': -2.39, 'roll': 0.77}
{'lipoC2': 7.36, 'temp': 0.0, 'lipoC3S3': 11.63, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.012, 'yaw': 0.04, 'datetime': '2018-12-12 14:17:07.612544', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.29, 'compass': -28.1, 'pitch': -1.64, 'roll': 0.46}
{'lipoC2': 7.35, 'temp': 0.0, 'lipoC3S3': 11.69, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.06, 'datetime': '2018-12-12 14:17:07.821725', 'mgs': 0, 'flw2': 0.26, 'flw1': 0.0, 'flw0': 0.12, 'time': 2.5, 'compass': -28.08, 'pitch': -1.25, 'roll': 0.09}
{'lipoC2': 7.35, 'temp': 0.0, 'lipoC3S3': 11.59, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.522, 'yaw': 0.06, 'datetime': '2018-12-12 14:17:08.026486', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.41, 'flw0': 0.0, 'time': 2.71, 'compass': -28.08, 'pitch': -1.48, 'roll': -0.15}
{'lipoC2': 7.33, 'temp': 0.0, 'lipoC3S3': 11.59, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.385, 'yaw': 0.05, 'datetime': '2018-12-12 14:17:08.235684', 'mgs': 0, 'flw2': 0.38, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.92, 'compass': -28.09, 'pitch': -1.94, 'roll': 0.06}
{'lipoC2': 7.3, 'temp': 0.0, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 1, 'rot3': 0, 'rot2': 0, 'depth': -0.446, 'yaw': 0.58, 'datetime': '2018-12-12 14:17:08.443465', 'mgs': 0, 'flw2': 1.62, 'flw1': 0.53, 'flw0': 1.22, 'time': 3.13, 'compass': -27.56, 'pitch': -1.96, 'roll': 0.69}
{'lipoC2': 7.35, 'temp': 0.0, 'lipoC3S3': 11.67, 'state': 'normal', 'rot1': 1, 'rot0': 3, 'rot3': 0, 'rot2': 0, 'depth': 2.148, 'yaw': 2.35, 'datetime': '2018-12-12 14:17:08.653511', 'mgs': 0, 'flw2': 1.37, 'flw1': 0.0, 'flw0': 0.59, 'time': 3.33, 'compass': -25.79, 'pitch': -0.38, 'roll': 1.11}
