{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:45:58.425589', 'pitch': 1.13, 'rot1': 83, 'rot0': 52, 'rot3': 13, 'rot2': 17, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.35, 'cur2': 0.94, 'cur0': 0.84, 'cur1': 0.94, 'mgs': 0, 'compass': 3.98, 'lipoC2': 0.0, 'temp': 24.67, 'thr3': 36.0, 'depth': 0.129, 'time': 5.09, 'thr2': 31.0, 'yaw': 0.0, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:45:58.747404', 'pitch': 1.13, 'rot1': 92, 'rot0': 55, 'rot3': 14, 'rot2': 18, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.35, 'cur2': 0.96, 'cur0': 0.84, 'cur1': 1.0, 'mgs': 0, 'compass': 3.98, 'lipoC2': 0.0, 'temp': 24.66, 'thr3': 35.0, 'depth': 0.129, 'time': 5.41, 'thr2': 31.0, 'yaw': 0.0, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:45:59.069309', 'pitch': 1.13, 'rot1': 98, 'rot0': 60, 'rot3': 15, 'rot2': 19, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.35, 'cur2': 0.94, 'cur0': 0.84, 'cur1': 1.03, 'mgs': 0, 'compass': 3.98, 'lipoC2': 0.0, 'temp': 24.66, 'thr3': 35.0, 'depth': 0.119, 'time': 5.73, 'thr2': 31.0, 'yaw': 0.0, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:45:59.392013', 'pitch': 1.13, 'rot1': 107, 'rot0': 63, 'rot3': 16, 'rot2': 20, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.35, 'cur2': 0.95, 'cur0': 0.9, 'cur1': 1.0, 'mgs': 0, 'compass': 3.98, 'lipoC2': 0.0, 'temp': 24.67, 'thr3': 36.0, 'depth': 0.129, 'time': 6.05, 'thr2': 31.0, 'yaw': 0.0, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:45:59.711451', 'pitch': 1.13, 'rot1': 119, 'rot0': 67, 'rot3': 17, 'rot2': 21, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.35, 'cur2': 0.94, 'cur0': 0.84, 'cur1': 0.94, 'mgs': 0, 'compass': 3.98, 'lipoC2': 0.0, 'temp': 24.67, 'thr3': 34.0, 'depth': 0.119, 'time': 6.38, 'thr2': 30.0, 'yaw': 0.0, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:46:00.031834', 'pitch': 1.13, 'rot1': 129, 'rot0': 71, 'rot3': 17, 'rot2': 22, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.35, 'cur2': 0.99, 'cur0': 0.84, 'cur1': 0.91, 'mgs': 0, 'compass': 3.98, 'lipoC2': 0.0, 'temp': 24.67, 'thr3': 35.0, 'depth': 0.119, 'time': 6.7, 'thr2': 31.0, 'yaw': 0.0, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:46:00.362145', 'pitch': 1.13, 'rot1': 141, 'rot0': 76, 'rot3': 18, 'rot2': 23, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.35, 'cur2': 0.96, 'cur0': 0.84, 'cur1': 1.05, 'mgs': 0, 'compass': 3.98, 'lipoC2': 0.0, 'temp': 24.66, 'thr3': 35.0, 'depth': 0.129, 'time': 7.02, 'thr2': 31.0, 'yaw': 0.0, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:46:00.688834', 'pitch': 1.13, 'rot1': 152, 'rot0': 81, 'rot3': 19, 'rot2': 24, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.35, 'cur2': 0.93, 'cur0': 0.88, 'cur1': 0.97, 'mgs': 0, 'compass': 3.98, 'lipoC2': 0.0, 'temp': 24.67, 'thr3': 36.0, 'depth': 0.119, 'time': 7.34, 'thr2': 32.0, 'yaw': 0.0, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:46:01.006768', 'pitch': 1.13, 'rot1': 163, 'rot0': 87, 'rot3': 20, 'rot2': 25, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.35, 'cur2': 0.9, 'cur0': 0.88, 'cur1': 0.94, 'mgs': 0, 'compass': 3.98, 'lipoC2': 0.0, 'temp': 24.67, 'thr3': 35.0, 'depth': 0.129, 'time': 7.66, 'thr2': 31.0, 'yaw': 0.0, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:46:01.329092', 'pitch': 1.13, 'rot1': 170, 'rot0': 91, 'rot3': 21, 'rot2': 26, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.35, 'cur2': 0.99, 'cur0': 0.82, 'cur1': 0.91, 'mgs': 0, 'compass': 3.98, 'lipoC2': 0.0, 'temp': 24.67, 'thr3': 35.0, 'depth': 0.129, 'time': 7.98, 'thr2': 31.0, 'yaw': 0.0, 'thr0': 27.0, 'thr1': 27.0}
