{'lipoC2': 0.04, 'temp': 0.0, 'lipoC3S3': 11.67, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.012, 'yaw': 0.06, 'datetime': '2018-12-18 21:01:38.568449', 'mgs': 0, 'flw2': 0.16, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.26, 'compass': -160.89, 'pitch': -2.77, 'roll': -1.04}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.08, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.691, 'yaw': 1.27, 'datetime': '2018-12-18 21:01:38.779897', 'mgs': 0, 'flw2': 0.15, 'flw1': 0.18, 'flw0': 0.0, 'time': 1.47, 'compass': -159.68, 'pitch': -2.17, 'roll': -0.95}
{'lipoC2': 0.02, 'temp': 0.0, 'lipoC3S3': 11.67, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.157, 'yaw': 2.42, 'datetime': '2018-12-18 21:01:38.985793', 'mgs': 0, 'flw2': 0.12, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.67, 'compass': -158.53, 'pitch': -2.19, 'roll': -1.13}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.88, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.064, 'yaw': 3.6, 'datetime': '2018-12-18 21:01:39.191812', 'mgs': 0, 'flw2': 0.21, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.88, 'compass': -157.35, 'pitch': -2.93, 'roll': -1.39}
{'lipoC2': 0.02, 'temp': 0.0, 'lipoC3S3': 11.71, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.691, 'yaw': 4.68, 'datetime': '2018-12-18 21:01:39.398502', 'mgs': 0, 'flw2': 4.27, 'flw1': 0.0, 'flw0': 3.93, 'time': 2.09, 'compass': -156.27, 'pitch': -3.29, 'roll': -1.45}
{'lipoC2': 0.21, 'temp': 0.0, 'lipoC3S3': 11.76, 'state': 'normal', 'rot1': 2, 'rot0': 1, 'rot3': 0, 'rot2': 0, 'depth': -0.598, 'yaw': 6.04, 'datetime': '2018-12-18 21:01:39.606653', 'mgs': 0, 'flw2': 2.01, 'flw1': 0.09, 'flw0': 1.71, 'time': 2.3, 'compass': -154.91, 'pitch': -2.74, 'roll': -1.38}
{'lipoC2': 0.17, 'temp': 0.0, 'lipoC3S3': 11.72, 'state': 'normal', 'rot1': 5, 'rot0': 3, 'rot3': 0, 'rot2': 0, 'depth': -0.446, 'yaw': 11.04, 'datetime': '2018-12-18 21:01:39.815827', 'mgs': 0, 'flw2': 1.9, 'flw1': 0.0, 'flw0': 2.17, 'time': 2.5, 'compass': -149.91, 'pitch': -2.05, 'roll': -0.39}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.08, 'state': 'normal', 'rot1': 7, 'rot0': 6, 'rot3': 0, 'rot2': 0, 'depth': 1.614, 'yaw': 18.96, 'datetime': '2018-12-18 21:01:40.024236', 'mgs': 0, 'flw2': 1.88, 'flw1': 0.0, 'flw0': 1.55, 'time': 2.71, 'compass': -141.99, 'pitch': -2.3, 'roll': 1.04}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.08, 'state': 'normal', 'rot1': 9, 'rot0': 8, 'rot3': 0, 'rot2': 0, 'depth': 1.691, 'yaw': 28.02, 'datetime': '2018-12-18 21:01:40.238864', 'mgs': 0, 'flw2': 1.61, 'flw1': 0.0, 'flw0': 1.27, 'time': 2.92, 'compass': -132.93, 'pitch': -2.96, 'roll': 2.07}
{'lipoC2': 0.08, 'temp': 0.0, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 11, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'depth': 0.012, 'yaw': 38.2, 'datetime': '2018-12-18 21:01:40.445022', 'mgs': 0, 'flw2': 1.03, 'flw1': 0.12, 'flw0': 1.6, 'time': 3.13, 'compass': -122.76, 'pitch': -3.27, 'roll': 2.44}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.88, 'state': 'normal', 'rot1': 13, 'rot0': 11, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 48.63, 'datetime': '2018-12-18 21:01:40.654349', 'mgs': 0, 'flw2': 1.29, 'flw1': 0.0, 'flw0': 1.2, 'time': 3.34, 'compass': -112.33, 'pitch': -3.12, 'roll': 2.3}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.01, 'state': 'normal', 'rot1': 14, 'rot0': 13, 'rot3': 0, 'rot2': 0, 'depth': 1.538, 'yaw': 59.02, 'datetime': '2018-12-18 21:01:40.859875', 'mgs': 0, 'flw2': 0.52, 'flw1': 0.23, 'flw0': 1.07, 'time': 3.55, 'compass': -101.93, 'pitch': -3.14, 'roll': 2.25}
{'lipoC2': 0.12, 'temp': 0.0, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 16, 'rot0': 14, 'rot3': 0, 'rot2': 0, 'depth': 0.165, 'yaw': 68.69, 'datetime': '2018-12-18 21:01:41.070478', 'mgs': 0, 'flw2': 0.88, 'flw1': 0.0, 'flw0': 0.4, 'time': 3.76, 'compass': -92.26, 'pitch': -3.42, 'roll': 2.67}
{'lipoC2': 0.14, 'temp': 0.0, 'lipoC3S3': 11.69, 'state': 'normal', 'rot1': 17, 'rot0': 16, 'rot3': 0, 'rot2': 0, 'depth': 0.317, 'yaw': 78.53, 'datetime': '2018-12-18 21:01:41.280569', 'mgs': 0, 'flw2': 0.55, 'flw1': 0.0, 'flw0': 0.89, 'time': 3.96, 'compass': -82.43, 'pitch': -3.66, 'roll': 3.57}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.88, 'state': 'normal', 'rot1': 19, 'rot0': 17, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 87.95, 'datetime': '2018-12-18 21:01:41.488496', 'mgs': 0, 'flw2': 0.65, 'flw1': 0.0, 'flw0': 0.46, 'time': 4.17, 'compass': -73.01, 'pitch': -3.47, 'roll': 4.63}
{'lipoC2': 0.16, 'temp': 0.0, 'lipoC3S3': 11.83, 'state': 'normal', 'rot1': 20, 'rot0': 18, 'rot3': 0, 'rot2': 0, 'depth': -1.056, 'yaw': 96.95, 'datetime': '2018-12-18 21:01:41.699151', 'mgs': 0, 'flw2': 0.37, 'flw1': 0.44, 'flw0': 0.32, 'time': 4.38, 'compass': -64.01, 'pitch': -2.94, 'roll': 5.37}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.94, 'state': 'normal', 'rot1': 21, 'rot0': 24, 'rot3': 0, 'rot2': 0, 'depth': 0.699, 'yaw': 105.46, 'datetime': '2018-12-18 21:01:41.908314', 'mgs': 0, 'flw2': 0.26, 'flw1': 0.56, 'flw0': 0.33, 'time': 4.59, 'compass': -55.49, 'pitch': -2.52, 'roll': 5.55}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.85, 'state': 'normal', 'rot1': 22, 'rot0': 26, 'rot3': 0, 'rot2': 0, 'depth': 0.623, 'yaw': 113.27, 'datetime': '2018-12-18 21:01:42.115488', 'mgs': 0, 'flw2': 0.35, 'flw1': 0.5, 'flw0': 0.31, 'time': 4.8, 'compass': -47.68, 'pitch': -2.32, 'roll': 5.46}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.73, 'state': 'normal', 'rot1': 23, 'rot0': 26, 'rot3': 0, 'rot2': 0, 'depth': -0.827, 'yaw': 121.19, 'datetime': '2018-12-18 21:01:42.327679', 'mgs': 0, 'flw2': 0.49, 'flw1': 0.21, 'flw0': 0.12, 'time': 5.01, 'compass': -39.76, 'pitch': -2.46, 'roll': 5.44}
{'lipoC2': 0.1, 'temp': 0.0, 'lipoC3S3': 11.88, 'state': 'normal', 'rot1': 24, 'rot0': 29, 'rot3': 0, 'rot2': 0, 'depth': -2.124, 'yaw': 128.91, 'datetime': '2018-12-18 21:01:42.534634', 'mgs': 0, 'flw2': 0.56, 'flw1': 0.0, 'flw0': 0.23, 'time': 5.22, 'compass': -32.04, 'pitch': -2.16, 'roll': 5.63}
{'lipoC2': 0.11, 'temp': 0.0, 'lipoC3S3': 11.67, 'state': 'normal', 'rot1': 24, 'rot0': 31, 'rot3': 0, 'rot2': 0, 'depth': 0.546, 'yaw': 136.46, 'datetime': '2018-12-18 21:01:42.741807', 'mgs': 0, 'flw2': 0.49, 'flw1': 0.0, 'flw0': 0.01, 'time': 5.43, 'compass': -24.5, 'pitch': -1.15, 'roll': 5.74}
{'lipoC2': 0.08, 'temp': 0.0, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 26, 'rot0': 33, 'rot3': 0, 'rot2': 0, 'depth': -0.064, 'yaw': 143.55, 'datetime': '2018-12-18 21:01:42.952159', 'mgs': 0, 'flw2': 0.46, 'flw1': 0.09, 'flw0': 0.0, 'time': 5.64, 'compass': -17.4, 'pitch': -0.2, 'roll': 5.64}
{'lipoC2': 0.16, 'temp': 0.0, 'lipoC3S3': 11.81, 'state': 'normal', 'rot1': 27, 'rot0': 34, 'rot3': 0, 'rot2': 0, 'depth': -1.285, 'yaw': 150.9, 'datetime': '2018-12-18 21:01:43.162729', 'mgs': 0, 'flw2': 0.44, 'flw1': 0.32, 'flw0': 0.21, 'time': 5.84, 'compass': -10.05, 'pitch': 0.04, 'roll': 5.65}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.06, 'state': 'normal', 'rot1': 27, 'rot0': 35, 'rot3': 0, 'rot2': 0, 'depth': 1.614, 'yaw': 158.14, 'datetime': '2018-12-18 21:01:43.372413', 'mgs': 0, 'flw2': 0.16, 'flw1': 0.0, 'flw0': 0.0, 'time': 6.05, 'compass': -2.82, 'pitch': 0.01, 'roll': 5.93}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.08, 'state': 'normal', 'rot1': 27, 'rot0': 35, 'rot3': 0, 'rot2': 0, 'depth': -0.369, 'yaw': 164.71, 'datetime': '2018-12-18 21:01:43.578480', 'mgs': 0, 'flw2': 0.07, 'flw1': 0.41, 'flw0': 0.0, 'time': 6.26, 'compass': 3.75, 'pitch': 0.64, 'roll': 5.76}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.08, 'state': 'normal', 'rot1': 28, 'rot0': 36, 'rot3': 0, 'rot2': 0, 'depth': 1.614, 'yaw': 170.41, 'datetime': '2018-12-18 21:01:43.788669', 'mgs': 0, 'flw2': 0.63, 'flw1': 0.06, 'flw0': 0.12, 'time': 6.47, 'compass': 9.46, 'pitch': 1.6, 'roll': 5.13}
