{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.7, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.691, 'yaw': 0.0, 'datetime': '2018-12-18 16:49:51.288074', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.32, 'flw0': 0.09, 'time': 1.26, 'compass': 136.17, 'pitch': -0.06, 'roll': 2.18}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.71, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.691, 'yaw': 0.35, 'datetime': '2018-12-18 16:49:51.495890', 'mgs': 0, 'flw2': 0.18, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.46, 'compass': 136.52, 'pitch': -0.29, 'roll': 2.11}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.7, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.691, 'yaw': 0.68, 'datetime': '2018-12-18 16:49:51.703685', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.38, 'flw0': 0.07, 'time': 1.67, 'compass': 136.85, 'pitch': -0.32, 'roll': 2.03}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.74, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.538, 'yaw': 1.02, 'datetime': '2018-12-18 16:49:51.910458', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.15, 'flw0': 0.2, 'time': 1.88, 'compass': 137.19, 'pitch': 0.0, 'roll': 1.98}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.48, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.394, 'yaw': 1.37, 'datetime': '2018-12-18 16:49:52.118118', 'mgs': 0, 'flw2': 5.82, 'flw1': 0.0, 'flw0': 5.99, 'time': 2.09, 'compass': 137.53, 'pitch': 0.26, 'roll': 1.95}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.74, 'state': 'normal', 'rot1': 4, 'rot0': 3, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': -2.58, 'datetime': '2018-12-18 16:49:52.323315', 'mgs': 0, 'flw2': 6.3, 'flw1': 0.0, 'flw0': 6.02, 'time': 2.29, 'compass': 133.59, 'pitch': 0.76, 'roll': 0.96}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.59, 'state': 'normal', 'rot1': 9, 'rot0': 7, 'rot3': 0, 'rot2': 0, 'depth': 1.385, 'yaw': -14.41, 'datetime': '2018-12-18 16:49:52.532613', 'mgs': 0, 'flw2': 5.6, 'flw1': 0.5, 'flw0': 5.68, 'time': 2.5, 'compass': 121.76, 'pitch': 1.63, 'roll': -0.97}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.62, 'state': 'normal', 'rot1': 13, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'depth': 1.385, 'yaw': -30.09, 'datetime': '2018-12-18 16:49:52.741049', 'mgs': 0, 'flw2': 4.25, 'flw1': 0.0, 'flw0': 4.82, 'time': 2.71, 'compass': 106.07, 'pitch': 1.76, 'roll': -2.19}
{'lipoC2': 0.02, 'temp': 0.0, 'lipoC3S3': 12.45, 'state': 'normal', 'rot1': 16, 'rot0': 13, 'rot3': 0, 'rot2': 0, 'depth': 1.462, 'yaw': -45.87, 'datetime': '2018-12-18 16:49:52.953535', 'mgs': 0, 'flw2': 3.2, 'flw1': 0.0, 'flw0': 3.66, 'time': 2.92, 'compass': 90.3, 'pitch': 1.73, 'roll': -2.22}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.55, 'state': 'normal', 'rot1': 19, 'rot0': 21, 'rot3': 0, 'rot2': 0, 'depth': 0.699, 'yaw': -61.54, 'datetime': '2018-12-18 16:49:53.162651', 'mgs': 0, 'flw2': 2.43, 'flw1': 0.26, 'flw0': 2.37, 'time': 3.13, 'compass': 74.63, 'pitch': 1.75, 'roll': -0.86}
{'lipoC2': 0.09, 'temp': 0.0, 'lipoC3S3': 12.68, 'state': 'normal', 'rot1': 21, 'rot0': 28, 'rot3': 0, 'rot2': 0, 'depth': -1.971, 'yaw': -76.1, 'datetime': '2018-12-18 16:49:53.370820', 'mgs': 0, 'flw2': 1.75, 'flw1': 0.0, 'flw0': 1.89, 'time': 3.34, 'compass': 60.06, 'pitch': 1.37, 'roll': 0.65}
{'lipoC2': 0.03, 'temp': 0.0, 'lipoC3S3': 12.6, 'state': 'normal', 'rot1': 23, 'rot0': 37, 'rot3': 0, 'rot2': 0, 'depth': -1.285, 'yaw': -89.84, 'datetime': '2018-12-18 16:49:53.579946', 'mgs': 0, 'flw2': 1.14, 'flw1': 0.0, 'flw0': 1.23, 'time': 3.54, 'compass': 46.33, 'pitch': 0.71, 'roll': 1.25}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.67, 'state': 'normal', 'rot1': 24, 'rot0': 41, 'rot3': 0, 'rot2': 0, 'depth': 1.538, 'yaw': -102.09, 'datetime': '2018-12-18 16:49:53.787982', 'mgs': 0, 'flw2': 0.78, 'flw1': 0.0, 'flw0': 0.43, 'time': 3.75, 'compass': 34.07, 'pitch': 0.18, 'roll': 1.12}
{'lipoC2': 0.14, 'temp': 0.0, 'lipoC3S3': 12.33, 'state': 'normal', 'rot1': 25, 'rot0': 42, 'rot3': 0, 'rot2': 0, 'depth': 0.928, 'yaw': -113.82, 'datetime': '2018-12-18 16:49:53.997303', 'mgs': 0, 'flw2': 0.51, 'flw1': 0.12, 'flw0': 0.0, 'time': 3.96, 'compass': 22.35, 'pitch': -0.37, 'roll': 0.85}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.63, 'state': 'normal', 'rot1': 26, 'rot0': 44, 'rot3': 0, 'rot2': 0, 'depth': 1.385, 'yaw': -124.42, 'datetime': '2018-12-18 16:49:54.205970', 'mgs': 0, 'flw2': 0.33, 'flw1': 0.47, 'flw0': 0.37, 'time': 4.17, 'compass': 11.75, 'pitch': -0.61, 'roll': 0.74}
{'lipoC2': 0.04, 'temp': 0.0, 'lipoC3S3': 12.64, 'state': 'normal', 'rot1': 28, 'rot0': 44, 'rot3': 0, 'rot2': 0, 'depth': 0.241, 'yaw': -134.11, 'datetime': '2018-12-18 16:49:54.416148', 'mgs': 0, 'flw2': 0.22, 'flw1': 0.44, 'flw0': 0.42, 'time': 4.38, 'compass': 2.05, 'pitch': -0.7, 'roll': 0.64}
{'lipoC2': 0.15, 'temp': 0.0, 'lipoC3S3': 12.29, 'state': 'normal', 'rot1': 28, 'rot0': 45, 'rot3': 0, 'rot2': 0, 'depth': 0.928, 'yaw': -142.64, 'datetime': '2018-12-18 16:49:54.625333', 'mgs': 0, 'flw2': 0.2, 'flw1': 0.12, 'flw0': 0.0, 'time': 4.59, 'compass': -6.48, 'pitch': -0.75, 'roll': 0.72}
{'lipoC2': 0.08, 'temp': 0.0, 'lipoC3S3': 12.34, 'state': 'normal', 'rot1': 28, 'rot0': 45, 'rot3': 0, 'rot2': 0, 'depth': 1.08, 'yaw': -150.61, 'datetime': '2018-12-18 16:49:54.833202', 'mgs': 0, 'flw2': 0.21, 'flw1': 0.0, 'flw0': 0.0, 'time': 4.8, 'compass': -14.44, 'pitch': -0.79, 'roll': 0.99}
{'lipoC2': 0.05, 'temp': 0.0, 'lipoC3S3': 12.35, 'state': 'normal', 'rot1': 28, 'rot0': 45, 'rot3': 0, 'rot2': 0, 'depth': 0.317, 'yaw': -157.56, 'datetime': '2018-12-18 16:49:55.041278', 'mgs': 0, 'flw2': 0.56, 'flw1': 0.0, 'flw0': 0.29, 'time': 5.0, 'compass': -21.39, 'pitch': -0.56, 'roll': 1.2}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.74, 'state': 'normal', 'rot1': 30, 'rot0': 46, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -163.08, 'datetime': '2018-12-18 16:49:55.250409', 'mgs': 0, 'flw2': 0.6, 'flw1': 0.0, 'flw0': 0.04, 'time': 5.21, 'compass': -26.91, 'pitch': -0.29, 'roll': 1.47}
{'lipoC2': 0.12, 'temp': 0.0, 'lipoC3S3': 12.31, 'state': 'normal', 'rot1': 31, 'rot0': 47, 'rot3': 0, 'rot2': 0, 'depth': 0.623, 'yaw': -167.33, 'datetime': '2018-12-18 16:49:55.460470', 'mgs': 0, 'flw2': 0.56, 'flw1': 0.0, 'flw0': 0.01, 'time': 5.42, 'compass': -31.16, 'pitch': -0.13, 'roll': 1.44}
{'lipoC2': 0.08, 'temp': 0.0, 'lipoC3S3': 12.34, 'state': 'normal', 'rot1': 32, 'rot0': 48, 'rot3': 0, 'rot2': 0, 'depth': 0.394, 'yaw': -170.91, 'datetime': '2018-12-18 16:49:55.669828', 'mgs': 0, 'flw2': 0.56, 'flw1': 0.0, 'flw0': 0.21, 'time': 5.63, 'compass': -34.75, 'pitch': -0.14, 'roll': 1.3}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.68, 'state': 'normal', 'rot1': 33, 'rot0': 49, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': -173.72, 'datetime': '2018-12-18 16:49:55.878494', 'mgs': 0, 'flw2': 0.55, 'flw1': 0.0, 'flw0': 0.28, 'time': 5.84, 'compass': -37.55, 'pitch': -0.04, 'roll': 1.27}
{'lipoC2': 0.12, 'temp': 0.0, 'lipoC3S3': 12.5, 'state': 'normal', 'rot1': 35, 'rot0': 50, 'rot3': 0, 'rot2': 0, 'depth': -2.124, 'yaw': -175.7, 'datetime': '2018-12-18 16:49:56.086292', 'mgs': 0, 'flw2': 0.71, 'flw1': 0.06, 'flw0': 0.23, 'time': 6.05, 'compass': -39.54, 'pitch': 0.02, 'roll': 1.32}
{'lipoC2': 0.16, 'temp': 0.0, 'lipoC3S3': 12.33, 'state': 'normal', 'rot1': 36, 'rot0': 52, 'rot3': 0, 'rot2': 0, 'depth': 0.928, 'yaw': -176.65, 'datetime': '2018-12-18 16:49:56.295639', 'mgs': 0, 'flw2': 0.71, 'flw1': 0.0, 'flw0': 0.2, 'time': 6.26, 'compass': -40.48, 'pitch': 0.06, 'roll': 1.39}
{'lipoC2': 0.04, 'temp': 0.0, 'lipoC3S3': 12.41, 'state': 'normal', 'rot1': 38, 'rot0': 53, 'rot3': 0, 'rot2': 0, 'depth': 0.241, 'yaw': -176.78, 'datetime': '2018-12-18 16:49:56.505369', 'mgs': 0, 'flw2': 0.76, 'flw1': 0.0, 'flw0': 0.57, 'time': 6.47, 'compass': -40.61, 'pitch': 0.05, 'roll': 1.62}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.74, 'state': 'normal', 'rot1': 39, 'rot0': 55, 'rot3': 0, 'rot2': 0, 'depth': 1.538, 'yaw': -175.94, 'datetime': '2018-12-18 16:49:56.715448', 'mgs': 0, 'flw2': 0.15, 'flw1': 0.26, 'flw0': 0.71, 'time': 6.68, 'compass': -39.78, 'pitch': 0.04, 'roll': 1.85}
{'lipoC2': 0.15, 'temp': 0.0, 'lipoC3S3': 12.41, 'state': 'normal', 'rot1': 41, 'rot0': 56, 'rot3': 0, 'rot2': 0, 'depth': -1.056, 'yaw': -174.31, 'datetime': '2018-12-18 16:49:56.924481', 'mgs': 0, 'flw2': 0.72, 'flw1': 0.0, 'flw0': 0.13, 'time': 6.88, 'compass': -38.14, 'pitch': 0.1, 'roll': 1.88}
{'lipoC2': 0.16, 'temp': 0.0, 'lipoC3S3': 12.45, 'state': 'normal', 'rot1': 42, 'rot0': 57, 'rot3': 0, 'rot2': 0, 'depth': -1.208, 'yaw': -172.05, 'datetime': '2018-12-18 16:49:57.134103', 'mgs': 0, 'flw2': 0.65, 'flw1': 0.21, 'flw0': 0.27, 'time': 7.09, 'compass': -35.89, 'pitch': 0.01, 'roll': 1.88}
