{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:44:00.994788', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.81, 'depth': -0.217, 'time': 4.08, 'yaw': 0.0}
{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:44:01.301433', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.75, 'depth': -0.217, 'time': 4.39, 'yaw': 0.0}
{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:44:01.509845', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.75, 'depth': -0.293, 'time': 4.6, 'yaw': 0.0}
{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:44:01.718635', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.75, 'depth': -0.217, 'time': 4.81, 'yaw': 0.0}
{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:44:01.933414', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.75, 'depth': -0.14, 'time': 5.02, 'yaw': 0.0}
{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:44:02.143301', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.75, 'depth': -0.14, 'time': 5.23, 'yaw': 0.0}
{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:44:02.351763', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.75, 'depth': -0.217, 'time': 5.44, 'yaw': 0.0}
{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:44:02.559297', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.81, 'depth': -0.217, 'time': 5.64, 'yaw': 0.0}
{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:44:02.768266', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.81, 'depth': -0.14, 'time': 5.85, 'yaw': 0.0}
{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:44:02.976023', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.75, 'depth': -0.217, 'time': 6.06, 'yaw': 0.0}
