{'lipoC3S3': 12.43, 'datetime': '2018-11-28 11:25:13.656095', 'pitch': 1.59, 'alt': 77.3, 'lng': 127.816098333, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.81, 'mgs': 0, 'compass': -2.49, 'lat': 26.380043333, 'lipoC2': 0.0, 'temp': 29.56, 'depth': -0.217, 'time': 1.26, 'yaw': 0.0}
{'lipoC3S3': 12.43, 'datetime': '2018-11-28 11:25:13.862043', 'pitch': 1.59, 'alt': 77.3, 'lng': 127.816098333, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.81, 'mgs': 0, 'compass': -2.49, 'lat': 26.380043333, 'lipoC2': 0.0, 'temp': 29.56, 'depth': -0.217, 'time': 1.47, 'yaw': 0.0}
{'lipoC3S3': 12.43, 'datetime': '2018-11-28 11:25:14.071945', 'pitch': 1.59, 'alt': 77.3, 'lng': 127.816098333, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.81, 'mgs': 0, 'compass': -2.49, 'lat': 26.380043333, 'lipoC2': 0.0, 'temp': 29.56, 'depth': -0.217, 'time': 1.68, 'yaw': 0.0}
{'lipoC3S3': 12.43, 'datetime': '2018-11-28 11:25:14.279924', 'pitch': 1.59, 'alt': 77.3, 'lng': 127.816098333, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.81, 'mgs': 0, 'compass': -2.49, 'lat': 26.380043333, 'lipoC2': 0.0, 'temp': 29.56, 'depth': -0.217, 'time': 1.88, 'yaw': 0.0}
{'lipoC3S3': 12.43, 'datetime': '2018-11-28 11:25:14.487923', 'pitch': 1.59, 'alt': 77.3, 'lng': 127.816098333, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.81, 'mgs': 0, 'compass': -2.49, 'lat': 26.380043333, 'lipoC2': 0.0, 'temp': 29.56, 'depth': -0.217, 'time': 2.1, 'yaw': 0.0}
{'lipoC3S3': 12.43, 'datetime': '2018-11-28 11:25:14.696449', 'pitch': 1.59, 'alt': 77.3, 'lng': 127.816098333, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.81, 'mgs': 0, 'compass': -2.49, 'lat': 26.380043333, 'lipoC2': 0.0, 'temp': 29.56, 'depth': -0.217, 'time': 2.3, 'yaw': 0.0}
{'lipoC3S3': 12.43, 'datetime': '2018-11-28 11:25:14.905429', 'pitch': 1.59, 'alt': 77.3, 'lng': 127.816098333, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.81, 'mgs': 0, 'compass': -2.49, 'lat': 26.380043333, 'lipoC2': 0.0, 'temp': 29.56, 'depth': -0.217, 'time': 2.51, 'yaw': 0.0}
{'lipoC3S3': 12.43, 'datetime': '2018-11-28 11:25:15.112310', 'pitch': 1.59, 'alt': 77.3, 'lng': 127.816098333, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.81, 'mgs': 0, 'compass': -2.49, 'lat': 26.380043333, 'lipoC2': 0.0, 'temp': 29.56, 'depth': -0.217, 'time': 2.72, 'yaw': 0.0}
{'lipoC3S3': 12.43, 'datetime': '2018-11-28 11:25:15.325150', 'pitch': 1.59, 'alt': 77.3, 'lng': 127.816098333, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.81, 'mgs': 0, 'compass': -2.49, 'lat': 26.380043333, 'lipoC2': 0.0, 'temp': 29.56, 'depth': -0.217, 'time': 2.93, 'yaw': 0.0}
{'lipoC3S3': 12.43, 'datetime': '2018-11-28 11:25:15.536464', 'pitch': 1.59, 'alt': 77.3, 'lng': 127.816098333, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.81, 'mgs': 0, 'compass': -2.49, 'lat': 26.380043333, 'lipoC2': 0.0, 'temp': 29.56, 'depth': -0.217, 'time': 3.14, 'yaw': 0.0}
