{'lipoC2': 7.76, 'temp': 23.56, 'lipoC3S3': 11.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 14:11:58.884821', 'mgs': 0, 'depth': 2.072, 'time': 1.26, 'pitch': -0.88, 'roll': -13.36}
{'lipoC2': 7.76, 'temp': 23.56, 'lipoC3S3': 11.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.15, 'datetime': '2018-10-12 14:11:58.901877', 'mgs': 0, 'depth': 2.072, 'time': 1.36, 'pitch': -1.0, 'roll': -13.4}
{'lipoC2': 7.75, 'temp': 23.56, 'lipoC3S3': 11.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.19, 'datetime': '2018-10-12 14:11:58.919007', 'mgs': 0, 'depth': 2.072, 'time': 1.46, 'pitch': -1.04, 'roll': -13.42}
{'lipoC2': 7.76, 'temp': 23.56, 'lipoC3S3': 11.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.2, 'datetime': '2018-10-12 14:11:58.936083', 'mgs': 0, 'depth': 2.072, 'time': 1.55, 'pitch': -1.05, 'roll': -13.34}
{'lipoC2': 7.76, 'temp': 23.56, 'lipoC3S3': 11.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.18, 'datetime': '2018-10-12 14:11:58.952673', 'mgs': 0, 'depth': 1.996, 'time': 1.65, 'pitch': -1.01, 'roll': -13.26}
{'lipoC2': 7.76, 'temp': 23.56, 'lipoC3S3': 11.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.17, 'datetime': '2018-10-12 14:11:58.960031', 'mgs': 0, 'depth': 1.996, 'time': 1.75, 'pitch': -0.96, 'roll': -13.12}
{'lipoC2': 7.76, 'temp': 23.56, 'lipoC3S3': 11.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.09, 'datetime': '2018-10-12 14:11:58.967395', 'mgs': 0, 'depth': 1.996, 'time': 1.85, 'pitch': -0.98, 'roll': -13.04}
{'lipoC2': 7.76, 'temp': 23.56, 'lipoC3S3': 11.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.03, 'datetime': '2018-10-12 14:11:58.974754', 'mgs': 0, 'depth': 2.072, 'time': 1.94, 'pitch': -1.0, 'roll': -12.96}
{'lipoC2': 7.76, 'temp': 23.56, 'lipoC3S3': 11.72, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.16, 'datetime': '2018-10-12 14:11:58.982175', 'mgs': 0, 'depth': 2.072, 'time': 2.04, 'pitch': -0.92, 'roll': -12.98}
{'lipoC2': 7.75, 'temp': 23.56, 'lipoC3S3': 11.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.31, 'datetime': '2018-10-12 14:11:59.014323', 'mgs': 0, 'depth': 2.072, 'time': 2.14, 'pitch': -0.76, 'roll': -12.98}
{'lipoC2': 7.76, 'temp': 23.5, 'lipoC3S3': 11.72, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.5, 'datetime': '2018-10-12 14:11:59.111524', 'mgs': 0, 'depth': 2.072, 'time': 2.23, 'pitch': -0.55, 'roll': -13.0}
