{'lipoC2': 7.91, 'temp': 24.81, 'lipoC3S3': 11.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 13:33:40.135729', 'mgs': 0, 'depth': 1.614, 'time': 1.26, 'pitch': -0.98, 'roll': -5.22}
{'lipoC2': 7.91, 'temp': 24.81, 'lipoC3S3': 11.98, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.33, 'datetime': '2018-10-12 13:33:40.152748', 'mgs': 0, 'depth': 1.538, 'time': 1.36, 'pitch': -1.57, 'roll': -5.28}
{'lipoC2': 7.91, 'temp': 24.81, 'lipoC3S3': 11.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.45, 'datetime': '2018-10-12 13:33:40.169777', 'mgs': 0, 'depth': 1.462, 'time': 1.46, 'pitch': -2.76, 'roll': -4.76}
{'lipoC2': 7.91, 'temp': 24.75, 'lipoC3S3': 11.98, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.57, 'datetime': '2018-10-12 13:33:40.186862', 'mgs': 0, 'depth': 1.462, 'time': 1.55, 'pitch': -4.03, 'roll': -4.54}
{'lipoC2': 7.91, 'temp': 24.75, 'lipoC3S3': 11.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.99, 'datetime': '2018-10-12 13:33:40.267272', 'mgs': 0, 'depth': 1.538, 'time': 1.65, 'pitch': -5.01, 'roll': -5.24}
{'lipoC2': 7.92, 'temp': 24.75, 'lipoC3S3': 11.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.51, 'datetime': '2018-10-12 13:33:40.364270', 'mgs': 0, 'depth': 1.462, 'time': 1.75, 'pitch': -5.41, 'roll': -5.73}
{'lipoC2': 7.91, 'temp': 24.75, 'lipoC3S3': 11.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.59, 'datetime': '2018-10-12 13:33:40.461237', 'mgs': 0, 'depth': 1.385, 'time': 1.85, 'pitch': -5.57, 'roll': -5.16}
{'lipoC2': 7.91, 'temp': 24.75, 'lipoC3S3': 11.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.4, 'datetime': '2018-10-12 13:33:40.559099', 'mgs': 0, 'depth': 1.385, 'time': 1.94, 'pitch': -5.49, 'roll': -4.62}
{'lipoC2': 7.92, 'temp': 24.75, 'lipoC3S3': 11.98, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.06, 'datetime': '2018-10-12 13:33:40.656062', 'mgs': 0, 'depth': 1.385, 'time': 2.04, 'pitch': -5.13, 'roll': -4.51}
{'lipoC2': 7.91, 'temp': 24.75, 'lipoC3S3': 11.98, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.66, 'datetime': '2018-10-12 13:33:40.753061', 'mgs': 0, 'depth': 1.309, 'time': 2.14, 'pitch': -4.71, 'roll': -4.35}
{'lipoC2': 7.91, 'temp': 24.75, 'lipoC3S3': 11.98, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.25, 'datetime': '2018-10-12 13:33:40.850321', 'mgs': 0, 'depth': 1.309, 'time': 2.23, 'pitch': -4.47, 'roll': -3.8}
{'lipoC2': 7.91, 'temp': 24.75, 'lipoC3S3': 11.98, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.32, 'datetime': '2018-10-12 13:33:40.947294', 'mgs': 0, 'depth': 1.385, 'time': 2.33, 'pitch': -4.61, 'roll': -3.08}
{'lipoC2': 7.91, 'temp': 24.75, 'lipoC3S3': 11.98, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.69, 'datetime': '2018-10-12 13:33:41.047509', 'mgs': 0, 'depth': 1.309, 'time': 2.43, 'pitch': -4.99, 'roll': -2.95}
{'lipoC2': 7.91, 'temp': 24.75, 'lipoC3S3': 11.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.07, 'datetime': '2018-10-12 13:33:41.146614', 'mgs': 0, 'depth': 1.309, 'time': 2.53, 'pitch': -5.55, 'roll': -3.11}
{'lipoC2': 7.91, 'temp': 24.75, 'lipoC3S3': 11.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.6, 'datetime': '2018-10-12 13:33:41.243543', 'mgs': 0, 'depth': 1.309, 'time': 2.62, 'pitch': -6.21, 'roll': -3.27}
{'lipoC2': 7.91, 'temp': 24.75, 'lipoC3S3': 11.98, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.25, 'datetime': '2018-10-12 13:33:41.340598', 'mgs': 0, 'depth': 1.309, 'time': 2.72, 'pitch': -6.93, 'roll': -3.35}
{'lipoC2': 7.91, 'temp': 24.75, 'lipoC3S3': 11.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.42, 'datetime': '2018-10-12 13:33:41.437651', 'mgs': 0, 'depth': 1.309, 'time': 2.82, 'pitch': -7.12, 'roll': -3.8}
{'lipoC2': 7.92, 'temp': 24.75, 'lipoC3S3': 11.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.57, 'datetime': '2018-10-12 13:33:41.535951', 'mgs': 0, 'depth': 1.309, 'time': 2.91, 'pitch': -6.89, 'roll': -4.08}
{'lipoC2': 7.91, 'temp': 24.75, 'lipoC3S3': 11.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -3.0, 'datetime': '2018-10-12 13:33:41.633428', 'mgs': 0, 'depth': 1.385, 'time': 3.01, 'pitch': -6.43, 'roll': -4.03}
{'lipoC2': 7.92, 'temp': 24.75, 'lipoC3S3': 11.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -3.3, 'datetime': '2018-10-12 13:33:41.730267', 'mgs': 0, 'depth': 1.309, 'time': 3.11, 'pitch': -5.67, 'roll': -4.15}
{'lipoC2': 7.91, 'temp': 24.75, 'lipoC3S3': 11.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -3.6, 'datetime': '2018-10-12 13:33:41.827536', 'mgs': 0, 'depth': 1.233, 'time': 3.21, 'pitch': -4.9, 'roll': -4.04}
{'lipoC2': 7.91, 'temp': 24.75, 'lipoC3S3': 11.98, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -3.92, 'datetime': '2018-10-12 13:33:41.925820', 'mgs': 0, 'depth': 1.385, 'time': 3.31, 'pitch': -4.42, 'roll': -4.04}
{'lipoC2': 7.92, 'temp': 24.75, 'lipoC3S3': 11.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -4.32, 'datetime': '2018-10-12 13:33:42.022998', 'mgs': 0, 'depth': 1.309, 'time': 3.4, 'pitch': -4.22, 'roll': -4.37}
{'lipoC2': 7.91, 'temp': 24.75, 'lipoC3S3': 11.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -4.7, 'datetime': '2018-10-12 13:33:42.120324', 'mgs': 0, 'depth': 1.309, 'time': 3.5, 'pitch': -4.3, 'roll': -4.74}
{'lipoC2': 7.91, 'temp': 24.75, 'lipoC3S3': 11.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -4.88, 'datetime': '2018-10-12 13:33:42.217871', 'mgs': 0, 'depth': 1.385, 'time': 3.6, 'pitch': -4.46, 'roll': -4.9}
{'lipoC2': 7.91, 'temp': 24.69, 'lipoC3S3': 11.98, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -5.01, 'datetime': '2018-10-12 13:33:42.314857', 'mgs': 0, 'depth': 1.309, 'time': 3.69, 'pitch': -4.71, 'roll': -4.75}
{'lipoC2': 7.91, 'temp': 24.69, 'lipoC3S3': 11.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -4.99, 'datetime': '2018-10-12 13:33:42.411853', 'mgs': 0, 'depth': 1.462, 'time': 3.79, 'pitch': -5.01, 'roll': -4.4}
{'lipoC2': 7.92, 'temp': 24.75, 'lipoC3S3': 11.98, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -4.82, 'datetime': '2018-10-12 13:33:42.508820', 'mgs': 0, 'depth': 1.385, 'time': 3.89, 'pitch': -5.3, 'roll': -4.1}
{'lipoC2': 7.91, 'temp': 24.75, 'lipoC3S3': 11.98, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -4.66, 'datetime': '2018-10-12 13:33:42.605843', 'mgs': 0, 'depth': 1.462, 'time': 3.99, 'pitch': -5.52, 'roll': -3.91}
{'lipoC2': 7.91, 'temp': 24.75, 'lipoC3S3': 11.98, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -4.26, 'datetime': '2018-10-12 13:33:42.702868', 'mgs': 0, 'depth': 1.462, 'time': 4.08, 'pitch': -5.48, 'roll': -3.47}
{'lipoC2': 7.91, 'temp': 24.69, 'lipoC3S3': 11.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -3.5, 'datetime': '2018-10-12 13:33:42.799928', 'mgs': 0, 'depth': 1.462, 'time': 4.18, 'pitch': -5.01, 'roll': -3.05}
{'lipoC2': 7.92, 'temp': 24.69, 'lipoC3S3': 11.98, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -3.08, 'datetime': '2018-10-12 13:33:42.896801', 'mgs': 0, 'depth': 1.462, 'time': 4.28, 'pitch': -4.55, 'roll': -3.04}
{'lipoC2': 7.91, 'temp': 24.75, 'lipoC3S3': 11.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -3.02, 'datetime': '2018-10-12 13:33:42.993893', 'mgs': 0, 'depth': 1.538, 'time': 4.37, 'pitch': -4.34, 'roll': -3.87}
{'lipoC2': 7.91, 'temp': 24.75, 'lipoC3S3': 11.98, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -3.06, 'datetime': '2018-10-12 13:33:43.090928', 'mgs': 0, 'depth': 1.462, 'time': 4.47, 'pitch': -4.31, 'roll': -5.12}
{'lipoC2': 7.91, 'temp': 24.75, 'lipoC3S3': 11.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.91, 'datetime': '2018-10-12 13:33:43.189215', 'mgs': 0, 'depth': 1.538, 'time': 4.57, 'pitch': -4.12, 'roll': -6.07}
{'lipoC2': 7.91, 'temp': 24.75, 'lipoC3S3': 11.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.65, 'datetime': '2018-10-12 13:33:43.287659', 'mgs': 0, 'depth': 1.614, 'time': 4.67, 'pitch': -3.81, 'roll': -6.71}
{'lipoC2': 7.91, 'temp': 24.75, 'lipoC3S3': 11.98, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.32, 'datetime': '2018-10-12 13:33:43.384725', 'mgs': 0, 'depth': 1.614, 'time': 4.76, 'pitch': -3.55, 'roll': -6.83}
