{'lipoC2': 7.88, 'temp': 24.38, 'lipoC3S3': 11.85, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 13:40:36.877256', 'mgs': 0, 'depth': 1.996, 'time': 1.26, 'pitch': -3.9, 'roll': -14.54}
{'lipoC2': 7.88, 'temp': 24.38, 'lipoC3S3': 11.85, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.15, 'datetime': '2018-10-12 13:40:36.915956', 'mgs': 0, 'depth': 1.92, 'time': 1.36, 'pitch': -3.85, 'roll': -14.6}
{'lipoC2': 7.87, 'temp': 24.38, 'lipoC3S3': 11.87, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 2.51, 'datetime': '2018-10-12 13:40:36.943892', 'mgs': 0, 'depth': 1.92, 'time': 1.46, 'pitch': -3.76, 'roll': -14.4}
{'lipoC2': 7.87, 'temp': 24.38, 'lipoC3S3': 11.85, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 3.81, 'datetime': '2018-10-12 13:40:36.951673', 'mgs': 0, 'depth': 1.92, 'time': 1.55, 'pitch': -3.79, 'roll': -13.98}
{'lipoC2': 7.87, 'temp': 24.38, 'lipoC3S3': 11.85, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 4.91, 'datetime': '2018-10-12 13:40:36.959439', 'mgs': 0, 'depth': 1.92, 'time': 1.65, 'pitch': -4.33, 'roll': -13.28}
{'lipoC2': 7.88, 'temp': 24.31, 'lipoC3S3': 11.85, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 5.51, 'datetime': '2018-10-12 13:40:36.967233', 'mgs': 0, 'depth': 1.767, 'time': 1.75, 'pitch': -5.35, 'roll': -12.74}
{'lipoC2': 7.87, 'temp': 24.31, 'lipoC3S3': 11.85, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 5.8, 'datetime': '2018-10-12 13:40:36.974909', 'mgs': 0, 'depth': 1.843, 'time': 1.84, 'pitch': -6.54, 'roll': -12.67}
{'lipoC2': 7.87, 'temp': 24.31, 'lipoC3S3': 11.85, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 6.05, 'datetime': '2018-10-12 13:40:36.982522', 'mgs': 0, 'depth': 1.92, 'time': 1.94, 'pitch': -7.36, 'roll': -12.69}
{'lipoC2': 7.87, 'temp': 24.31, 'lipoC3S3': 11.87, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 6.49, 'datetime': '2018-10-12 13:40:36.990220', 'mgs': 0, 'depth': 1.767, 'time': 2.04, 'pitch': -7.71, 'roll': -12.63}
{'lipoC2': 7.88, 'temp': 24.31, 'lipoC3S3': 11.85, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 6.93, 'datetime': '2018-10-12 13:40:36.998042', 'mgs': 0, 'depth': 1.767, 'time': 2.13, 'pitch': -7.59, 'roll': -12.67}
{'lipoC2': 7.87, 'temp': 24.38, 'lipoC3S3': 11.87, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 7.22, 'datetime': '2018-10-12 13:40:37.005808', 'mgs': 0, 'depth': 1.767, 'time': 2.23, 'pitch': -7.23, 'roll': -12.91}
