{'lipoC2': 7.9, 'temp': 28.0, 'lipoC3S3': 12.25, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:31:05.945997', 'mgs': 0, 'depth': -0.14, 'time': 1.26, 'pitch': 1.31, 'roll': -0.7}
{'lipoC2': 7.91, 'temp': 28.0, 'lipoC3S3': 12.26, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:31:05.963636', 'mgs': 0, 'depth': -0.14, 'time': 1.36, 'pitch': 1.31, 'roll': -0.7}
{'lipoC2': 7.9, 'temp': 28.0, 'lipoC3S3': 12.26, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:31:05.982663', 'mgs': 0, 'depth': -0.14, 'time': 1.45, 'pitch': 1.31, 'roll': -0.7}
{'lipoC2': 7.91, 'temp': 28.0, 'lipoC3S3': 12.26, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:31:05.998394', 'mgs': 0, 'depth': -0.14, 'time': 1.55, 'pitch': 1.31, 'roll': -0.7}
{'lipoC2': 7.9, 'temp': 28.0, 'lipoC3S3': 12.25, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:31:06.005993', 'mgs': 0, 'depth': -0.14, 'time': 1.65, 'pitch': 1.31, 'roll': -0.7}
{'lipoC2': 7.9, 'temp': 28.06, 'lipoC3S3': 12.25, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:31:06.013472', 'mgs': 0, 'depth': -0.14, 'time': 1.75, 'pitch': 1.31, 'roll': -0.7}
{'lipoC2': 7.9, 'temp': 28.06, 'lipoC3S3': 12.26, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:31:06.021027', 'mgs': 0, 'depth': -0.14, 'time': 1.85, 'pitch': 1.31, 'roll': -0.7}
{'lipoC2': 7.91, 'temp': 28.06, 'lipoC3S3': 12.25, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:31:06.028521', 'mgs': 0, 'depth': -0.217, 'time': 1.94, 'pitch': 1.31, 'roll': -0.7}
{'lipoC2': 7.9, 'temp': 28.06, 'lipoC3S3': 12.25, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:31:06.036093', 'mgs': 0, 'depth': -0.217, 'time': 2.04, 'pitch': 1.31, 'roll': -0.7}
{'lipoC2': 7.91, 'temp': 28.06, 'lipoC3S3': 12.25, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:31:06.043547', 'mgs': 0, 'depth': -0.14, 'time': 2.14, 'pitch': 1.31, 'roll': -0.7}
{'lipoC2': 7.9, 'temp': 28.06, 'lipoC3S3': 12.26, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:31:06.051120', 'mgs': 0, 'depth': -0.217, 'time': 2.24, 'pitch': 1.31, 'roll': -0.7}
