{'lipoC2': 7.79, 'temp': 23.69, 'lipoC3S3': 11.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 14:02:07.442958', 'mgs': 0, 'depth': 2.148, 'time': 1.26, 'pitch': -0.29, 'roll': -9.1}
{'lipoC2': 7.79, 'temp': 23.69, 'lipoC3S3': 11.81, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.26, 'datetime': '2018-10-12 14:02:07.466211', 'mgs': 0, 'depth': 2.148, 'time': 1.36, 'pitch': -0.13, 'roll': -9.14}
{'lipoC2': 7.78, 'temp': 23.69, 'lipoC3S3': 11.81, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.58, 'datetime': '2018-10-12 14:02:07.486149', 'mgs': 0, 'depth': 2.148, 'time': 1.45, 'pitch': 0.02, 'roll': -9.19}
{'lipoC2': 7.79, 'temp': 23.63, 'lipoC3S3': 11.81, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.75, 'datetime': '2018-10-12 14:02:07.504476', 'mgs': 0, 'depth': 2.148, 'time': 1.55, 'pitch': 0.03, 'roll': -9.3}
{'lipoC2': 7.79, 'temp': 23.63, 'lipoC3S3': 11.81, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.66, 'datetime': '2018-10-12 14:02:07.522874', 'mgs': 0, 'depth': 2.148, 'time': 1.65, 'pitch': -0.12, 'roll': -9.31}
{'lipoC2': 7.78, 'temp': 23.63, 'lipoC3S3': 11.81, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.43, 'datetime': '2018-10-12 14:02:07.571356', 'mgs': 0, 'depth': 2.148, 'time': 1.75, 'pitch': -0.22, 'roll': -9.31}
{'lipoC2': 7.79, 'temp': 23.63, 'lipoC3S3': 11.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.24, 'datetime': '2018-10-12 14:02:07.665594', 'mgs': 0, 'depth': 2.148, 'time': 1.85, 'pitch': -0.17, 'roll': -9.32}
{'lipoC2': 7.79, 'temp': 23.63, 'lipoC3S3': 11.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.09, 'datetime': '2018-10-12 14:02:07.763904', 'mgs': 0, 'depth': 2.072, 'time': 1.94, 'pitch': 0.1, 'roll': -9.46}
{'lipoC2': 7.79, 'temp': 23.63, 'lipoC3S3': 11.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.02, 'datetime': '2018-10-12 14:02:07.860924', 'mgs': 0, 'depth': 2.148, 'time': 2.04, 'pitch': 0.53, 'roll': -9.64}
{'lipoC2': 7.79, 'temp': 23.63, 'lipoC3S3': 11.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.06, 'datetime': '2018-10-12 14:02:07.957944', 'mgs': 0, 'depth': 2.072, 'time': 2.14, 'pitch': 0.97, 'roll': -9.71}
{'lipoC2': 7.79, 'temp': 23.63, 'lipoC3S3': 11.81, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.17, 'datetime': '2018-10-12 14:02:08.054961', 'mgs': 0, 'depth': 2.225, 'time': 2.23, 'pitch': 1.24, 'roll': -9.75}
