{'lipoC2': 7.86, 'temp': 28.81, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:40:36.180857', 'mgs': 0, 'depth': -0.522, 'time': 3.12, 'pitch': 7.01, 'roll': -0.29}
{'lipoC2': 7.86, 'temp': 28.75, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:40:36.279143', 'mgs': 0, 'depth': -0.446, 'time': 3.22, 'pitch': 7.01, 'roll': -0.29}
{'lipoC2': 7.85, 'temp': 28.75, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:40:36.376225', 'mgs': 0, 'depth': -0.446, 'time': 3.31, 'pitch': 7.01, 'roll': -0.29}
{'lipoC2': 7.86, 'temp': 28.81, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:40:36.473383', 'mgs': 0, 'depth': -0.446, 'time': 3.41, 'pitch': 7.01, 'roll': -0.29}
{'lipoC2': 7.85, 'temp': 28.81, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:40:36.571751', 'mgs': 0, 'depth': -0.522, 'time': 3.51, 'pitch': 7.01, 'roll': -0.29}
{'lipoC2': 7.86, 'temp': 28.81, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:40:36.670053', 'mgs': 0, 'depth': -0.522, 'time': 3.61, 'pitch': 7.01, 'roll': -0.29}
{'lipoC2': 7.86, 'temp': 28.81, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:40:36.767029', 'mgs': 0, 'depth': -0.522, 'time': 3.7, 'pitch': 7.01, 'roll': -0.29}
{'lipoC2': 7.86, 'temp': 28.81, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:40:36.864170', 'mgs': 0, 'depth': -0.522, 'time': 3.8, 'pitch': 7.01, 'roll': -0.29}
{'lipoC2': 7.86, 'temp': 28.81, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:40:36.962414', 'mgs': 0, 'depth': -0.446, 'time': 3.9, 'pitch': 7.01, 'roll': -0.29}
{'lipoC2': 7.86, 'temp': 28.81, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:40:37.060793', 'mgs': 0, 'depth': -0.446, 'time': 4.0, 'pitch': 7.01, 'roll': -0.29}
{'lipoC2': 7.86, 'temp': 28.81, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:40:37.157832', 'mgs': 0, 'depth': -0.446, 'time': 4.1, 'pitch': 7.01, 'roll': -0.29}
{'lipoC2': 7.86, 'temp': 28.81, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:40:37.254913', 'mgs': 0, 'depth': -0.446, 'time': 4.19, 'pitch': 7.01, 'roll': -0.29}
{'lipoC2': 7.85, 'temp': 28.81, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:40:37.352942', 'mgs': 0, 'depth': -0.522, 'time': 4.29, 'pitch': 7.01, 'roll': -0.29}
{'lipoC2': 7.86, 'temp': 28.81, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:40:37.450121', 'mgs': 0, 'depth': -0.522, 'time': 4.39, 'pitch': 7.01, 'roll': -0.29}
{'lipoC2': 7.86, 'temp': 28.81, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:40:37.546983', 'mgs': 0, 'depth': -0.522, 'time': 4.49, 'pitch': 7.01, 'roll': -0.29}
{'lipoC2': 7.86, 'temp': 28.81, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:40:37.644964', 'mgs': 0, 'depth': -0.522, 'time': 4.58, 'pitch': 7.01, 'roll': -0.29}
{'lipoC2': 7.85, 'temp': 28.81, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.01, 'datetime': '2018-10-12 20:40:37.743299', 'mgs': 0, 'depth': -0.446, 'time': 4.68, 'pitch': 7.01, 'roll': -0.29}
{'lipoC2': 7.85, 'temp': 28.81, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.01, 'datetime': '2018-10-12 20:40:37.841708', 'mgs': 0, 'depth': -0.522, 'time': 4.78, 'pitch': 7.03, 'roll': -0.24}
{'lipoC2': 7.86, 'temp': 28.81, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.01, 'datetime': '2018-10-12 20:40:37.938756', 'mgs': 0, 'depth': -0.522, 'time': 4.88, 'pitch': 7.01, 'roll': -0.31}
{'lipoC2': 7.86, 'temp': 28.81, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.01, 'datetime': '2018-10-12 20:40:38.036082', 'mgs': 0, 'depth': -0.522, 'time': 4.97, 'pitch': 7.03, 'roll': -0.22}
{'lipoC2': 7.85, 'temp': 28.81, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.01, 'datetime': '2018-10-12 20:40:38.134401', 'mgs': 0, 'depth': -0.522, 'time': 5.07, 'pitch': 7.01, 'roll': -0.27}
