{'lipoC2': 7.61, 'temp': 26.31, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-13 15:34:17.967384', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 4.55, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.59, 'temp': 26.25, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-13 15:34:18.172346', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 4.75, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.61, 'temp': 26.25, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-13 15:34:18.378167', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 4.96, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.61, 'temp': 26.31, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-13 15:34:18.583728', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 5.16, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.61, 'temp': 26.31, 'lipoC3S3': 12.04, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-13 15:34:18.789037', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 5.37, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.61, 'temp': 26.31, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-13 15:34:18.994325', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 5.57, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.61, 'temp': 26.31, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-13 15:34:19.200911', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 5.78, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.61, 'temp': 26.31, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-13 15:34:19.405164', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 5.99, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.59, 'temp': 26.31, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-13 15:34:19.612409', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 6.19, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.61, 'temp': 26.31, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-13 15:34:19.817995', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 6.4, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.59, 'temp': 26.25, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-13 15:34:20.022972', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 6.6, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.61, 'temp': 26.31, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-13 15:34:20.226994', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 6.81, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.61, 'temp': 26.31, 'lipoC3S3': 12.04, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-13 15:34:20.432709', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 7.01, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.61, 'temp': 26.31, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-13 15:34:20.645873', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 7.22, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.61, 'temp': 26.25, 'lipoC3S3': 12.04, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-13 15:34:20.947154', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 7.53, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.61, 'temp': 26.25, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-13 15:34:21.151861', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 7.73, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.61, 'temp': 26.31, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-13 15:34:21.355036', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 7.94, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.61, 'temp': 26.31, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-13 15:34:21.560023', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 8.15, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.61, 'temp': 26.25, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-13 15:34:21.765978', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 8.35, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.61, 'temp': 26.31, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-13 15:34:21.971005', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 8.56, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.61, 'temp': 26.31, 'lipoC3S3': 12.04, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-13 15:34:22.176810', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 8.76, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.61, 'temp': 26.31, 'lipoC3S3': 12.04, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-13 15:34:22.381936', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 8.97, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.61, 'temp': 26.31, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-13 15:34:22.587626', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 9.17, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.61, 'temp': 26.38, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-13 15:34:22.792754', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 9.38, 'pitch': -0.94, 'roll': -2.18}
