{'lipoC3S3': 12.02, 'datetime': '2018-11-13 15:43:52.132751', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'flw1': 0.0, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1390, 'duty0': 1513, 'duty3': 1512, 'duty2': 1518, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.58, 'temp': 26.69, 'depth': -0.217, 'time': 8.43, 'yaw': 0.0}
{'lipoC3S3': 12.02, 'datetime': '2018-11-13 15:43:52.464272', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'flw1': 0.0, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1370, 'duty0': 1512, 'duty3': 1510, 'duty2': 1511, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.58, 'temp': 26.69, 'depth': -0.14, 'time': 8.76, 'yaw': 0.0}
{'lipoC3S3': 12.02, 'datetime': '2018-11-13 15:43:52.794747', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'flw1': 0.0, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1298, 'duty0': 1506, 'duty3': 1513, 'duty2': 1516, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.58, 'temp': 26.69, 'depth': -0.14, 'time': 9.09, 'yaw': 0.0}
{'lipoC3S3': 12.02, 'datetime': '2018-11-13 15:43:53.124962', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'flw1': 0.0, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1495, 'duty0': 1512, 'duty3': 1513, 'duty2': 1509, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.58, 'temp': 26.75, 'depth': -0.14, 'time': 9.42, 'yaw': 0.0}
{'lipoC3S3': 12.04, 'datetime': '2018-11-13 15:43:53.453307', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'flw1': 0.0, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1506, 'duty0': 1506, 'duty3': 1507, 'duty2': 1516, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.58, 'temp': 26.69, 'depth': -0.217, 'time': 9.75, 'yaw': 0.0}
{'lipoC3S3': 12.02, 'datetime': '2018-11-13 15:43:53.785354', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'flw1': 0.0, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1499, 'duty0': 1513, 'duty3': 1513, 'duty2': 1509, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.58, 'temp': 26.69, 'depth': -0.14, 'time': 10.09, 'yaw': 0.0}
{'lipoC3S3': 12.02, 'datetime': '2018-11-13 15:43:54.117951', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'flw1': 0.0, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1505, 'duty0': 1506, 'duty3': 1506, 'duty2': 1516, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.58, 'temp': 26.63, 'depth': -0.217, 'time': 10.42, 'yaw': 0.0}
{'lipoC3S3': 12.02, 'datetime': '2018-11-13 15:43:54.449434', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'flw1': 0.0, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1499, 'duty0': 1513, 'duty3': 1512, 'duty2': 1509, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.58, 'temp': 26.63, 'depth': -0.14, 'time': 10.75, 'yaw': 0.0}
{'lipoC3S3': 12.02, 'datetime': '2018-11-13 15:43:54.779832', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'flw1': 0.0, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1506, 'duty0': 1506, 'duty3': 1506, 'duty2': 1517, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.58, 'temp': 26.63, 'depth': -0.14, 'time': 11.08, 'yaw': 0.0}
{'lipoC3S3': 12.02, 'datetime': '2018-11-13 15:43:55.111292', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'flw1': 0.0, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1499, 'duty0': 1513, 'duty3': 1513, 'duty2': 1516, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.58, 'temp': 26.63, 'depth': -0.14, 'time': 11.41, 'yaw': 0.0}
{'lipoC3S3': 12.02, 'datetime': '2018-11-13 15:43:55.445657', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'flw1': 0.0, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1505, 'duty0': 1507, 'duty3': 1506, 'duty2': 1511, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.58, 'temp': 26.69, 'depth': -0.14, 'time': 11.74, 'yaw': 0.0}
{'lipoC3S3': 12.02, 'datetime': '2018-11-13 15:43:55.775758', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'flw1': 0.0, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1499, 'duty0': 1507, 'duty3': 1512, 'duty2': 1518, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.58, 'temp': 26.63, 'depth': -0.14, 'time': 12.07, 'yaw': 0.0}
{'lipoC3S3': 12.02, 'datetime': '2018-11-13 15:43:56.107367', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'flw1': 0.0, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1505, 'duty0': 1513, 'duty3': 1507, 'duty2': 1510, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.58, 'temp': 26.75, 'depth': -0.14, 'time': 12.4, 'yaw': 0.0}
{'lipoC3S3': 12.02, 'datetime': '2018-11-13 15:43:56.433050', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'flw1': 0.0, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1499, 'duty0': 1506, 'duty3': 1511, 'duty2': 1516, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.57, 'temp': 26.69, 'depth': -0.217, 'time': 12.73, 'yaw': 0.0}
