{'lipoC2': 7.5, 'temp': 24.13, 'lipoC3S3': 11.47, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.31, 'datetime': '2018-10-17 10:06:57.345851', 'mgs': 0, 'depth': 0.47, 'time': 3.12, 'pitch': 1.03, 'roll': -5.13}
{'lipoC2': 7.5, 'temp': 24.06, 'lipoC3S3': 11.47, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.54, 'datetime': '2018-10-17 10:06:57.355652', 'mgs': 0, 'depth': 0.394, 'time': 3.21, 'pitch': 0.94, 'roll': -5.17}
{'lipoC2': 7.5, 'temp': 24.06, 'lipoC3S3': 11.47, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.73, 'datetime': '2018-10-17 10:06:57.369522', 'mgs': 0, 'depth': 0.47, 'time': 3.31, 'pitch': 0.94, 'roll': -5.12}
{'lipoC2': 7.51, 'temp': 24.06, 'lipoC3S3': 11.47, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.76, 'datetime': '2018-10-17 10:06:57.383371', 'mgs': 0, 'depth': 0.394, 'time': 3.41, 'pitch': 0.95, 'roll': -4.99}
{'lipoC2': 7.51, 'temp': 24.06, 'lipoC3S3': 11.46, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.69, 'datetime': '2018-10-17 10:06:57.391725', 'mgs': 0, 'depth': 0.47, 'time': 3.51, 'pitch': 0.94, 'roll': -4.85}
{'lipoC2': 7.5, 'temp': 24.06, 'lipoC3S3': 11.47, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-17 10:06:57.401445', 'mgs': 0, 'depth': 0.47, 'time': 1.26, 'pitch': 0.93, 'roll': -4.61}
{'lipoC2': 7.51, 'temp': 24.06, 'lipoC3S3': 11.47, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-17 10:06:57.415265', 'mgs': 0, 'depth': 0.47, 'time': 1.36, 'pitch': 1.07, 'roll': -4.72}
{'lipoC2': 7.5, 'temp': 24.06, 'lipoC3S3': 11.47, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.02, 'datetime': '2018-10-17 10:06:57.429213', 'mgs': 0, 'depth': 0.47, 'time': 1.46, 'pitch': 1.18, 'roll': -4.75}
{'lipoC2': 7.5, 'temp': 24.13, 'lipoC3S3': 11.47, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.03, 'datetime': '2018-10-17 10:06:57.438122', 'mgs': 0, 'depth': 0.546, 'time': 1.55, 'pitch': 1.19, 'roll': -4.75}
{'lipoC2': 7.5, 'temp': 24.13, 'lipoC3S3': 11.48, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.02, 'datetime': '2018-10-17 10:06:57.448248', 'mgs': 0, 'depth': 0.546, 'time': 1.65, 'pitch': 1.14, 'roll': -4.8}
{'lipoC2': 7.5, 'temp': 24.13, 'lipoC3S3': 11.48, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.05, 'datetime': '2018-10-17 10:06:57.462126', 'mgs': 0, 'depth': 0.47, 'time': 1.75, 'pitch': 1.06, 'roll': -4.87}
{'lipoC2': 7.5, 'temp': 24.13, 'lipoC3S3': 11.47, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.15, 'datetime': '2018-10-17 10:06:57.475481', 'mgs': 0, 'depth': 0.546, 'time': 1.84, 'pitch': 1.0, 'roll': -4.83}
{'lipoC2': 7.5, 'temp': 24.06, 'lipoC3S3': 11.48, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.23, 'datetime': '2018-10-17 10:06:57.483287', 'mgs': 0, 'depth': 0.546, 'time': 1.94, 'pitch': 0.98, 'roll': -4.75}
{'lipoC2': 7.5, 'temp': 24.06, 'lipoC3S3': 11.48, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.3, 'datetime': '2018-10-17 10:06:57.492438', 'mgs': 0, 'depth': 0.47, 'time': 2.04, 'pitch': 0.98, 'roll': -4.76}
{'lipoC2': 7.5, 'temp': 24.06, 'lipoC3S3': 11.47, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.32, 'datetime': '2018-10-17 10:06:57.505830', 'mgs': 0, 'depth': 0.546, 'time': 2.14, 'pitch': 0.98, 'roll': -4.73}
{'lipoC2': 7.51, 'temp': 24.13, 'lipoC3S3': 11.47, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.33, 'datetime': '2018-10-17 10:06:57.519249', 'mgs': 0, 'depth': 0.546, 'time': 2.23, 'pitch': 0.98, 'roll': -4.59}
{'lipoC2': 7.5, 'temp': 24.13, 'lipoC3S3': 11.47, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.32, 'datetime': '2018-10-17 10:06:57.527183', 'mgs': 0, 'depth': 0.546, 'time': 2.33, 'pitch': 0.98, 'roll': -4.55}
{'lipoC2': 7.5, 'temp': 24.13, 'lipoC3S3': 11.48, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.33, 'datetime': '2018-10-17 10:06:57.537078', 'mgs': 0, 'depth': 0.546, 'time': 2.43, 'pitch': 0.98, 'roll': -4.64}
{'lipoC2': 7.5, 'temp': 24.13, 'lipoC3S3': 11.47, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.32, 'datetime': '2018-10-17 10:06:57.550667', 'mgs': 0, 'depth': 0.546, 'time': 2.53, 'pitch': 0.97, 'roll': -4.72}
{'lipoC2': 7.5, 'temp': 24.13, 'lipoC3S3': 11.47, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.32, 'datetime': '2018-10-17 10:06:57.564073', 'mgs': 0, 'depth': 0.546, 'time': 2.62, 'pitch': 0.96, 'roll': -4.74}
{'lipoC2': 7.5, 'temp': 24.13, 'lipoC3S3': 11.47, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.32, 'datetime': '2018-10-17 10:06:57.571888', 'mgs': 0, 'depth': 0.47, 'time': 2.72, 'pitch': 0.96, 'roll': -4.75}
{'lipoC2': 7.5, 'temp': 24.13, 'lipoC3S3': 11.47, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.31, 'datetime': '2018-10-17 10:06:57.581030', 'mgs': 0, 'depth': 0.546, 'time': 2.82, 'pitch': 1.01, 'roll': -4.73}
{'lipoC2': 7.5, 'temp': 24.13, 'lipoC3S3': 11.48, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.31, 'datetime': '2018-10-17 10:06:57.594432', 'mgs': 0, 'depth': 0.47, 'time': 2.91, 'pitch': 1.02, 'roll': -4.74}
{'lipoC2': 7.5, 'temp': 24.13, 'lipoC3S3': 11.48, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.32, 'datetime': '2018-10-17 10:06:57.607796', 'mgs': 0, 'depth': 0.546, 'time': 3.01, 'pitch': 0.99, 'roll': -4.81}
{'lipoC2': 7.5, 'temp': 24.13, 'lipoC3S3': 11.48, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.39, 'datetime': '2018-10-17 10:06:57.615600', 'mgs': 0, 'depth': 0.546, 'time': 3.11, 'pitch': 0.91, 'roll': -4.82}
{'lipoC2': 7.5, 'temp': 24.06, 'lipoC3S3': 11.48, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.46, 'datetime': '2018-10-17 10:06:57.624844', 'mgs': 0, 'depth': 0.546, 'time': 3.21, 'pitch': 0.8, 'roll': -4.78}
{'lipoC2': 7.5, 'temp': 24.06, 'lipoC3S3': 11.47, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.53, 'datetime': '2018-10-17 10:06:57.639156', 'mgs': 0, 'depth': 0.546, 'time': 3.3, 'pitch': 0.67, 'roll': -4.73}
{'lipoC2': 7.5, 'temp': 24.13, 'lipoC3S3': 11.48, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.55, 'datetime': '2018-10-17 10:06:57.652603', 'mgs': 0, 'depth': 0.47, 'time': 3.4, 'pitch': 0.57, 'roll': -4.78}
{'lipoC2': 7.5, 'temp': 24.13, 'lipoC3S3': 11.48, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.56, 'datetime': '2018-10-17 10:06:57.660409', 'mgs': 0, 'depth': 0.546, 'time': 3.5, 'pitch': 0.53, 'roll': -4.89}
{'lipoC2': 7.5, 'temp': 24.13, 'lipoC3S3': 11.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 1, 'state': 'normal', 'yaw': 0.55, 'datetime': '2018-10-17 10:06:57.669551', 'mgs': 0, 'depth': 0.623, 'time': 3.6, 'pitch': 0.54, 'roll': -4.98}
{'lipoC2': 7.51, 'temp': 24.13, 'lipoC3S3': 11.31, 'rot1': 1, 'rot0': 1, 'rot3': 0, 'rot2': 1, 'state': 'normal', 'yaw': 0.47, 'datetime': '2018-10-17 10:06:57.682933', 'mgs': 0, 'depth': 1.004, 'time': 3.69, 'pitch': 0.66, 'roll': -4.76}
{'lipoC2': 7.51, 'temp': 24.13, 'lipoC3S3': 11.3, 'rot1': 2, 'rot0': 2, 'rot3': 1, 'rot2': 1, 'state': 'normal', 'yaw': 0.31, 'datetime': '2018-10-17 10:06:57.696512', 'mgs': 0, 'depth': 2.225, 'time': 3.79, 'pitch': 0.72, 'roll': -4.26}
{'lipoC2': 7.51, 'temp': 24.06, 'lipoC3S3': 11.29, 'rot1': 3, 'rot0': 3, 'rot3': 1, 'rot2': 2, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-17 10:06:57.704524', 'mgs': 0, 'depth': 1.691, 'time': 3.89, 'pitch': 0.68, 'roll': -3.78}
{'lipoC2': 7.52, 'temp': 24.06, 'lipoC3S3': 11.22, 'rot1': 4, 'rot0': 4, 'rot3': 2, 'rot2': 2, 'state': 'normal', 'yaw': -0.19, 'datetime': '2018-10-17 10:06:57.714082', 'mgs': 0, 'depth': 0.623, 'time': 3.98, 'pitch': 0.52, 'roll': -3.72}
{'lipoC2': 7.51, 'temp': 24.06, 'lipoC3S3': 11.14, 'rot1': 5, 'rot0': 5, 'rot3': 2, 'rot2': 3, 'state': 'normal', 'yaw': -0.25, 'datetime': '2018-10-17 10:06:57.737599', 'mgs': 0, 'depth': 0.775, 'time': 4.08, 'pitch': 0.38, 'roll': -4.13}
{'lipoC2': 7.5, 'temp': 24.06, 'lipoC3S3': 11.26, 'rot1': 6, 'rot0': 6, 'rot3': 2, 'rot2': 3, 'state': 'normal', 'yaw': -0.17, 'datetime': '2018-10-17 10:06:57.834266', 'mgs': 0, 'depth': 0.775, 'time': 4.18, 'pitch': 0.17, 'roll': -4.82}
{'lipoC2': 7.5, 'temp': 24.06, 'lipoC3S3': 11.31, 'rot1': 7, 'rot0': 7, 'rot3': 3, 'rot2': 4, 'state': 'normal', 'yaw': 0.01, 'datetime': '2018-10-17 10:06:57.930930', 'mgs': 0, 'depth': 0.851, 'time': 4.27, 'pitch': -0.04, 'roll': -5.45}
{'lipoC2': 7.52, 'temp': 24.13, 'lipoC3S3': 11.22, 'rot1': 8, 'rot0': 8, 'rot3': 3, 'rot2': 4, 'state': 'normal', 'yaw': 0.16, 'datetime': '2018-10-17 10:06:58.028149', 'mgs': 0, 'depth': 1.233, 'time': 4.37, 'pitch': -0.12, 'roll': -5.81}
{'lipoC2': 7.5, 'temp': 24.13, 'lipoC3S3': 11.3, 'rot1': 9, 'rot0': 9, 'rot3': 3, 'rot2': 5, 'state': 'normal', 'yaw': 0.2, 'datetime': '2018-10-17 10:06:58.126117', 'mgs': 0, 'depth': 2.454, 'time': 4.47, 'pitch': -0.13, 'roll': -5.92}
{'lipoC2': 7.51, 'temp': 24.13, 'lipoC3S3': 11.14, 'rot1': 10, 'rot0': 10, 'rot3': 4, 'rot2': 5, 'state': 'normal', 'yaw': 0.2, 'datetime': '2018-10-17 10:06:58.223793', 'mgs': 0, 'depth': 0.928, 'time': 4.57, 'pitch': -0.11, 'roll': -5.74}
{'lipoC2': 7.52, 'temp': 24.13, 'lipoC3S3': 11.29, 'rot1': 11, 'rot0': 12, 'rot3': 4, 'rot2': 6, 'state': 'normal', 'yaw': 0.14, 'datetime': '2018-10-17 10:06:58.320770', 'mgs': 0, 'depth': 1.538, 'time': 4.66, 'pitch': -0.07, 'roll': -5.35}
{'lipoC2': 7.51, 'temp': 24.13, 'lipoC3S3': 11.29, 'rot1': 12, 'rot0': 13, 'rot3': 5, 'rot2': 6, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-17 10:06:58.418605', 'mgs': 0, 'depth': 2.377, 'time': 4.76, 'pitch': -0.05, 'roll': -4.88}
{'lipoC2': 7.5, 'temp': 24.06, 'lipoC3S3': 11.29, 'rot1': 13, 'rot0': 14, 'rot3': 5, 'rot2': 7, 'state': 'normal', 'yaw': -0.18, 'datetime': '2018-10-17 10:06:58.516918', 'mgs': 0, 'depth': 1.157, 'time': 4.86, 'pitch': -0.06, 'roll': -4.35}
{'lipoC2': 7.51, 'temp': 24.06, 'lipoC3S3': 11.32, 'rot1': 14, 'rot0': 15, 'rot3': 5, 'rot2': 7, 'state': 'normal', 'yaw': -0.43, 'datetime': '2018-10-17 10:06:58.614632', 'mgs': 0, 'depth': 1.309, 'time': 4.96, 'pitch': -0.08, 'roll': -3.76}
{'lipoC2': 7.5, 'temp': 24.06, 'lipoC3S3': 11.34, 'rot1': 15, 'rot0': 16, 'rot3': 5, 'rot2': 7, 'state': 'normal', 'yaw': -0.71, 'datetime': '2018-10-17 10:06:58.713867', 'mgs': 0, 'depth': 2.454, 'time': 5.05, 'pitch': -0.1, 'roll': -3.08}
{'lipoC2': 7.5, 'temp': 24.13, 'lipoC3S3': 11.36, 'rot1': 16, 'rot0': 17, 'rot3': 5, 'rot2': 7, 'state': 'normal', 'yaw': -0.98, 'datetime': '2018-10-17 10:06:58.812161', 'mgs': 0, 'depth': 1.385, 'time': 5.15, 'pitch': -0.11, 'roll': -2.41}
