{'lipoC2': 8.16, 'temp': 25.75, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.01, 'datetime': '2018-10-26 09:54:24.223547', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 2.91, 'pitch': -23.88, 'roll': 46.02}
{'lipoC2': 8.17, 'temp': 25.69, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.01, 'datetime': '2018-10-26 09:54:24.244311', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.01, 'pitch': -23.88, 'roll': 46.02}
{'lipoC2': 8.17, 'temp': 25.69, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.01, 'datetime': '2018-10-26 09:54:24.268037', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.11, 'pitch': -23.88, 'roll': 46.02}
{'lipoC2': 8.17, 'temp': 25.75, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.064, 'yaw': -0.01, 'datetime': '2018-10-26 09:54:24.291992', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.22, 'pitch': -23.88, 'roll': 46.02}
{'lipoC2': 8.16, 'temp': 25.75, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.01, 'datetime': '2018-10-26 09:54:24.316534', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.32, 'pitch': -23.88, 'roll': 46.02}
{'lipoC2': 8.17, 'temp': 25.69, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.01, 'datetime': '2018-10-26 09:54:24.340419', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.42, 'pitch': -23.88, 'roll': 46.02}
{'lipoC2': 8.16, 'temp': 25.69, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.01, 'datetime': '2018-10-26 09:54:24.364395', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.53, 'pitch': -23.88, 'roll': 46.02}
{'lipoC2': 8.16, 'temp': 25.69, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.01, 'datetime': '2018-10-26 09:54:24.388301', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.63, 'pitch': -23.88, 'roll': 46.02}
{'lipoC2': 8.16, 'temp': 25.75, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.01, 'datetime': '2018-10-26 09:54:24.411906', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.73, 'pitch': -23.88, 'roll': 46.02}
{'lipoC2': 8.16, 'temp': 25.75, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.01, 'datetime': '2018-10-26 09:54:24.435878', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.84, 'pitch': -23.88, 'roll': 46.02}
{'lipoC2': 8.17, 'temp': 25.69, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.064, 'yaw': -0.01, 'datetime': '2018-10-26 09:54:24.459850', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.94, 'pitch': -23.88, 'roll': 46.02}
{'lipoC2': 8.16, 'temp': 25.69, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.01, 'datetime': '2018-10-26 09:54:24.483718', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 4.04, 'pitch': -23.88, 'roll': 46.02}
{'lipoC2': 8.16, 'temp': 25.75, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': -0.01, 'datetime': '2018-10-26 09:54:24.508330', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 4.14, 'pitch': -23.88, 'roll': 46.02}
{'lipoC2': 8.16, 'temp': 25.75, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.01, 'datetime': '2018-10-26 09:54:24.529344', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 4.25, 'pitch': -23.88, 'roll': 46.02}
{'lipoC2': 8.16, 'temp': 25.75, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.01, 'datetime': '2018-10-26 09:54:24.553267', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 4.35, 'pitch': -23.88, 'roll': 46.02}
{'lipoC2': 8.16, 'temp': 25.75, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.01, 'datetime': '2018-10-26 09:54:24.577225', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 4.45, 'pitch': -23.88, 'roll': 46.02}
{'lipoC2': 8.16, 'temp': 25.75, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.02, 'datetime': '2018-10-26 09:54:24.601137', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 4.56, 'pitch': -23.89, 'roll': 46.02}
{'lipoC2': 8.16, 'temp': 25.69, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.02, 'datetime': '2018-10-26 09:54:24.625582', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 4.66, 'pitch': -23.89, 'roll': 46.02}
{'lipoC2': 8.17, 'temp': 25.69, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': -0.02, 'datetime': '2018-10-26 09:54:24.649457', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 4.76, 'pitch': -23.89, 'roll': 46.02}
{'lipoC2': 8.16, 'temp': 25.69, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.02, 'datetime': '2018-10-26 09:54:24.673568', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 4.87, 'pitch': -23.89, 'roll': 46.02}
{'lipoC2': 8.16, 'temp': 25.69, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.02, 'datetime': '2018-10-26 09:54:24.697440', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 4.97, 'pitch': -23.89, 'roll': 46.02}
{'lipoC2': 8.16, 'temp': 25.69, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.02, 'datetime': '2018-10-26 09:54:24.719978', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 5.07, 'pitch': -23.89, 'roll': 46.02}
{'lipoC2': 8.16, 'temp': 25.69, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.03, 'datetime': '2018-10-26 09:54:24.740751', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 5.18, 'pitch': -23.88, 'roll': 46.02}
{'lipoC2': 8.17, 'temp': 25.69, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.064, 'yaw': -0.03, 'datetime': '2018-10-26 09:54:24.761604', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 5.28, 'pitch': -23.88, 'roll': 46.02}
{'lipoC2': 8.16, 'temp': 25.69, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.03, 'datetime': '2018-10-26 09:54:24.787942', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 5.38, 'pitch': -23.88, 'roll': 46.02}
{'lipoC2': 8.17, 'temp': 25.69, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.01, 'datetime': '2018-10-26 09:54:24.810732', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 5.48, 'pitch': -23.88, 'roll': 46.02}
{'lipoC2': 8.16, 'temp': 25.75, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.01, 'datetime': '2018-10-26 09:54:24.835064', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 5.59, 'pitch': -23.88, 'roll': 46.02}
{'lipoC2': 8.17, 'temp': 25.75, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.064, 'yaw': -0.02, 'datetime': '2018-10-26 09:54:24.859021', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 5.69, 'pitch': -23.88, 'roll': 46.02}
