{'lipoC2': 7.78, 'temp': 29.94, 'lipoC3S3': 12.18, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 21:01:24.858640', 'mgs': 0, 'depth': -0.827, 'time': 3.12, 'pitch': 1.73, 'roll': 1.08}
{'lipoC2': 7.78, 'temp': 29.88, 'lipoC3S3': 12.18, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 21:01:24.956996', 'mgs': 0, 'depth': -0.827, 'time': 3.21, 'pitch': 1.7, 'roll': 1.08}
{'lipoC2': 7.78, 'temp': 29.88, 'lipoC3S3': 12.18, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 21:01:25.055453', 'mgs': 0, 'depth': -0.827, 'time': 3.31, 'pitch': 1.7, 'roll': 1.08}
{'lipoC2': 7.78, 'temp': 29.88, 'lipoC3S3': 12.18, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 21:01:25.152492', 'mgs': 0, 'depth': -0.827, 'time': 3.41, 'pitch': 1.7, 'roll': 1.08}
{'lipoC2': 7.78, 'temp': 29.88, 'lipoC3S3': 12.18, 'rot1': 2, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 21:01:25.249758', 'mgs': 0, 'depth': -0.827, 'time': 3.51, 'pitch': 1.67, 'roll': 1.07}
{'lipoC2': 7.78, 'temp': 29.88, 'lipoC3S3': 12.19, 'rot1': 2, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 21:01:25.348030', 'mgs': 0, 'depth': -0.827, 'time': 3.61, 'pitch': 1.65, 'roll': 1.08}
{'lipoC2': 7.78, 'temp': 29.88, 'lipoC3S3': 12.18, 'rot1': 2, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 21:01:25.446463', 'mgs': 0, 'depth': -0.827, 'time': 3.7, 'pitch': 1.63, 'roll': 1.06}
{'lipoC2': 7.78, 'temp': 29.88, 'lipoC3S3': 12.18, 'rot1': 2, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 21:01:25.543941', 'mgs': 0, 'depth': -0.827, 'time': 3.8, 'pitch': 1.62, 'roll': 1.07}
{'lipoC2': 7.78, 'temp': 29.88, 'lipoC3S3': 12.19, 'rot1': 2, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 21:01:25.640996', 'mgs': 0, 'depth': -0.751, 'time': 3.9, 'pitch': 1.62, 'roll': 1.09}
{'lipoC2': 7.78, 'temp': 29.88, 'lipoC3S3': 12.18, 'rot1': 3, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 21:01:25.739069', 'mgs': 0, 'depth': -0.827, 'time': 4.0, 'pitch': 1.62, 'roll': 1.09}
