{'lipoC2': 7.9, 'temp': 24.56, 'lipoC3S3': 11.93, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 13:35:53.749025', 'mgs': 0, 'depth': 1.767, 'time': 1.26, 'pitch': -3.76, 'roll': -3.26}
{'lipoC2': 7.9, 'temp': 24.56, 'lipoC3S3': 11.93, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-12 13:35:53.765844', 'mgs': 0, 'depth': 1.691, 'time': 1.36, 'pitch': -4.06, 'roll': -3.97}
{'lipoC2': 7.91, 'temp': 24.56, 'lipoC3S3': 11.93, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.04, 'datetime': '2018-10-12 13:35:53.782693', 'mgs': 0, 'depth': 1.843, 'time': 1.45, 'pitch': -4.14, 'roll': -4.47}
{'lipoC2': 7.9, 'temp': 24.56, 'lipoC3S3': 11.94, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.08, 'datetime': '2018-10-12 13:35:53.799411', 'mgs': 0, 'depth': 1.691, 'time': 1.55, 'pitch': -3.97, 'roll': -3.92}
{'lipoC2': 7.9, 'temp': 24.56, 'lipoC3S3': 11.93, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.18, 'datetime': '2018-10-12 13:35:53.816154', 'mgs': 0, 'depth': 1.767, 'time': 1.65, 'pitch': -3.69, 'roll': -3.68}
{'lipoC2': 7.91, 'temp': 24.56, 'lipoC3S3': 11.93, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.07, 'datetime': '2018-10-12 13:35:53.832989', 'mgs': 0, 'depth': 1.767, 'time': 1.74, 'pitch': -3.49, 'roll': -3.93}
{'lipoC2': 7.9, 'temp': 24.56, 'lipoC3S3': 11.94, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.19, 'datetime': '2018-10-12 13:35:53.882247', 'mgs': 0, 'depth': 1.691, 'time': 1.84, 'pitch': -3.39, 'roll': -4.53}
{'lipoC2': 7.9, 'temp': 24.56, 'lipoC3S3': 11.93, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.55, 'datetime': '2018-10-12 13:35:53.975423', 'mgs': 0, 'depth': 1.767, 'time': 1.94, 'pitch': -3.27, 'roll': -5.08}
{'lipoC2': 7.91, 'temp': 24.56, 'lipoC3S3': 11.93, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.84, 'datetime': '2018-10-12 13:35:54.072383', 'mgs': 0, 'depth': 1.767, 'time': 2.04, 'pitch': -3.01, 'roll': -4.8}
{'lipoC2': 7.9, 'temp': 24.56, 'lipoC3S3': 11.94, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.04, 'datetime': '2018-10-12 13:35:54.170713', 'mgs': 0, 'depth': 1.767, 'time': 2.13, 'pitch': -2.67, 'roll': -4.41}
{'lipoC2': 7.9, 'temp': 24.56, 'lipoC3S3': 11.93, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.31, 'datetime': '2018-10-12 13:35:54.268982', 'mgs': 0, 'depth': 1.767, 'time': 2.23, 'pitch': -2.26, 'roll': -4.25}
{'lipoC2': 7.9, 'temp': 24.56, 'lipoC3S3': 11.94, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.66, 'datetime': '2018-10-12 13:35:54.365998', 'mgs': 0, 'depth': 1.614, 'time': 2.33, 'pitch': -1.89, 'roll': -4.14}
{'lipoC2': 7.9, 'temp': 24.56, 'lipoC3S3': 11.93, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.02, 'datetime': '2018-10-12 13:35:54.463000', 'mgs': 0, 'depth': 1.767, 'time': 2.43, 'pitch': -1.6, 'roll': -4.25}
{'lipoC2': 7.9, 'temp': 24.56, 'lipoC3S3': 11.94, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.29, 'datetime': '2018-10-12 13:35:54.561312', 'mgs': 0, 'depth': 1.691, 'time': 2.53, 'pitch': -1.38, 'roll': -4.4}
{'lipoC2': 7.9, 'temp': 24.56, 'lipoC3S3': 11.93, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.5, 'datetime': '2018-10-12 13:35:54.664623', 'mgs': 0, 'depth': 1.767, 'time': 2.62, 'pitch': -1.15, 'roll': -4.31}
{'lipoC2': 7.9, 'temp': 24.5, 'lipoC3S3': 11.93, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.61, 'datetime': '2018-10-12 13:35:54.761655', 'mgs': 0, 'depth': 1.691, 'time': 2.72, 'pitch': -0.98, 'roll': -4.17}
