{'lipoC2': 7.9, 'temp': 28.06, 'lipoC3S3': 12.26, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:31:34.506029', 'mgs': 0, 'depth': -0.064, 'time': 1.26, 'pitch': 1.36, 'roll': -0.86}
{'lipoC2': 7.9, 'temp': 28.06, 'lipoC3S3': 12.25, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:31:34.523880', 'mgs': 0, 'depth': -0.217, 'time': 1.36, 'pitch': 1.36, 'roll': -0.82}
{'lipoC2': 7.91, 'temp': 28.06, 'lipoC3S3': 12.25, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:31:34.542172', 'mgs': 0, 'depth': -0.14, 'time': 1.46, 'pitch': 1.35, 'roll': -0.8}
{'lipoC2': 7.9, 'temp': 28.06, 'lipoC3S3': 12.25, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:31:34.560496', 'mgs': 0, 'depth': -0.217, 'time': 1.55, 'pitch': 1.36, 'roll': -0.8}
{'lipoC2': 7.9, 'temp': 28.06, 'lipoC3S3': 12.25, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:31:34.577006', 'mgs': 0, 'depth': -0.14, 'time': 1.65, 'pitch': 1.34, 'roll': -0.78}
{'lipoC2': 7.9, 'temp': 28.06, 'lipoC3S3': 12.26, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:31:34.585010', 'mgs': 0, 'depth': -0.217, 'time': 1.75, 'pitch': 1.34, 'roll': -0.8}
{'lipoC2': 7.9, 'temp': 28.06, 'lipoC3S3': 12.25, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 20:31:34.592975', 'mgs': 0, 'depth': -0.14, 'time': 1.85, 'pitch': 1.32, 'roll': -0.8}
{'lipoC2': 7.91, 'temp': 28.0, 'lipoC3S3': 12.25, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 20:31:34.601042', 'mgs': 0, 'depth': -0.217, 'time': 1.94, 'pitch': 1.33, 'roll': -0.77}
{'lipoC2': 7.9, 'temp': 28.0, 'lipoC3S3': 12.25, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 20:31:34.609074', 'mgs': 0, 'depth': -0.14, 'time': 2.04, 'pitch': 1.33, 'roll': -0.71}
{'lipoC2': 7.9, 'temp': 28.0, 'lipoC3S3': 12.26, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 20:31:34.617090', 'mgs': 0, 'depth': -0.217, 'time': 2.14, 'pitch': 1.35, 'roll': -0.74}
{'lipoC2': 7.9, 'temp': 28.06, 'lipoC3S3': 12.26, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 20:31:34.625098', 'mgs': 0, 'depth': -0.217, 'time': 2.24, 'pitch': 1.35, 'roll': -0.79}
