{'lipoC2': 7.69, 'temp': 28.94, 'lipoC3S3': 11.3, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-05 15:50:37.966304', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.26, 'pitch': 1.01, 'roll': -2.31}
{'lipoC2': 7.69, 'temp': 28.94, 'lipoC3S3': 11.3, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-05 15:50:38.000960', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.36, 'pitch': 1.01, 'roll': -2.31}
{'lipoC2': 7.68, 'temp': 28.88, 'lipoC3S3': 11.31, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-05 15:50:38.025380', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.47, 'pitch': 1.01, 'roll': -2.31}
{'lipoC2': 7.68, 'temp': 28.88, 'lipoC3S3': 11.3, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-05 15:50:38.045730', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.57, 'pitch': 1.01, 'roll': -2.31}
{'lipoC2': 7.69, 'temp': 28.88, 'lipoC3S3': 11.3, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-05 15:50:38.066131', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.67, 'pitch': 1.01, 'roll': -2.31}
{'lipoC2': 7.68, 'temp': 28.88, 'lipoC3S3': 11.3, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-05 15:50:38.086515', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.77, 'pitch': 1.01, 'roll': -2.31}
{'lipoC2': 7.68, 'temp': 28.88, 'lipoC3S3': 11.3, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-05 15:50:38.106904', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.88, 'pitch': 1.01, 'roll': -2.31}
{'lipoC2': 7.69, 'temp': 28.88, 'lipoC3S3': 11.3, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-05 15:50:38.127317', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.98, 'pitch': 1.01, 'roll': -2.31}
{'lipoC2': 7.69, 'temp': 28.88, 'lipoC3S3': 11.29, 'state': 'normal', 'rot1': 0, 'rot0': 11, 'rot3': 0, 'rot2': 2, 'depth': 0.546, 'yaw': 0.0, 'datetime': '2018-11-05 15:50:38.744431', 'mgs': 0, 'flw2': 1.18, 'flw1': 0.79, 'flw0': 0.0, 'time': 1.26, 'pitch': 1.01, 'roll': -2.31}
{'lipoC2': 7.68, 'temp': 28.88, 'lipoC3S3': 11.29, 'state': 'normal', 'rot1': 0, 'rot0': 13, 'rot3': 0, 'rot2': 3, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-05 15:50:38.846945', 'mgs': 0, 'flw2': 1.18, 'flw1': 0.76, 'flw0': 0.0, 'time': 1.36, 'pitch': 1.01, 'roll': -2.31}
{'lipoC2': 7.69, 'temp': 28.88, 'lipoC3S3': 11.27, 'state': 'normal', 'rot1': 0, 'rot0': 15, 'rot3': 0, 'rot2': 3, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-05 15:50:38.953053', 'mgs': 0, 'flw2': 1.2, 'flw1': 0.7, 'flw0': 0.0, 'time': 1.47, 'pitch': 1.01, 'roll': -2.31}
