{'lipoC2': 7.76, 'temp': 23.63, 'lipoC3S3': 11.69, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.25, 'datetime': '2018-10-12 14:13:37.799951', 'mgs': 0, 'depth': 2.072, 'time': 1.36, 'pitch': -2.13, 'roll': -18.6}
{'lipoC2': 7.75, 'temp': 23.63, 'lipoC3S3': 11.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.5, 'datetime': '2018-10-12 14:13:37.817048', 'mgs': 0, 'depth': 2.148, 'time': 1.45, 'pitch': -2.35, 'roll': -18.57}
{'lipoC2': 7.75, 'temp': 23.63, 'lipoC3S3': 11.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.76, 'datetime': '2018-10-12 14:13:37.834096', 'mgs': 0, 'depth': 2.072, 'time': 1.55, 'pitch': -2.59, 'roll': -18.61}
{'lipoC2': 7.75, 'temp': 23.63, 'lipoC3S3': 11.69, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.99, 'datetime': '2018-10-12 14:13:37.851405', 'mgs': 0, 'depth': 2.072, 'time': 1.65, 'pitch': -2.84, 'roll': -18.65}
{'lipoC2': 7.76, 'temp': 23.63, 'lipoC3S3': 11.69, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.2, 'datetime': '2018-10-12 14:13:37.868473', 'mgs': 0, 'depth': 1.996, 'time': 1.75, 'pitch': -3.06, 'roll': -18.7}
{'lipoC2': 7.75, 'temp': 23.63, 'lipoC3S3': 11.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.43, 'datetime': '2018-10-12 14:13:37.877948', 'mgs': 0, 'depth': 1.996, 'time': 1.85, 'pitch': -3.24, 'roll': -18.66}
{'lipoC2': 7.75, 'temp': 23.56, 'lipoC3S3': 11.69, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.64, 'datetime': '2018-10-12 14:13:37.885332', 'mgs': 0, 'depth': 2.072, 'time': 1.94, 'pitch': -3.44, 'roll': -18.57}
{'lipoC2': 7.76, 'temp': 23.56, 'lipoC3S3': 11.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.84, 'datetime': '2018-10-12 14:13:37.892754', 'mgs': 0, 'depth': 2.148, 'time': 2.04, 'pitch': -3.74, 'roll': -18.45}
{'lipoC2': 7.75, 'temp': 23.56, 'lipoC3S3': 11.69, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 2.03, 'datetime': '2018-10-12 14:13:37.947496', 'mgs': 0, 'depth': 2.148, 'time': 2.14, 'pitch': -4.03, 'roll': -18.3}
{'lipoC2': 7.75, 'temp': 23.63, 'lipoC3S3': 11.69, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 2.17, 'datetime': '2018-10-12 14:13:38.044652', 'mgs': 0, 'depth': 2.072, 'time': 2.24, 'pitch': -4.26, 'roll': -18.19}
{'lipoC2': 7.76, 'temp': 23.63, 'lipoC3S3': 11.69, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 2.23, 'datetime': '2018-10-12 14:13:38.142984', 'mgs': 0, 'depth': 2.072, 'time': 2.33, 'pitch': -4.42, 'roll': -18.15}
{'lipoC2': 7.75, 'temp': 23.63, 'lipoC3S3': 11.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 2.26, 'datetime': '2018-10-12 14:13:38.241291', 'mgs': 0, 'depth': 2.072, 'time': 2.43, 'pitch': -4.51, 'roll': -18.06}
{'lipoC2': 7.75, 'temp': 23.63, 'lipoC3S3': 11.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 2.26, 'datetime': '2018-10-12 14:13:38.338330', 'mgs': 0, 'depth': 2.072, 'time': 2.53, 'pitch': -4.49, 'roll': -18.05}
{'lipoC2': 7.76, 'temp': 23.63, 'lipoC3S3': 11.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 2.22, 'datetime': '2018-10-12 14:13:38.435389', 'mgs': 0, 'depth': 2.072, 'time': 2.63, 'pitch': -4.38, 'roll': -18.1}
{'lipoC2': 7.75, 'temp': 23.63, 'lipoC3S3': 11.69, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 2.17, 'datetime': '2018-10-12 14:13:38.532423', 'mgs': 0, 'depth': 2.072, 'time': 2.72, 'pitch': -4.24, 'roll': -18.12}
{'lipoC2': 7.75, 'temp': 23.63, 'lipoC3S3': 11.69, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 2.09, 'datetime': '2018-10-12 14:13:38.634894', 'mgs': 0, 'depth': 2.148, 'time': 2.82, 'pitch': -4.04, 'roll': -18.08}
{'lipoC2': 7.75, 'temp': 23.63, 'lipoC3S3': 11.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.94, 'datetime': '2018-10-12 14:13:38.732155', 'mgs': 0, 'depth': 2.072, 'time': 2.92, 'pitch': -3.84, 'roll': -18.04}
{'lipoC2': 7.75, 'temp': 23.63, 'lipoC3S3': 11.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.79, 'datetime': '2018-10-12 14:13:38.829036', 'mgs': 0, 'depth': 1.996, 'time': 3.02, 'pitch': -3.66, 'roll': -18.06}
{'lipoC2': 7.75, 'temp': 23.63, 'lipoC3S3': 11.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.6, 'datetime': '2018-10-12 14:13:38.926189', 'mgs': 0, 'depth': 2.072, 'time': 3.11, 'pitch': -3.42, 'roll': -18.05}
{'lipoC2': 7.75, 'temp': 23.56, 'lipoC3S3': 11.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.41, 'datetime': '2018-10-12 14:13:39.023255', 'mgs': 0, 'depth': 2.072, 'time': 3.21, 'pitch': -3.12, 'roll': -17.94}
{'lipoC2': 7.75, 'temp': 23.56, 'lipoC3S3': 11.69, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.21, 'datetime': '2018-10-12 14:13:39.121551', 'mgs': 0, 'depth': 2.072, 'time': 3.31, 'pitch': -2.83, 'roll': -17.78}
{'lipoC2': 7.75, 'temp': 23.63, 'lipoC3S3': 11.69, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.92, 'datetime': '2018-10-12 14:13:39.219859', 'mgs': 0, 'depth': 2.072, 'time': 3.41, 'pitch': -2.48, 'roll': -17.56}
{'lipoC2': 7.75, 'temp': 23.63, 'lipoC3S3': 11.69, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.66, 'datetime': '2018-10-12 14:13:39.317468', 'mgs': 0, 'depth': 2.072, 'time': 3.51, 'pitch': -2.03, 'roll': -17.5}
{'lipoC2': 7.75, 'temp': 23.63, 'lipoC3S3': 11.69, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.44, 'datetime': '2018-10-12 14:13:39.414473', 'mgs': 0, 'depth': 2.072, 'time': 3.6, 'pitch': -1.54, 'roll': -17.52}
{'lipoC2': 7.76, 'temp': 23.63, 'lipoC3S3': 11.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.21, 'datetime': '2018-10-12 14:13:39.512348', 'mgs': 0, 'depth': 1.92, 'time': 3.7, 'pitch': -1.22, 'roll': -17.61}
{'lipoC2': 7.76, 'temp': 23.63, 'lipoC3S3': 11.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.02, 'datetime': '2018-10-12 14:13:39.610703', 'mgs': 0, 'depth': 1.996, 'time': 3.8, 'pitch': -0.98, 'roll': -17.77}
{'lipoC2': 7.75, 'temp': 23.56, 'lipoC3S3': 11.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.06, 'datetime': '2018-10-12 14:13:39.708729', 'mgs': 0, 'depth': 1.996, 'time': 3.9, 'pitch': -0.81, 'roll': -17.89}
{'lipoC2': 7.75, 'temp': 23.56, 'lipoC3S3': 11.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 14:13:39.805799', 'mgs': 0, 'depth': 1.996, 'time': 3.99, 'pitch': -0.81, 'roll': -17.89}
{'lipoC2': 7.75, 'temp': 23.56, 'lipoC3S3': 11.69, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.07, 'datetime': '2018-10-12 14:13:39.903387', 'mgs': 0, 'depth': 1.996, 'time': 4.09, 'pitch': -1.01, 'roll': -17.83}
{'lipoC2': 7.75, 'temp': 23.56, 'lipoC3S3': 11.69, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.34, 'datetime': '2018-10-12 14:13:40.001785', 'mgs': 0, 'depth': 2.072, 'time': 4.19, 'pitch': -1.24, 'roll': -17.73}
{'lipoC2': 7.76, 'temp': 23.56, 'lipoC3S3': 11.69, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.74, 'datetime': '2018-10-12 14:13:40.098687', 'mgs': 0, 'depth': 1.996, 'time': 4.29, 'pitch': -1.42, 'roll': -17.66}
{'lipoC2': 7.75, 'temp': 23.63, 'lipoC3S3': 11.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.11, 'datetime': '2018-10-12 14:13:40.195743', 'mgs': 0, 'depth': 2.072, 'time': 4.38, 'pitch': -1.62, 'roll': -17.64}
{'lipoC2': 7.75, 'temp': 23.63, 'lipoC3S3': 11.69, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.36, 'datetime': '2018-10-12 14:13:40.292778', 'mgs': 0, 'depth': 2.072, 'time': 4.48, 'pitch': -1.85, 'roll': -17.65}
{'lipoC2': 7.75, 'temp': 23.63, 'lipoC3S3': 11.69, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.69, 'datetime': '2018-10-12 14:13:40.389801', 'mgs': 0, 'depth': 1.996, 'time': 4.58, 'pitch': -2.09, 'roll': -17.65}
{'lipoC2': 7.76, 'temp': 23.56, 'lipoC3S3': 11.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 2.11, 'datetime': '2018-10-12 14:13:40.487024', 'mgs': 0, 'depth': 2.072, 'time': 4.68, 'pitch': -2.29, 'roll': -17.68}
{'lipoC2': 7.75, 'temp': 23.56, 'lipoC3S3': 11.69, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 2.46, 'datetime': '2018-10-12 14:13:40.584143', 'mgs': 0, 'depth': 2.072, 'time': 4.77, 'pitch': -2.54, 'roll': -17.69}
{'lipoC2': 7.75, 'temp': 23.63, 'lipoC3S3': 11.69, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 2.78, 'datetime': '2018-10-12 14:13:40.681164', 'mgs': 0, 'depth': 2.072, 'time': 4.87, 'pitch': -2.89, 'roll': -17.79}
{'lipoC2': 7.76, 'temp': 23.63, 'lipoC3S3': 11.69, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 3.08, 'datetime': '2018-10-12 14:13:40.778158', 'mgs': 0, 'depth': 2.072, 'time': 4.97, 'pitch': -3.13, 'roll': -17.92}
{'lipoC2': 7.76, 'temp': 23.63, 'lipoC3S3': 11.69, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 3.37, 'datetime': '2018-10-12 14:13:40.875460', 'mgs': 0, 'depth': 2.072, 'time': 5.06, 'pitch': -3.18, 'roll': -18.11}
{'lipoC2': 7.75, 'temp': 23.63, 'lipoC3S3': 11.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 3.53, 'datetime': '2018-10-12 14:13:40.973783', 'mgs': 0, 'depth': 2.072, 'time': 5.16, 'pitch': -3.15, 'roll': -18.24}
{'lipoC2': 7.75, 'temp': 23.63, 'lipoC3S3': 11.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 3.55, 'datetime': '2018-10-12 14:13:41.072193', 'mgs': 0, 'depth': 1.996, 'time': 5.26, 'pitch': -3.14, 'roll': -18.25}
{'lipoC2': 7.75, 'temp': 23.63, 'lipoC3S3': 11.69, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 3.52, 'datetime': '2018-10-12 14:13:41.169204', 'mgs': 0, 'depth': 2.148, 'time': 5.36, 'pitch': -3.07, 'roll': -18.25}
{'lipoC2': 7.75, 'temp': 23.63, 'lipoC3S3': 11.69, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 3.45, 'datetime': '2018-10-12 14:13:41.266189', 'mgs': 0, 'depth': 2.072, 'time': 5.45, 'pitch': -2.88, 'roll': -18.34}
{'lipoC2': 7.75, 'temp': 23.63, 'lipoC3S3': 11.69, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 3.38, 'datetime': '2018-10-12 14:13:41.362993', 'mgs': 0, 'depth': 2.148, 'time': 5.55, 'pitch': -2.7, 'roll': -18.45}
