{'lipoC2': 7.92, 'temp': 24.75, 'lipoC3S3': 11.98, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.06, 'datetime': '2018-10-12 13:33:07.654850', 'mgs': 0, 'depth': 2.072, 'time': 1.26, 'pitch': -4.26, 'roll': -5.25}
{'lipoC2': 7.92, 'temp': 24.75, 'lipoC3S3': 12.0, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.64, 'datetime': '2018-10-12 13:33:07.671972', 'mgs': 0, 'depth': 2.072, 'time': 1.36, 'pitch': -4.49, 'roll': -5.87}
{'lipoC2': 7.91, 'temp': 24.75, 'lipoC3S3': 11.98, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.11, 'datetime': '2018-10-12 13:33:07.680616', 'mgs': 0, 'depth': 2.072, 'time': 1.46, 'pitch': -4.69, 'roll': -6.4}
{'lipoC2': 7.92, 'temp': 24.81, 'lipoC3S3': 11.98, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.54, 'datetime': '2018-10-12 13:33:07.687986', 'mgs': 0, 'depth': 2.072, 'time': 1.55, 'pitch': -4.95, 'roll': -6.81}
{'lipoC2': 7.92, 'temp': 24.81, 'lipoC3S3': 11.98, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.74, 'datetime': '2018-10-12 13:33:07.695451', 'mgs': 0, 'depth': 2.072, 'time': 1.65, 'pitch': -5.23, 'roll': -6.94}
{'lipoC2': 7.92, 'temp': 24.75, 'lipoC3S3': 11.98, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.7, 'datetime': '2018-10-12 13:33:07.774234', 'mgs': 0, 'depth': 2.148, 'time': 1.75, 'pitch': -5.45, 'roll': -7.02}
{'lipoC2': 7.91, 'temp': 24.75, 'lipoC3S3': 11.98, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.54, 'datetime': '2018-10-12 13:33:07.871243', 'mgs': 0, 'depth': 2.148, 'time': 1.85, 'pitch': -5.62, 'roll': -6.93}
{'lipoC2': 7.91, 'temp': 24.75, 'lipoC3S3': 11.98, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.42, 'datetime': '2018-10-12 13:33:07.968264', 'mgs': 0, 'depth': 2.148, 'time': 1.94, 'pitch': -5.56, 'roll': -6.61}
{'lipoC2': 7.91, 'temp': 24.75, 'lipoC3S3': 11.98, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.25, 'datetime': '2018-10-12 13:33:08.065347', 'mgs': 0, 'depth': 2.148, 'time': 2.04, 'pitch': -5.34, 'roll': -6.43}
{'lipoC2': 7.92, 'temp': 24.75, 'lipoC3S3': 11.98, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.05, 'datetime': '2018-10-12 13:33:08.162370', 'mgs': 0, 'depth': 2.072, 'time': 2.14, 'pitch': -4.96, 'roll': -6.35}
{'lipoC2': 7.92, 'temp': 24.75, 'lipoC3S3': 11.98, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.95, 'datetime': '2018-10-12 13:33:08.259381', 'mgs': 0, 'depth': 2.072, 'time': 2.23, 'pitch': -4.28, 'roll': -6.12}
