{'lipoC2': 8.06, 'temp': 25.13, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 15:40:39.856981', 'mgs': 0, 'depth': -0.369, 'time': 3.21, 'pitch': -3.37, 'roll': -2.72}
{'lipoC2': 8.06, 'temp': 25.13, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 15:40:39.955887', 'mgs': 0, 'depth': -0.369, 'time': 3.31, 'pitch': -3.38, 'roll': -2.69}
{'lipoC2': 8.06, 'temp': 25.13, 'lipoC3S3': 12.51, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 15:40:40.053181', 'mgs': 0, 'depth': -0.369, 'time': 3.41, 'pitch': -3.38, 'roll': -2.71}
{'lipoC2': 8.06, 'temp': 25.13, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 15:40:40.150285', 'mgs': 0, 'depth': -0.293, 'time': 3.51, 'pitch': -3.38, 'roll': -2.69}
{'lipoC2': 8.06, 'temp': 25.13, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 15:40:40.248278', 'mgs': 0, 'depth': -0.369, 'time': 3.61, 'pitch': -3.38, 'roll': -2.69}
{'lipoC2': 8.06, 'temp': 25.13, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 15:40:40.346581', 'mgs': 0, 'depth': -0.369, 'time': 3.7, 'pitch': -3.38, 'roll': -2.69}
{'lipoC2': 8.06, 'temp': 25.13, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 15:40:40.444053', 'mgs': 0, 'depth': -0.293, 'time': 3.8, 'pitch': -3.38, 'roll': -2.7}
{'lipoC2': 8.06, 'temp': 25.19, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 15:40:40.541117', 'mgs': 0, 'depth': -0.293, 'time': 3.9, 'pitch': -3.38, 'roll': -2.7}
{'lipoC2': 8.06, 'temp': 25.19, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 15:40:40.638795', 'mgs': 0, 'depth': -0.293, 'time': 4.0, 'pitch': -3.38, 'roll': -2.7}
{'lipoC2': 8.06, 'temp': 25.19, 'lipoC3S3': 12.51, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 15:40:40.737178', 'mgs': 0, 'depth': -0.369, 'time': 4.1, 'pitch': -3.38, 'roll': -2.7}
{'lipoC2': 8.06, 'temp': 25.13, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 15:40:40.834719', 'mgs': 0, 'depth': -0.369, 'time': 4.19, 'pitch': -3.39, 'roll': -2.69}
{'lipoC2': 8.06, 'temp': 25.13, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 15:40:40.931745', 'mgs': 0, 'depth': -0.293, 'time': 4.29, 'pitch': -3.42, 'roll': -2.64}
