{'lipoC2': 7.76, 'temp': 23.56, 'lipoC3S3': 11.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 14:09:43.711408', 'mgs': 0, 'depth': 1.843, 'time': 1.26, 'pitch': -2.12, 'roll': -8.29}
{'lipoC2': 7.76, 'temp': 23.56, 'lipoC3S3': 11.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.3, 'datetime': '2018-10-12 14:09:43.728995', 'mgs': 0, 'depth': 1.843, 'time': 1.36, 'pitch': -1.53, 'roll': -7.96}
{'lipoC2': 7.77, 'temp': 23.56, 'lipoC3S3': 11.69, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.46, 'datetime': '2018-10-12 14:09:43.746623', 'mgs': 0, 'depth': 1.843, 'time': 1.45, 'pitch': -0.87, 'roll': -7.87}
{'lipoC2': 7.77, 'temp': 23.56, 'lipoC3S3': 11.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.52, 'datetime': '2018-10-12 14:09:43.761940', 'mgs': 0, 'depth': 1.843, 'time': 1.55, 'pitch': -0.18, 'roll': -8.09}
{'lipoC2': 7.77, 'temp': 23.56, 'lipoC3S3': 11.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.6, 'datetime': '2018-10-12 14:09:43.769748', 'mgs': 0, 'depth': 1.843, 'time': 1.65, 'pitch': 0.49, 'roll': -8.27}
{'lipoC2': 7.77, 'temp': 23.56, 'lipoC3S3': 11.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.72, 'datetime': '2018-10-12 14:09:43.777426', 'mgs': 0, 'depth': 1.843, 'time': 1.75, 'pitch': 0.89, 'roll': -8.31}
{'lipoC2': 7.77, 'temp': 23.56, 'lipoC3S3': 11.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.86, 'datetime': '2018-10-12 14:09:43.784965', 'mgs': 0, 'depth': 1.843, 'time': 1.85, 'pitch': 0.93, 'roll': -8.22}
{'lipoC2': 7.76, 'temp': 23.56, 'lipoC3S3': 11.69, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.01, 'datetime': '2018-10-12 14:09:43.792629', 'mgs': 0, 'depth': 1.843, 'time': 1.94, 'pitch': 0.69, 'roll': -8.1}
{'lipoC2': 7.76, 'temp': 23.56, 'lipoC3S3': 11.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.12, 'datetime': '2018-10-12 14:09:43.800101', 'mgs': 0, 'depth': 1.92, 'time': 2.04, 'pitch': 0.27, 'roll': -8.1}
{'lipoC2': 7.77, 'temp': 23.56, 'lipoC3S3': 11.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.11, 'datetime': '2018-10-12 14:09:43.807768', 'mgs': 0, 'depth': 1.996, 'time': 2.14, 'pitch': -0.11, 'roll': -8.53}
{'lipoC2': 7.76, 'temp': 23.56, 'lipoC3S3': 11.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.05, 'datetime': '2018-10-12 14:09:43.815233', 'mgs': 0, 'depth': 1.92, 'time': 2.23, 'pitch': -0.35, 'roll': -9.02}
{'lipoC2': 7.76, 'temp': 23.56, 'lipoC3S3': 11.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.94, 'datetime': '2018-10-12 14:09:43.822896', 'mgs': 0, 'depth': 2.072, 'time': 2.33, 'pitch': -0.57, 'roll': -9.35}
{'lipoC2': 7.76, 'temp': 23.56, 'lipoC3S3': 11.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.91, 'datetime': '2018-10-12 14:09:43.830375', 'mgs': 0, 'depth': 1.996, 'time': 2.43, 'pitch': -0.81, 'roll': -9.48}
{'lipoC2': 7.77, 'temp': 23.56, 'lipoC3S3': 11.69, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.91, 'datetime': '2018-10-12 14:09:43.838022', 'mgs': 0, 'depth': 1.996, 'time': 2.53, 'pitch': -1.07, 'roll': -9.84}
{'lipoC2': 7.76, 'temp': 23.56, 'lipoC3S3': 11.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.89, 'datetime': '2018-10-12 14:09:43.863318', 'mgs': 0, 'depth': 2.072, 'time': 2.62, 'pitch': -1.28, 'roll': -10.27}
{'lipoC2': 7.77, 'temp': 23.56, 'lipoC3S3': 11.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.98, 'datetime': '2018-10-12 14:09:43.960390', 'mgs': 0, 'depth': 2.072, 'time': 2.72, 'pitch': -1.56, 'roll': -10.55}
{'lipoC2': 7.76, 'temp': 23.56, 'lipoC3S3': 11.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.16, 'datetime': '2018-10-12 14:09:44.057390', 'mgs': 0, 'depth': 2.072, 'time': 2.82, 'pitch': -1.79, 'roll': -10.63}
{'lipoC2': 7.77, 'temp': 23.56, 'lipoC3S3': 11.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.33, 'datetime': '2018-10-12 14:09:44.155851', 'mgs': 0, 'depth': 2.072, 'time': 2.91, 'pitch': -1.83, 'roll': -10.69}
