{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.77, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 2.8, 'datetime': '2018-10-12 14:05:45.569208', 'mgs': 0, 'depth': 2.301, 'time': 3.21, 'pitch': -2.77, 'roll': -7.97}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.79, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 2.73, 'datetime': '2018-10-12 14:05:45.666151', 'mgs': 0, 'depth': 2.301, 'time': 3.31, 'pitch': -3.39, 'roll': -7.01}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.79, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 2.76, 'datetime': '2018-10-12 14:05:45.759297', 'mgs': 0, 'depth': 2.301, 'time': 3.4, 'pitch': -3.69, 'roll': -6.64}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.77, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 2.78, 'datetime': '2018-10-12 14:05:45.862651', 'mgs': 0, 'depth': 2.454, 'time': 3.5, 'pitch': -3.86, 'roll': -6.62}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.79, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 2.77, 'datetime': '2018-10-12 14:05:45.954124', 'mgs': 0, 'depth': 2.301, 'time': 3.6, 'pitch': -3.82, 'roll': -6.57}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.79, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 2.48, 'datetime': '2018-10-12 14:05:46.051133', 'mgs': 0, 'depth': 2.301, 'time': 3.69, 'pitch': -3.75, 'roll': -7.01}
{'lipoC2': 7.77, 'temp': 23.5, 'lipoC3S3': 11.79, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.94, 'datetime': '2018-10-12 14:05:46.148179', 'mgs': 0, 'depth': 2.377, 'time': 3.79, 'pitch': -3.75, 'roll': -7.79}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.79, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.28, 'datetime': '2018-10-12 14:05:46.245250', 'mgs': 0, 'depth': 2.377, 'time': 3.89, 'pitch': -3.66, 'roll': -8.5}
{'lipoC2': 7.77, 'temp': 23.5, 'lipoC3S3': 11.77, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.7, 'datetime': '2018-10-12 14:05:46.342256', 'mgs': 0, 'depth': 2.377, 'time': 3.99, 'pitch': -3.37, 'roll': -8.88}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.79, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.25, 'datetime': '2018-10-12 14:05:46.439500', 'mgs': 0, 'depth': 2.377, 'time': 4.08, 'pitch': -2.94, 'roll': -8.95}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.79, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.18, 'datetime': '2018-10-12 14:05:46.541159', 'mgs': 0, 'depth': 2.377, 'time': 4.18, 'pitch': -2.3, 'roll': -8.81}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.77, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.61, 'datetime': '2018-10-12 14:05:46.638577', 'mgs': 0, 'depth': 2.377, 'time': 4.28, 'pitch': -1.6, 'roll': -8.52}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.79, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.09, 'datetime': '2018-10-12 14:05:46.732450', 'mgs': 0, 'depth': 2.301, 'time': 4.38, 'pitch': -0.92, 'roll': -8.07}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.79, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.54, 'datetime': '2018-10-12 14:05:46.833473', 'mgs': 0, 'depth': 2.377, 'time': 4.47, 'pitch': -0.36, 'roll': -7.53}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.77, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.01, 'datetime': '2018-10-12 14:05:46.931588', 'mgs': 0, 'depth': 2.377, 'time': 4.57, 'pitch': 0.19, 'roll': -6.91}
{'lipoC2': 7.78, 'temp': 23.56, 'lipoC3S3': 11.79, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.4, 'datetime': '2018-10-12 14:05:47.028565', 'mgs': 0, 'depth': 2.377, 'time': 4.67, 'pitch': 0.61, 'roll': -6.39}
{'lipoC2': 7.78, 'temp': 23.56, 'lipoC3S3': 11.79, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.75, 'datetime': '2018-10-12 14:05:47.126174', 'mgs': 1, 'depth': 2.377, 'time': 4.77, 'pitch': 0.86, 'roll': -6.12}
{'lipoC2': 7.78, 'temp': 23.56, 'lipoC3S3': 11.79, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 14:05:48.645690', 'mgs': 0, 'depth': 2.606, 'time': 1.26, 'pitch': -2.03, 'roll': -7.12}
{'lipoC2': 7.78, 'temp': 23.56, 'lipoC3S3': 11.79, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.38, 'datetime': '2018-10-12 14:05:48.663892', 'mgs': 0, 'depth': 2.682, 'time': 1.36, 'pitch': -2.04, 'roll': -6.63}
{'lipoC2': 7.78, 'temp': 23.56, 'lipoC3S3': 11.79, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.64, 'datetime': '2018-10-12 14:05:48.687802', 'mgs': 0, 'depth': 2.606, 'time': 1.45, 'pitch': -1.98, 'roll': -6.21}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.69, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.81, 'datetime': '2018-10-12 14:05:48.778967', 'mgs': 0, 'depth': 3.064, 'time': 1.55, 'pitch': -1.89, 'roll': -5.81}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.71, 'rot1': 0, 'rot0': 0, 'rot3': 1, 'rot2': 1, 'state': 'normal', 'yaw': 0.85, 'datetime': '2018-10-12 14:05:48.876137', 'mgs': 0, 'depth': 2.911, 'time': 1.65, 'pitch': -1.65, 'roll': -5.83}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.67, 'rot1': 0, 'rot0': 0, 'rot3': 1, 'rot2': 1, 'state': 'normal', 'yaw': 0.71, 'datetime': '2018-10-12 14:05:48.972791', 'mgs': 0, 'depth': 2.835, 'time': 1.74, 'pitch': -1.34, 'roll': -6.29}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.69, 'rot1': 0, 'rot0': 0, 'rot3': 2, 'rot2': 2, 'state': 'normal', 'yaw': 0.35, 'datetime': '2018-10-12 14:05:49.069374', 'mgs': 0, 'depth': 2.606, 'time': 1.84, 'pitch': -1.11, 'roll': -7.09}
{'lipoC2': 7.77, 'temp': 23.5, 'lipoC3S3': 11.69, 'rot1': 0, 'rot0': 0, 'rot3': 2, 'rot2': 2, 'state': 'normal', 'yaw': -0.26, 'datetime': '2018-10-12 14:05:49.166056', 'mgs': 0, 'depth': 2.682, 'time': 1.94, 'pitch': -0.89, 'roll': -8.3}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.69, 'rot1': 0, 'rot0': 0, 'rot3': 3, 'rot2': 3, 'state': 'normal', 'yaw': -0.9, 'datetime': '2018-10-12 14:05:49.263091', 'mgs': 0, 'depth': 2.835, 'time': 2.04, 'pitch': -0.69, 'roll': -9.4}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.69, 'rot1': 0, 'rot0': 0, 'rot3': 3, 'rot2': 4, 'state': 'normal', 'yaw': -1.56, 'datetime': '2018-10-12 14:05:49.359532', 'mgs': 0, 'depth': 2.835, 'time': 2.13, 'pitch': -0.36, 'roll': -10.35}
{'lipoC2': 7.78, 'temp': 23.56, 'lipoC3S3': 11.72, 'rot1': 0, 'rot0': 0, 'rot3': 4, 'rot2': 4, 'state': 'normal', 'yaw': -2.16, 'datetime': '2018-10-12 14:05:49.456430', 'mgs': 0, 'depth': 3.14, 'time': 2.23, 'pitch': 0.06, 'roll': -10.93}
{'lipoC2': 7.77, 'temp': 23.56, 'lipoC3S3': 11.71, 'rot1': 0, 'rot0': 0, 'rot3': 4, 'rot2': 5, 'state': 'normal', 'yaw': -2.68, 'datetime': '2018-10-12 14:05:49.553179', 'mgs': 0, 'depth': 2.911, 'time': 2.33, 'pitch': 0.47, 'roll': -11.13}
{'lipoC2': 7.77, 'temp': 23.56, 'lipoC3S3': 11.72, 'rot1': 0, 'rot0': 0, 'rot3': 5, 'rot2': 6, 'state': 'normal', 'yaw': -3.23, 'datetime': '2018-10-12 14:05:49.649833', 'mgs': 0, 'depth': 3.14, 'time': 2.42, 'pitch': 0.89, 'roll': -11.04}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.72, 'rot1': 0, 'rot0': 0, 'rot3': 5, 'rot2': 6, 'state': 'normal', 'yaw': -3.77, 'datetime': '2018-10-12 14:05:49.746539', 'mgs': 0, 'depth': 3.293, 'time': 2.52, 'pitch': 1.25, 'roll': -10.71}
{'lipoC2': 7.79, 'temp': 23.5, 'lipoC3S3': 11.67, 'rot1': 0, 'rot0': 0, 'rot3': 6, 'rot2': 7, 'state': 'normal', 'yaw': -4.21, 'datetime': '2018-10-12 14:05:49.843972', 'mgs': 0, 'depth': 3.217, 'time': 2.62, 'pitch': 1.51, 'roll': -10.19}
{'lipoC2': 7.78, 'temp': 23.0, 'lipoC3S3': 11.73, 'rot1': 0, 'rot0': 0, 'rot3': 6, 'rot2': 7, 'state': 'normal', 'yaw': -4.62, 'datetime': '2018-10-12 14:05:49.941851', 'mgs': 0, 'depth': 3.369, 'time': 2.71, 'pitch': 1.65, 'roll': -9.4}
{'lipoC2': 7.78, 'temp': 23.0, 'lipoC3S3': 11.73, 'rot1': 0, 'rot0': 0, 'rot3': 7, 'rot2': 8, 'state': 'normal', 'yaw': -4.96, 'datetime': '2018-10-12 14:05:50.038607', 'mgs': 0, 'depth': 3.369, 'time': 2.81, 'pitch': 1.68, 'roll': -8.48}
{'lipoC2': 7.77, 'temp': 23.0, 'lipoC3S3': 11.67, 'rot1': 0, 'rot0': 0, 'rot3': 7, 'rot2': 9, 'state': 'normal', 'yaw': -5.27, 'datetime': '2018-10-12 14:05:50.135266', 'mgs': 0, 'depth': 3.445, 'time': 2.91, 'pitch': 1.64, 'roll': -7.44}
{'lipoC2': 7.78, 'temp': 23.63, 'lipoC3S3': 11.72, 'rot1': 0, 'rot0': 0, 'rot3': 8, 'rot2': 9, 'state': 'normal', 'yaw': -5.54, 'datetime': '2018-10-12 14:05:50.233252', 'mgs': 0, 'depth': 3.598, 'time': 3.01, 'pitch': 1.51, 'roll': -6.52}
{'lipoC2': 7.78, 'temp': 23.63, 'lipoC3S3': 11.73, 'rot1': 0, 'rot0': 0, 'rot3': 8, 'rot2': 10, 'state': 'normal', 'yaw': -5.83, 'datetime': '2018-10-12 14:05:50.330108', 'mgs': 0, 'depth': 3.598, 'time': 3.1, 'pitch': 1.32, 'roll': -5.55}
{'lipoC2': 7.78, 'temp': 23.56, 'lipoC3S3': 11.72, 'rot1': 0, 'rot0': 0, 'rot3': 8, 'rot2': 10, 'state': 'normal', 'yaw': -6.11, 'datetime': '2018-10-12 14:05:50.427173', 'mgs': 0, 'depth': 3.674, 'time': 3.2, 'pitch': 1.11, 'roll': -4.73}
{'lipoC2': 7.78, 'temp': 23.56, 'lipoC3S3': 11.72, 'rot1': 0, 'rot0': 0, 'rot3': 9, 'rot2': 11, 'state': 'normal', 'yaw': -6.34, 'datetime': '2018-10-12 14:05:50.523825', 'mgs': 0, 'depth': 3.903, 'time': 3.3, 'pitch': 0.89, 'roll': -4.13}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.72, 'rot1': 0, 'rot0': 0, 'rot3': 9, 'rot2': 11, 'state': 'normal', 'yaw': -6.55, 'datetime': '2018-10-12 14:05:50.620634', 'mgs': 0, 'depth': 3.979, 'time': 3.39, 'pitch': 0.64, 'roll': -3.69}
